"DIVIPOLA","City_Municipality","ID_Deparment","Department","Sex","Range","People"
"8634","Sabanagrande","8","Atlantico","M","31-40","1"
"8638","Sabanalarga","8","Atlantico","F","71-80","2"
"8638","Sabanalarga","8","Atlantico","F","61-70","1"
"8638","Sabanalarga","8","Atlantico","M","51-60","1"
"8638","Sabanalarga","8","Atlantico","M","71-80","3"
"8638","Sabanalarga","8","Atlantico","M","61-70","6"
"8638","Sabanalarga","8","Atlantico","M","81-90","3"
"8638","Sabanalarga","8","Atlantico","M","91-99","1"
"8675","Santa Lucia","8","Atlantico","F","71-80","1"
"8685","Santo Tomas","8","Atlantico","F","71-80","1"
"8685","Santo Tomas","8","Atlantico","F","61-70","3"
"8685","Santo Tomas","8","Atlantico","M","51-60","2"
"8685","Santo Tomas","8","Atlantico","M","71-80","1"
"8685","Santo Tomas","8","Atlantico","M","61-70","1"
"8685","Santo Tomas","8","Atlantico","M","81-90","2"
"8758","Soledad","8","Atlantico","F","51-60","33"
"8758","Soledad","8","Atlantico","F","71-80","49"
"8758","Soledad","8","Atlantico","F","61-70","37"
"8758","Soledad","8","Atlantico","F","81-90","28"
"8758","Soledad","8","Atlantico","F","41-50","15"
"8758","Soledad","8","Atlantico","F","91-99","5"
"8758","Soledad","8","Atlantico","F","21-30","2"
"8758","Soledad","8","Atlantico","F","31-40","10"
"8758","Soledad","8","Atlantico","M","51-60","69"
"8758","Soledad","8","Atlantico","M","71-80","59"
"8758","Soledad","8","Atlantico","M","61-70","73"
"8758","Soledad","8","Atlantico","M","81-90","37"
"8758","Soledad","8","Atlantico","M","41-50","30"
"8758","Soledad","8","Atlantico","M","91-99","7"
"8758","Soledad","8","Atlantico","M","21-30","4"
"8758","Soledad","8","Atlantico","M","31-40","10"
"8758","Soledad","8","Atlantico","M","0-1","1"
"8832","Tubara","8","Atlantico","F","61-70","1"
"8832","Tubara","8","Atlantico","F","81-90","1"
"8832","Tubara","8","Atlantico","M","51-60","2"
"8832","Tubara","8","Atlantico","M","71-80","1"
"8832","Tubara","8","Atlantico","M","41-50","1"
"8832","Tubara","8","Atlantico","M","91-99","1"
"8849","Usiacuri","8","Atlantico","F","91-99","1"
"8849","Usiacuri","8","Atlantico","M","81-90","1"
"11001","Bogota D.C.","11","Bogota D.C.","F","51-60","54"
"11001","Bogota D.C.","11","Bogota D.C.","F","71-80","103"
"11001","Bogota D.C.","11","Bogota D.C.","F","61-70","113"
"11001","Bogota D.C.","11","Bogota D.C.","F","81-90","103"
"11001","Bogota D.C.","11","Bogota D.C.","F","41-50","21"
"11001","Bogota D.C.","11","Bogota D.C.","F","91-99","41"
"11001","Bogota D.C.","11","Bogota D.C.","F","21-30","4"
"11001","Bogota D.C.","11","Bogota D.C.","F","31-40","18"
"11001","Bogota D.C.","11","Bogota D.C.","F","0-1","1"
"11001","Bogota D.C.","11","Bogota D.C.","F",">99","1"
"11001","Bogota D.C.","11","Bogota D.C.","M","51-60","126"
"11001","Bogota D.C.","11","Bogota D.C.","M","71-80","184"
"11001","Bogota D.C.","11","Bogota D.C.","M","61-70","162"
"11001","Bogota D.C.","11","Bogota D.C.","M","81-90","151"
