"Report_date","Confirmed","Duplication_Days"
"03-16-2020","2","1"
"03-17-2020","2","1"
"03-19-2020","5","2"
"03-24-2020","9","5"
"03-28-2020","16","4"
"04-03-2020","40","6"
"04-11-2020","64","8"
"04-27-2020","130","16"
"05-04-2020","260","7"
"05-12-2020","516","8"
