"Report_date","Confirmed","Duplication_Days"
"03-06-2020","1","1"
"03-11-2020","3","5"
"03-12-2020","5","1"
"03-14-2020","16","2"
"03-15-2020","26","1"
"03-16-2020","32","1"
"03-20-2020","79","4"
"03-24-2020","158","4"
"03-29-2020","288","5"
"04-02-2020","532","4"
"04-11-2020","1143","9"
"04-25-2020","2129","14"
"05-10-2020","4154","15"
"05-28-2020","8536","18"
