"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"CALARCA","QUINDÍO","4.51528184598","-75.6490883624","5","5","0","0","5","0","0","","","","2020-04-09 16:01:00"
"CALDAS","ANTIOQUIA","6.09129696608","-75.6336187219","3","3","0","0","3","0","0","","","","2020-04-09 16:01:00"
"CALI","VALLE DEL CAUCA","3.41441430458","-76.5215651508","266","273","7","0","169","69","22","91","33.333333333333","2.5641025641026","2020-04-09 16:01:00"
"CANDELARIA","VALLE DEL CAUCA","10.4612172348","-74.879912602","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"CARTAGENA","CARTAGENA D.T. Y C","5.02682657968","-75.6392495535","73","79","6","0","54","9","2","11","13.924050632911","7.5949367088608","2020-04-09 16:01:00"
"CARTAGO","VALLE DEL CAUCA","4.75875509757","-75.9422640436","8","8","0","0","7","0","0","","","","2020-04-09 16:01:00"
"CHIA","CUNDINAMARCA","4.86606542368","-74.0503468211","11","11","0","0","6","2","0","2","18.181818181818","","2020-04-09 16:01:00"
"CHINCHINA","CALDAS","4.98581286197","-75.6074807289","3","3","0","0","1","0","0","","","","2020-04-09 16:01:00"
"CHOACHI","CUNDINAMARCA","4.52704792092","-73.9228944808","1","1","0","0","0","1","0","1","100","","2020-04-09 16:01:00"
"CHOCONTA","CUNDINAMARCA","5.14522389367","-73.6835234355","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"CIENAGA DE ORO","CÓRDOBA","8.87550224563","-75.6207866383","0","1","1","0","0","0","0","","","100","2020-04-09 16:01:00"
"CIMITARRA","SANTANDER","6.32068186747","-73.9525821232","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"CIRCASIA","QUINDÍO","4.61779204337","-75.636528232","3","3","0","0","3","0","0","","","","2020-04-09 16:01:00"
"COCORNA","ANTIOQUIA","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"CONCEPCION","SANTANDER","6.39434709534","-75.2576027037","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"CONTADERO","NARIÑO","0.91045786274","-77.5494090245","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"COTA","CUNDINAMARCA","4.81298776927","-74.1027264632","9","9","0","0","8","0","0","","","","2020-04-09 16:01:00"
"CUCUTA","NORTE DE SANTANDER","7.90530629465","-72.5082561962","31","33","2","0","24","3","1","4","12.121212121212","6.0606060606061","2020-04-09 16:01:00"
"CUMBAL","NARIÑO","0.906185360866","-77.7922766205","2","2","0","0","2","0","0","","","","2020-04-09 16:01:00"
"CUMBITARA","NARIÑO","1.64684597096","-77.5781467265","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"CURITI","SANTANDER","6.6735257713","-75.7988581159","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"DARIEN","VALLE DEL CAUCA","3.93352446268","-76.4843917469","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"DON MATIAS","ANTIOQUIA","6.485833","-75.395278","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"DOSQUEBRADAS","RISARALDA","4.82718783235","-75.6824691212","12","12","0","0","9","1","2","3","25","","2020-04-09 16:01:00"
"EL DOVIO","VALLE DEL CAUCA","4.51045288499","-76.2370841098","4","4","0","0","4","0","0","","","","2020-04-09 16:01:00"
"EL RETIRO","ANTIOQUIA","9.1693328895","-74.7349072463","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"ENVIGADO","ANTIOQUIA","6.16700455162","-75.5830101409","21","21","0","0","17","4","0","4","19.047619047619","","2020-04-09 16:01:00"
"ESPINAL","TOLIMA","4.15131422057","-74.8854497584","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"FACATATIVA","CUNDINAMARCA","4.81306417837","-74.3502279311","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"FILANDIA","QUINDÍO","4.67414557186","-75.6586858841","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"FLORIDABLANCA","SANTANDER","7.07236040291","-73.0990326168","4","4","0","0","3","0","1","1","25","","2020-04-09 16:01:00"
"FRONTINO","ANTIOQUIA","6.77606591161","-76.1307651388","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"FUNZA","CUNDINAMARCA","4.7127630154","-74.2115250018","4","4","0","0","4","0","0","","","","2020-04-09 16:01:00"
"FUSAGASUGA","CUNDINAMARCA","4.33848085051","-74.3663339328","2","2","0","0","1","0","0","","","","2020-04-09 16:01:00"
"GALAPA","ATLÁNTICO","10.9196410045","-74.8669380999","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
