"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mortality_Rate","Recovery_Rates","Last_Update"
"CURITI","SANTANDER","6.6735257713","-75.7988581159","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"DARIEN","VALLE DEL CAUCA","3.93352446268","-76.4843917469","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
"DONMATIAS","ANTIOQUIA","6.485833","-75.395278","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
"DOSQUEBRADAS","RISARALDA","4.82718783235","-75.6824691212","33","40","1","6","32","1","0","1","2.5","2.5","15","2020-04-19 16:36:00"
"EL BANCO","MAGDALENA","9.05756833011","-75.5728891535","0","1","1","0","0","0","0","","","100","","2020-04-19 16:36:00"
"EL CERRITO","VALLE DEL CAUCA","10.7668670891","-75.2027580712","6","7","1","0","5","1","0","1","14.285714285714","14.285714285714","","2020-04-19 16:36:00"
"EL DOVIO","VALLE DEL CAUCA","4.51045288499","-76.2370841098","2","4","1","1","2","0","0","","","25","25","2020-04-19 16:36:00"
"EL RETIRO","ANTIOQUIA","9.1693328895","-74.7349072463","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
"ENVIGADO","ANTIOQUIA","6.16700455162","-75.5830101409","15","25","0","10","13","1","1","2","8","","40","2020-04-19 16:36:00"
"ESPINAL","TOLIMA","4.15131422057","-74.8854497584","2","3","1","0","2","0","0","","","33.333333333333","","2020-04-19 16:36:00"
"FACATATIVA","CUNDINAMARCA","4.81306417837","-74.3502279311","3","3","0","0","3","0","0","","","","","2020-04-19 16:36:00"
"FILANDIA","QUINDIO","4.67414557186","-75.6586858841","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"FLORENCIA","CAQUETA","9.31366872153","-74.8915160804","1","2","1","0","1","0","0","","","50","","2020-04-19 16:36:00"
"FLORIDA","VALLE DEL CAUCA","3.32391810634","-76.2345017444","4","4","0","0","3","0","1","1","25","","","2020-04-19 16:36:00"
"FLORIDABLANCA","SANTANDER","7.07236040291","-73.0990326168","5","7","0","2","4","0","1","1","14.285714285714","","28.571428571429","2020-04-19 16:36:00"
"FRONTINO","ANTIOQUIA","6.77606591161","-76.1307651388","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
