"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"ACACIAS","META","3.99012066334","-73.765936654","4","5","0","1","4","0","0","","","80","","","","20","80","2020-04-23 16:38:00"
"ACEVEDO","HUILA","1.80526322752","-75.8885315631","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-23 16:38:00"
"AGRADO","HUILA","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"AIPE","HUILA","3.22359756208","-75.2390311845","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"AMAGA","ANTIOQUIA","6.03880857536","-75.7019460715","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"ANAPOIMA","CUNDINAMARCA","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"ANDALUCIA","VALLE DEL CAUCA","8.97734579987","-75.3750059494","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-23 16:38:00"
"ANGOSTURA","ANTIOQUIA","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"ANSERMA","CALDAS","5.23647439108","-75.7843426615","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"APARTADO","ANTIOQUIA","7.88341740579","-76.6259606537","3","4","0","1","3","0","0","","","75","","","","25","75","2020-04-23 16:38:00"
"AQUITANIA","BOYACA","5.83964314212","-74.9691761004","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"ARJONA","BOLIVAR","10.2566315237","-75.3444884486","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"ARMENIA","QUINDIO","6.15581872915","-75.7868378278","25","41","1","15","24","1","0","1","2.4390243902439","58.536585365854","2.4390243902439","","2.4390243902439","36.585365853659","60.975609756098","2020-04-23 16:38:00"
"BARANOA","ATLANTICO","10.7948804772","-74.9160998139","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"BARBOSA","ANTIOQUIA","6.43922688162","-75.3316442322","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"BARRANCABERMEJA","SANTANDER","7.06496386399","-73.8499569753","3","6","1","2","3","0","0","","","50","","","16.666666666667","33.333333333333","50","2020-04-23 16:38:00"
"BARRANCO DE LOBA","BOLIVAR","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","","","","","100","","","2020-04-23 16:38:00"
"BARRANQUILLA","BARRANQUILLA D.E.","10.9759268186","-74.7952590482","52","89","5","32","45","4","3","7","7.8651685393258","50.561797752809","4.4943820224719","3.3707865168539","5.6179775280899","35.955056179775","58.426966292135","2020-04-23 16:38:00"
"BELLO","ANTIOQUIA","6.33406883641","-75.554665073","36","49","1","12","35","0","1","1","2.0408163265306","71.428571428571","","2.0408163265306","2.0408163265306","24.489795918367","73.469387755102","2020-04-23 16:38:00"
"BOGOTA D.C.","BOGOTA D.C.","4.65017303026","-74.1073590032","1479","1883","78","326","1371","71","37","108","5.7355284121083","72.809346787042","3.7705788635157","1.9649495485927","4.1423260754116","17.312798725438","78.54487519915","2020-04-23 16:38:00"
"BUCARAMANGA","SANTANDER","7.11626727561","-73.1325981781","7","19","1","11","7","0","0","","","36.842105263158","","","5.2631578947368","57.894736842105","36.842105263158","2020-04-23 16:38:00"
"BUENAVENTURA","BUENAVENTURA D.E.","9.86146026968","-75.4969153426","16","17","1","0","14","0","2","2","11.764705882353","82.352941176471","","11.764705882353","5.8823529411765","","94.117647058824","2020-04-23 16:38:00"
"BUGALAGRANDE","VALLE DEL CAUCA","4.20833159173","-76.1568077444","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"CAJICA","CUNDINAMARCA","4.92080905869","-74.0234539659","9","14","0","5","8","1","0","1","7.1428571428571","57.142857142857","7.1428571428571","","","35.714285714286","64.285714285714","2020-04-23 16:38:00"
"CALAMAR","BOLIVAR","10.2519633588","-74.9136292818","1","1","0","0","0","0","1","1","100","","","100","","","100","2020-04-23 16:38:00"
"CALARCA","QUINDIO","4.51528184598","-75.6490883624","6","6","0","0","6","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"CALDAS","ANTIOQUIA","6.09129696608","-75.6336187219","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-23 16:38:00"
"CALI","VALLE DEL CAUCA","3.93352446268","-76.4843917469","498","609","37","74","405","58","35","93","15.270935960591","66.502463054187","9.5238095238095","5.7471264367816","6.0755336617406","12.151067323481","81.773399014778","2020-04-23 16:38:00"
"CALIMA","VALLE DEL CAUCA","3.93352446268","-76.4843917469","0","1","0","1","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"CANDELARIA","VALLE DEL CAUCA","10.4612172348","-74.879912602","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"CARTAGENA DE INDIAS","CARTAGENA D.T. Y C.","10.3849855226","-75.496431028","125","189","15","49","103","13","9","22","11.640211640212","54.497354497355","6.8783068783069","4.7619047619048","7.9365079365079","25.925925925926","66.137566137566","2020-04-23 16:38:00"
"CARTAGO","VALLE DEL CAUCA","4.75875509757","-75.9422640436","4","10","0","6","4","0","0","","","40","","","","60","40","2020-04-23 16:38:00"
"CERETE","CORDOBA","8.88861181239","-75.7962165157","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"CHIA","CUNDINAMARCA","4.86606542368","-74.0503468211","18","24","0","6","18","0","0","","","75","","","","25","75","2020-04-23 16:38:00"
"CHINCHINA","CALDAS","4.98581286197","-75.6074807289","1","4","0","3","1","0","0","","","25","","","","75","25","2020-04-23 16:38:00"
"CHOACHI","CUNDINAMARCA","4.52704792092","-73.9228944808","0","1","0","1","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"CIENAGA","MAGDALENA","11.0066568813","-74.2412861592","21","22","0","1","20","1","0","1","4.5454545454545","90.909090909091","4.5454545454545","","","4.5454545454545","95.454545454545","2020-04-23 16:38:00"
"CIENAGA DE ORO","CORDOBA","8.87550224563","-75.6207866383","0","1","1","0","0","0","0","","","","","","100","","","2020-04-23 16:38:00"
"CIMITARRA","SANTANDER","6.32068186747","-73.9525821232","0","2","0","2","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"CIRCASIA","QUINDIO","4.61779204337","-75.636528232","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-23 16:38:00"
"COCORNA","ANTIOQUIA","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"COGUA","CUNDINAMARCA","5.06184179776","-73.9784966905","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-23 16:38:00"
"CONCEPCION","SANTANDER","6.39434709534","-75.2576027037","0","1","0","1","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"CONTADERO","NARIÑO","0.91045786274","-77.5494090245","0","1","0","1","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"COPACABANA","ANTIOQUIA","6.34864054523","-75.5093439031","8","8","0","0","8","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"COTA","CUNDINAMARCA","4.81298776927","-74.1027264632","3","9","0","6","3","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-23 16:38:00"
"CUCUTA","NORTE DE SANTANDER","7.90530629465","-72.5082561962","38","55","3","14","35","1","2","3","5.4545454545455","63.636363636364","1.8181818181818","3.6363636363636","5.4545454545455","25.454545454545","69.090909090909","2020-04-23 16:38:00"
"CUMBAL","NARIÑO","0.906185360866","-77.7922766205","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-23 16:38:00"
"CUMBITARA","NARIÑO","1.64684597096","-77.5781467265","0","1","0","1","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"CUNDINAMARCA","CUNDINAMARCA","9.64388958484","-74.6186326983","0","1","1","0","0","0","0","","","","","","100","","","2020-04-23 16:38:00"
"CURITI","SANTANDER","6.6735257713","-75.7988581159","0","1","0","1","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"DONMATIAS","ANTIOQUIA","6.485833","-75.395278","0","1","0","1","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"DOSQUEBRADAS","RISARALDA","4.82718783235","-75.6824691212","37","44","1","6","36","0","1","1","2.2727272727273","81.818181818182","","2.2727272727273","2.2727272727273","13.636363636364","84.090909090909","2020-04-23 16:38:00"
"EL BANCO","MAGDALENA","9.05756833011","-75.5728891535","0","1","1","0","0","0","0","","","","","","100","","","2020-04-23 16:38:00"
"EL CERRITO","VALLE DEL CAUCA","10.7668670891","-75.2027580712","10","11","1","0","10","0","0","","","90.909090909091","","","9.0909090909091","","90.909090909091","2020-04-23 16:38:00"
"EL DOVIO","VALLE DEL CAUCA","4.51045288499","-76.2370841098","0","4","1","3","0","0","0","","","","","","25","75","","2020-04-23 16:38:00"
"EL SANTUARIO","ANTIOQUIA","6.13704685813","-75.2658497944","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"ENVIGADO","ANTIOQUIA","6.16700455162","-75.5830101409","16","27","0","11","15","1","0","1","3.7037037037037","55.555555555556","3.7037037037037","","","40.740740740741","59.259259259259","2020-04-23 16:38:00"
"ESPINAL","TOLIMA","4.15131422057","-74.8854497584","2","3","1","0","2","0","0","","","66.666666666667","","","33.333333333333","","66.666666666667","2020-04-23 16:38:00"
"FACATATIVA","CUNDINAMARCA","4.81306417837","-74.3502279311","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"FILANDIA","QUINDIO","4.67414557186","-75.6586858841","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"FLORENCIA","CAQUETA","9.31366872153","-74.8915160804","1","2","1","0","1","0","0","","","50","","","50","","50","2020-04-23 16:38:00"
"FLORIDA","VALLE DEL CAUCA","3.32391810634","-76.2345017444","8","8","0","0","7","0","1","1","12.5","87.5","","12.5","","","100","2020-04-23 16:38:00"
"FLORIDABLANCA","SANTANDER","7.07236040291","-73.0990326168","1","7","0","6","0","0","1","1","14.285714285714","","","14.285714285714","","85.714285714286","14.285714285714","2020-04-23 16:38:00"
"FRONTINO","ANTIOQUIA","6.77606591161","-76.1307651388","0","1","0","1","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"FUNDACION","MAGDALENA","10.5140924032","-74.1913434578","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"FUNZA","CUNDINAMARCA","4.7127630154","-74.2115250018","8","8","0","0","8","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"FUSAGASUGA","CUNDINAMARCA","4.33848085051","-74.3663339328","0","1","0","1","0","0","0","","","","","","","100","","2020-04-23 16:38:00"
"GALAPA","ATLANTICO","10.9196410045","-74.8669380999","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"GARAGOA","BOYACA","5.08324346272","-73.3644275636","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"GARZON","HUILA","2.19699442096","-75.6276937365","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"GIGANTE","HUILA","2.38823562547","-75.5412198856","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"GINEBRA","VALLE DEL CAUCA","3.72418114734","-76.2680678884","0","1","1","0","0","0","0","","","","","","100","","","2020-04-23 16:38:00"
"GRANADA","ANTIOQUIA","6.14289666655","-75.1844450829","2","2","0","0","1","1","0","1","50","50","50","","","","100","2020-04-23 16:38:00"
"GUACARI","VALLE DEL CAUCA","3.76290900784","-76.3313673514","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-23 16:38:00"
"GUADALAJARA DE BUGA","VALLE DEL CAUCA","3.90082354377","-76.2989611331","7","8","0","1","7","0","0","","","87.5","","","","12.5","87.5","2020-04-23 16:38:00"
"GUADUAS","CUNDINAMARCA","5.0718705327","-74.6029562704","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-23 16:38:00"
