"Report_ID","Report_date","Report_time","Confirmed","Recovered","Deaths","Last_Update","File_with_report","Url_with_report"
"37","04-03-2020","15:13:00","106","6","0","2020-04-03 15:13:00","20200403-sitrep-37-covid-19.pdf","https://twitter.com/MinSaludCol/status/1246169063551893505/photo/1"
"38","04-04-2020","14:30:00","139","7","30","2020-04-04 14:30:00","20200404-sitrep-38-covid-19.pdf","https://twitter.com/MinSaludCol/status/1246520486441488384/photo/1"
"39","04-05-2020","12:28:00","79","3","0","2020-04-05 12:28:00","20200405-sitrep-39-covid-19.pdf","https://twitter.com/MinSaludCol/status/1246852311718268929/photo/1"
"40","04-06-2020","15:31:00","94","11","3","2020-04-06 15:31:00","20200406-sitrep-40-covid-19.pdf","https://twitter.com/MinSaludCol/status/1247260741473878016/photo/1"
"41","04-07-2020","15:41:00","201","4","12","2020-04-07 15:41:00","20200407-sitrep-41-covid-19.pdf","https://twitter.com/MinSaludCol/status/1247625528372330497/photo/1"
"42","04-08-2020","15:35:00","274","4","23","2020-04-08 15:35:00","20200408-sitrep-42-covid-19.pdf","https://twitter.com/MinSaludCol/status/1247986460818579456/photo/1"
"43","04-08-2020","18:10:00","0","1","0","2020-04-08 18:10:00","20200408-sitrep-43-covid-19.pdf","https://twitter.com/MinSaludCol/status/1248025475169075201/photo/1"
"44","04-09-2020","16:01:00","169","14","51","2020-04-09 16:01:00","20200409-sitrep-44-covid-19.pdf","https://twitter.com/MinSaludCol/status/1248355354993442816/photo/1"
"45","04-10-2020","16:05:00","250","11","23","2020-04-10 16:05:00","20200410-sitrep-45-covid-19.pdf","https://twitter.com/MinSaludCol/status/1248718807448895490/photo/1"
"46","04-11-2020","17:27:00","236","20","17","2020-04-11 17:27:00","20200411-sitrep-46-covid-19.pdf","https://twitter.com/MinSaludCol/status/1249101873522462723/photo/1"
"47","04-12-2020","15:47:00","67","9","56","2020-04-12 15:47:00","20200412-sitrep-47-covid-19.pdf","https://twitter.com/MinSaludCol/status/1249438992078180353/photo/1"
"48","04-13-2020","17:21:00","76","3","49","2020-04-13 17:21:00","20200413-sitrep-48-covid-19.pdf","https://twitter.com/MinSaludCol/status/1249824953744179203/photo/1"
"49","04-14-2020","16:26:00","127","15","35","2020-04-14 16:26:00","20200414-sitrep-49-covid-19.pdf","https://twitter.com/MinSaludCol/status/1250173583416070146/photo/1"
"50","04-15-2020","15:42:00","126","4","98","2020-04-15 15:42:00","20200415-sitrep-50-covid-19.pdf","https://twitter.com/MinSaludCol/status/1250524964488450050/photo/1"
"51","04-16-2020","16:17:00","128","13","98","2020-04-16 16:17:00","20200416-sitrep-51-covid-19.pdf","https://twitter.com/MinSaludCol/status/1250896040657588226/photo/1"
"52","04-17-2020","16:14:00","206","9","84","2020-04-17 16:14:00","20200417-sitrep-52-covid-19.pdf","https://twitter.com/MinSaludCol/status/1251257791852969987/photo/1"
"53","04-18-2020","17:14:00","182","13","57","2020-04-18 17:14:00","20200418-sitrep-53-covid-19.pdf","https://twitter.com/MinSaludCol/status/1251635152817737729/photo/1"
"54","04-19-2020","16:36:00","171","13","20","2020-04-19 16:36:00","20200419-sitrep-54-covid-19.pdf","https://twitter.com/MinSaludCol/status/1251988006996713480/photo/1"
"55","04-20-2020","16:28:00","185","10","93","2020-04-20 16:28:00","20200420-sitrep-55-covid-19.pdf","https://twitter.com/MinSaludCol/status/1252348526538846208/photo/1"
"56","04-21-2020","16:32:00","172","7","0","2020-04-21 16:32:00","20200421-sitrep-56-covid-19.pdf","https://twitter.com/MinSaludCol/status/1252711763931475971/photo/1"
"57","04-22-2020","16:17:00","207","10","66","2020-04-22 16:17:00","20200422-sitrep-57-covid-19.pdf","https://twitter.com/MinSaludCol/status/1253070337325105154/photo/1"
