"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"5001","Medellín","5","Antioquia","5.610109776","-74.88681663","131","308","3","174","122","5","4","9","2885","                                   0.3119584055459 ","                           2.9220779220779 ","    39.6103896103896 ","      1.6233766233766 ","      1.2987012987013 ","      0.9740259740260 ","      0.1184168145561 ","     56.4935064935065 ","    42.5324675324675 ","2020-05-11 16:55:00"
"5030","Amagá","5","Antioquia","6.038808575","-75.70194607","1","1","0","0","1","0","0","","5","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"5034","Andes","5","Antioquia","5.656774852","-75.87879189","1","1","0","0","1","0","0","","10","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"5038","Angostura","5","Antioquia","6.885174591","-75.33511597","0","1","0","1","0","0","0","","3","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5045","Apartadó","5","Antioquia","7.883417406","-76.62596065","0","4","0","4","0","0","0","","158","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5079","Barbosa","5","Antioquia","6.439226882","-75.33164423","1","1","0","0","1","0","0","","7","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"5088","Bello","5","Antioquia","6.334068836","-75.55466507","19","50","1","30","18","0","1","1","355","                                   0.2816901408451 ","                           2.0000000000000 ","    36.0000000000000 ","  ","      2.0000000000000 ","      2.0000000000000 ","      0.1811088935333 ","     60.0000000000000 ","    38.0000000000000 ","2020-05-11 16:55:00"
"5129","Caldas","5","Antioquia","6.091296966","-75.63361872","0","3","0","3","0","0","0","","49","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5148","El Carmen de Viboral","5","Antioquia","6.084551516","-75.33536246","1","1","0","0","1","0","0","","11","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"5190","Cisneros","5","Antioquia","6.537761957","-75.08720761","1","1","0","0","1","0","0","","6","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"5197","Cocorná","5","Antioquia","6.058306335","-75.18548101","0","1","0","1","0","0","0","","2","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5212","Copacabana","5","Antioquia","6.348640545","-75.5093439","7","12","0","5","5","2","0","2","6","                                 33.3333333333333 ","                         16.6666666666667 ","    41.6666666666667 ","    16.6666666666667 ","  ","  ","  ","     41.6666666666667 ","    58.3333333333333 ","2020-05-11 16:55:00"
"5237","Donmatías","5","Antioquia","6.484469957","-75.39272406","0","1","0","1","0","0","0","","3","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5266","Envigado","5","Antioquia","6.167004552","-75.58301014","5","26","0","21","5","0","0","","131","  ","  ","    19.2307692307692 ","  ","  ","  ","  ","     80.7692307692308 ","    19.2307692307692 ","2020-05-11 16:55:00"
"5284","Frontino","5","Antioquia","6.776065912","-76.13076514","0","1","0","1","0","0","0","","5","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5313","Granada","5","Antioquia","6.142896667","-75.18444508","0","1","1","0","0","0","0","","1","  ","  ","  ","  ","  ","  100.0000000000000 ","    10.2417042195821 ","  ","  ","2020-05-11 16:55:00"
"5318","Guarne","5","Antioquia","6.278064077","-75.44165392","1","3","0","2","1","0","0","","4","  ","  ","    33.3333333333333 ","  ","  ","  ","  ","     66.6666666666667 ","    33.3333333333333 ","2020-05-11 16:55:00"
"5321","Guatapé","5","Antioquia","6.232592707","-75.16229259","1","2","0","1","1","0","0","","2","  ","  ","    50.0000000000000 ","  ","  ","  ","  ","     50.0000000000000 ","    50.0000000000000 ","2020-05-11 16:55:00"
"5360","Itagüí","5","Antioquia","6.169597629","-75.61435871","3","14","0","11","2","1","0","1","168","                                   0.5952380952381 ","                           7.1428571428571 ","    14.2857142857143 ","      7.1428571428571 ","  ","  ","  ","     78.5714285714286 ","    21.4285714285714 ","2020-05-11 16:55:00"
"5376","La Ceja","5","Antioquia","6.028055744","-75.42943089","0","2","0","2","0","0","0","","120","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5380","La Estrella","5","Antioquia","6.15841974","-75.64519038","5","9","0","4","5","0","0","","3","  ","  ","    55.5555555555556 ","  ","  ","  ","  ","     44.4444444444444 ","    55.5555555555556 ","2020-05-11 16:55:00"
"5467","Montebello","5","Antioquia","5.946325567","-75.52351091","2","3","0","1","2","0","0","","2","  ","  ","    66.6666666666667 ","  ","  ","  ","  ","     33.3333333333333 ","    66.6666666666667 ","2020-05-11 16:55:00"
"5607","Retiro","5","Antioquia","6.063379954","-75.50137516","0","1","0","1","0","0","0","","12","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5615","Rionegro","5","Antioquia","6.14722409","-75.37676938","1","11","0","10","1","0","0","","304","  ","  ","      9.0909090909091 ","  ","  ","  ","  ","     90.9090909090909 ","      9.0909090909091 ","2020-05-11 16:55:00"
"5631","Sabaneta","5","Antioquia","6.150970181","-75.61558529","0","9","0","9","0","0","0","","22","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5652","San Francisco","5","Antioquia","5.964079131","-75.10268697","0","1","1","0","0","0","0","","3","  ","  ","  ","  ","  ","  100.0000000000000 ","    16.9808116827984 ","  ","  ","2020-05-11 16:55:00"
"5665","San Pedro de Urabá","5","Antioquia","8.276886664","-76.38057789","1","1","0","0","1","0","0","","5","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"5686","Santa Rosa de Osos","5","Antioquia","6.643326001","-75.46074502","0","2","0","2","0","0","0","","6","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5697","El Santuario","5","Antioquia","6.137046858","-75.26584979","0","1","0","1","0","0","0","","4","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"5756","Sonsón","5","Antioquia","5.714811641","-75.30939515","1","2","0","1","1","0","0","","4","  ","  ","    50.0000000000000 ","  ","  ","  ","  ","     50.0000000000000 ","    50.0000000000000 ","2020-05-11 16:55:00"
"8001","Barranquilla","8","Atlántico","10.97592682","-74.79525905","399","481","24","58","355","38","6","44","2591","                                   1.6981860285604 ","                           9.1476091476092 ","    73.8045738045738 ","      7.9002079002079 ","      1.2474012474013 ","      4.9896049896050 ","      1.8834608593290 ","     12.0582120582121 ","    82.9521829521830 ","2020-05-11 16:55:00"
"8078","Baranoa","8","Atlántico","10.79488048","-74.91609981","10","12","0","2","10","0","0","","218","  ","  ","    83.3333333333333 ","  ","  ","  ","  ","     16.6666666666667 ","    83.3333333333333 ","2020-05-11 16:55:00"
"8141","Candelaria","8","Atlántico","10.46121723","-74.8799126","1","1","0","0","1","0","0","","2","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"8296","Galapa","8","Atlántico","10.919641","-74.8669381","9","10","0","1","9","0","0","","5","  ","  ","    90.0000000000000 ","  ","  ","  ","  ","     10.0000000000000 ","    90.0000000000000 ","2020-05-11 16:55:00"
"8433","Malambo","8","Atlántico","10.85628724","-74.77424057","68","74","4","2","58","8","2","10","52","                                 19.2307692307692 ","                         13.5135135135135 ","    78.3783783783784 ","    10.8108108108108 ","      2.7027027027027 ","      5.4054054054054 ","      2.8660275425247 ","       2.7027027027027 ","    91.8918918918919 ","2020-05-11 16:55:00"
"8436","Manatí","8","Atlántico","10.44896238","-74.95703499","3","3","0","0","3","0","0","","1","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"8520","Palmar de Varela","8","Atlántico","10.73858326","-74.75475789","12","12","0","0","12","0","0","","36","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"8558","Polonuevo","8","Atlántico","10.77772451","-74.85425725","7","8","0","1","7","0","0","","3","  ","  ","    87.5000000000000 ","  ","  ","  ","  ","     12.5000000000000 ","    87.5000000000000 ","2020-05-11 16:55:00"
"8560","Ponedera","8","Atlántico","10.64179593","-74.75390044","0","1","0","1","0","0","0","","11","  ","  ","  ","  ","  ","  ","  ","   100.0000000000000 ","  ","2020-05-11 16:55:00"
"8573","Puerto Colombia","8","Atlántico","11.02294005","-74.85196357","7","10","1","2","6","1","0","1","344","                                   0.2906976744186 ","                         10.0000000000000 ","    60.0000000000000 ","    10.0000000000000 ","  ","    10.0000000000000 ","      1.8639676415217 ","     20.0000000000000 ","    70.0000000000000 ","2020-05-11 16:55:00"
"8634","Sabanagrande","8","Atlántico","10.79107595","-74.75850721","53","54","0","1","53","0","0","","41","  ","  ","    98.1481481481482 ","  ","  ","  ","  ","       1.8518518518519 ","    98.1481481481482 ","2020-05-11 16:55:00"
"8638","Sabanalarga","8","Atlántico","10.63283523","-74.92109368","10","10","0","0","10","0","0","","114","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"8675","Santa Lucía","8","Atlántico","10.32327321","-74.95897145","0","1","1","0","0","0","0","","0","  ","  ","  ","  ","  ","  100.0000000000000 ","      5.8465855940131 ","  ","  ","2020-05-11 16:55:00"
"8685","Santo Tomás","8","Atlántico","10.75605629","-74.75411186","9","11","1","1","9","0","0","","32","  ","  ","    81.8181818181818 ","  ","  ","      9.0909090909091 ","      3.1250000000000 ","       9.0909090909091 ","    81.8181818181818 ","2020-05-11 16:55:00"
"8758","Soledad","8","Atlántico","10.91017447","-74.78483338","309","334","10","15","301","6","2","8","327","                                   2.4464831804281 ","                           2.3952095808383 ","    90.1197604790419 ","      1.7964071856287 ","      0.5988023952096 ","      2.9940119760479 ","      1.5037119128569 ","       4.4910179640719 ","    92.5149700598802 ","2020-05-11 16:55:00"
"11001","Bogotá D.C.","11","Bogotá D.C.","4.65017303","-74.107359","2993","4305","149","1163","2714","241","36","277","7247","                                   3.8222712846695 ","                           6.4343786295006 ","    63.0429732868757 ","      5.5981416957027 ","      0.8362369337979 ","      3.4610917537747 ","      1.9240814286757 ","     27.0150987224158 ","    69.5238095238095 ","2020-05-11 16:55:00"
"13001","Cartagena de Indias","19","Bolívar","10.38498552","-75.49643103","507","689","47","135","424","72","10","82","1588","                                   5.1637279596977 ","                         11.9013062409289 ","    61.5384615384615 ","    10.4499274310595 ","      1.4513788098694 ","      6.8214804063861 ","      4.5687134502924 ","     19.5936139332366 ","    73.5849056603774 ","2020-05-11 16:55:00"
"13052","Arjona","19","Bolívar","10.25663152","-75.34448845","7","11","0","4","7","0","0","","10","  ","  ","    63.6363636363636 ","  ","  ","  ","  ","     36.3636363636364 ","    63.6363636363636 ","2020-05-11 16:55:00"
"13074","Barranco de Loba","19","Bolívar","8.947730158","-74.10522428","0","1","1","0","0","0","0","","6","  ","  ","  ","  ","  ","  100.0000000000000 ","      6.5871813451024 ","  ","  ","2020-05-11 16:55:00"
"13140","Calamar","19","Bolívar","10.25196336","-74.91362928","0","1","1","0","0","0","0","","7","  ","  ","  ","  ","  ","  100.0000000000000 ","      4.3295666103823 ","  ","  ","2020-05-11 16:55:00"
"13430","Magangué","19","Bolívar","9.268563794","-74.77017457","2","2","0","0","1","1","0","1","220","                                   0.4545454545455 ","                         50.0000000000000 ","    50.0000000000000 ","    50.0000000000000 ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"13442","María la Baja","19","Bolívar","9.982645517","-75.30075935","1","1","0","0","0","1","0","1","1","                               100.0000000000000 ","                       100.0000000000000 ","  ","  100.0000000000000 ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"13620","San Cristóbal","19","Bolívar","10.39285577","-75.06553417","1","1","0","0","0","0","1","1","1","                               100.0000000000000 ","                       100.0000000000000 ","  ","  ","  100.0000000000000 ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"13683","Santa Rosa","19","Bolívar","10.44439608","-75.36983166","7","8","0","1","7","0","0","","16","  ","  ","    87.5000000000000 ","  ","  ","  ","  ","     12.5000000000000 ","    87.5000000000000 ","2020-05-11 16:55:00"
"13836","Turbaco","19","Bolívar","10.33276916","-75.42440917","13","23","1","9","12","1","0","1","70","                                   1.4285714285714 ","                           4.3478260869565 ","    52.1739130434783 ","      4.3478260869565 ","  ","      4.3478260869565 ","      0.8815232722144 ","     39.1304347826087 ","    56.5217391304348 ","2020-05-11 16:55:00"
"13838","Turbaná","19","Bolívar","10.27440205","-75.44250247","3","3","0","0","2","1","0","1","1","                               100.0000000000000 ","                         33.3333333333333 ","    66.6666666666667 ","    33.3333333333333 ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"13873","Villanueva","19","Bolívar","10.44449833","-75.27475439","2","2","0","0","1","1","0","1","1","                               100.0000000000000 ","                         50.0000000000000 ","    50.0000000000000 ","    50.0000000000000 ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"15001","Tunja","15","Boyacá","5.539953238","-73.35548873","3","8","1","4","2","0","1","1","299","                                   0.3344481605351 ","                         12.5000000000000 ","    25.0000000000000 ","  ","    12.5000000000000 ","    12.5000000000000 ","      0.5578395988018 ","     50.0000000000000 ","    37.5000000000000 ","2020-05-11 16:55:00"
"15047","Aquitania","15","Boyacá","5.518603543","-72.88398481","1","1","0","0","1","0","0","","3","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"15131","Caldas","15","Boyacá","5.554575079","-73.865541","1","1","0","0","0","1","0","1","0","  ","                       100.0000000000000 ","  ","  100.0000000000000 ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"15176","Chiquinquirá","15","Boyacá","5.61412789","-73.81838763","7","7","0","0","6","1","0","1","47","                                   2.1276595744681 ","                         14.2857142857143 ","    85.7142857142857 ","    14.2857142857143 ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"15223","Cubará","15","Boyacá","7.000092875","-72.11068776","2","2","0","0","1","0","0","","3","  ","  ","    50.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"15238","Duitama","15","Boyacá","5.82298568","-73.03060967","9","9","0","0","8","1","0","1","110","                                   0.9090909090909 ","                         11.1111111111111 ","    88.8888888888889 ","    11.1111111111111 ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"15299","Garagoa","15","Boyacá","5.083243463","-73.36442756","1","2","1","0","1","0","0","","15","  ","  ","    50.0000000000000 ","  ","  ","    50.0000000000000 ","      5.4579194411091 ","  ","    50.0000000000000 ","2020-05-11 16:55:00"
"15407","Villa de Leyva","15","Boyacá","5.632661849","-73.5246846","5","5","0","0","4","1","0","1","3","                                 33.3333333333333 ","                         20.0000000000000 ","    80.0000000000000 ","    20.0000000000000 ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"15469","Moniquirá","15","Boyacá","5.876334811","-73.57337039","2","2","0","0","0","2","0","2","19","                                 10.5263157894737 ","                       100.0000000000000 ","  ","  100.0000000000000 ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
"15480","Muzo","15","Boyacá","5.532462867","-74.10275078","1","1","0","0","1","0","0","","4","  ","  ","  100.0000000000000 ","  ","  ","  ","  ","  ","  100.0000000000000 ","2020-05-11 16:55:00"
