"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"5001","Medellin","5","Antioquia","5.610109776","-74.88681663","1831","2764","22","911","1618","180","30","210","2885","0.073","0.076","0.585","0.065","0.011","0.008","0.8683900","0.330","0.662","917","115156","2020-07-04 17:10:00"
"5030","Amaga","5","Antioquia","6.038808575","-75.70194607","3","5","0","2","3","0","0","0","5","0.000","0.000","0.600","0.000","0.000","0.000","0.0000000","0.400","0.600","6257","","2020-07-04 17:10:00"
"5034","Andes","5","Antioquia","5.656774852","-75.87879189","0","1","0","1","0","0","0","0","10","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","44199","","2020-07-04 17:10:00"
"5038","Angostura","5","Antioquia","6.885174591","-75.33511597","0","1","0","1","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","11536","","2020-07-04 17:10:00"
"5042","Santa Fe de Antioquia","5","Antioquia","6.556533296","-75.82707907","7","7","0","0","7","0","0","0","25","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","3857","","2020-07-04 17:10:00"
"5044","Anza","5","Antioquia","6.302658359","-75.85444158","5","5","0","0","5","0","0","0","2","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","1434","","2020-07-04 17:10:00"
"5045","Apartado","5","Antioquia","7.883417406","-76.62596065","137","195","0","58","130","7","0","7","158","0.044","0.036","0.667","0.036","0.000","0.000","0.0000000","0.297","0.703","655","","2020-07-04 17:10:00"
"5051","Arboletes","5","Antioquia","8.850567734","-76.4270568","29","30","0","1","25","4","0","4","4","1.000","0.133","0.833","0.133","0.000","0.000","0.0000000","0.033","0.967","1017","","2020-07-04 17:10:00"
"5079","Barbosa","5","Antioquia","6.439226882","-75.33164423","5","13","0","8","4","1","0","1","7","0.143","0.077","0.308","0.077","0.000","0.000","0.0000000","0.615","0.385","4181","","2020-07-04 17:10:00"
"5088","Bello","5","Antioquia","6.334068836","-75.55466507","241","401","7","153","216","20","5","25","355","0.070","0.062","0.539","0.050","0.012","0.017","1.2677623","0.382","0.601","1377","78879","2020-07-04 17:10:00"
"5093","Betulia","5","Antioquia","6.115255594","-75.98451587","1","1","0","0","1","0","0","0","5","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","15896","","2020-07-04 17:10:00"
"5101","Ciudad Bolivar","5","Antioquia","5.850273232","-76.02150921","2","3","1","0","2","0","0","0","23","0.000","0.000","0.667","0.000","0.000","0.333","3.8004028","0.000","0.667","8771","26313","2020-07-04 17:10:00"
"5113","Buritica","5","Antioquia","6.719735175","-75.90753473","44","44","0","0","44","0","0","0","3","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","219","","2020-07-04 17:10:00"
"5120","Caceres","5","Antioquia","7.578315451","-75.35235749","1","2","0","1","1","0","0","0","5","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","15178","","2020-07-04 17:10:00"
