"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"5001","Medellin","5","Antioquia","5.610109776","-74.88681663","338","737","4","395","319","12","7","19","2885","0.007","0.026","0.433","0.016","0.009","0.005","0.1578891","0.536","0.459","3437.000","633356.000","2020-06-10 16:53:00"
"5030","Amaga","5","Antioquia","6.038808575","-75.70194607","1","2","0","1","1","0","0","0","5","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","15642.000","","2020-06-10 16:53:00"
"5034","Andes","5","Antioquia","5.656774852","-75.87879189","0","1","0","1","0","0","0","0","10","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","44199.000","","2020-06-10 16:53:00"
"5038","Angostura","5","Antioquia","6.885174591","-75.33511597","0","1","0","1","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","11536.000","","2020-06-10 16:53:00"
"5042","Santa Fe de Antioquia","5","Antioquia","6.556533296","-75.82707907","1","1","0","0","1","0","0","0","25","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","27002.000","","2020-06-10 16:53:00"
"5045","Apartado","5","Antioquia","7.883417406","-76.62596065","11","26","0","15","11","0","0","0","158","0.000","0.000","0.423","0.000","0.000","0.000","0.0000000","0.577","0.423","4913.000","","2020-06-10 16:53:00"
"5051","Arboletes","5","Antioquia","8.850567734","-76.4270568","1","1","0","0","0","1","0","1","4","0.250","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","30510.000","","2020-06-10 16:53:00"
"5079","Barbosa","5","Antioquia","6.439226882","-75.33164423","4","5","0","1","4","0","0","0","7","0.000","0.000","0.800","0.000","0.000","0.000","0.0000000","0.200","0.800","10869.000","","2020-06-10 16:53:00"
"5088","Bello","5","Antioquia","6.334068836","-75.55466507","85","138","2","51","76","7","2","9","355","0.025","0.065","0.551","0.051","0.014","0.014","0.3622178","0.370","0.616","4001.000","276077.000","2020-06-10 16:53:00"
"5129","Caldas","5","Antioquia","6.091296966","-75.63361872","2","5","0","3","2","0","0","0","49","0.000","0.000","0.400","0.000","0.000","0.000","0.0000000","0.600","0.400","16685.000","","2020-06-10 16:53:00"
"5138","Canasgordas","5","Antioquia","6.759477684","-76.03220994","2","2","0","0","2","0","0","0","3","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","7776.000","","2020-06-10 16:53:00"
"5147","Carepa","5","Antioquia","7.755116346","-76.65321034","143","143","0","0","143","0","0","0","11","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","358.000","","2020-06-10 16:53:00"
"5148","El Carmen de Viboral","5","Antioquia","6.084551516","-75.33536246","0","1","0","1","0","0","0","0","11","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","62581.000","","2020-06-10 16:53:00"
"5154","Caucasia","5","Antioquia","7.977362333","-75.19829033","3","3","0","0","2","0","0","0","126","0.000","0.000","0.667","0.000","0.000","0.000","0.0000000","0.000","1.000","31809.000","","2020-06-10 16:53:00"
"5172","Chigorodo","5","Antioquia","7.666300439","-76.6812164","5","5","0","0","5","0","0","0","31","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","11967.000","","2020-06-10 16:53:00"
"5190","Cisneros","5","Antioquia","6.537761957","-75.08720761","0","1","0","1","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","9936.000","","2020-06-10 16:53:00"
"5197","Cocorna","5","Antioquia","6.058306335","-75.18548101","0","1","0","1","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","14833.000","","2020-06-10 16:53:00"
"5212","Copacabana","5","Antioquia","6.348640545","-75.5093439","21","33","0","12","20","0","0","0","6","0.000","0.000","0.606","0.000","0.000","0.000","0.0000000","0.364","0.636","2479.000","","2020-06-10 16:53:00"
"5237","Donmatias","5","Antioquia","6.484469957","-75.39272406","1","2","0","1","1","0","0","0","3","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","9855.000","","2020-06-10 16:53:00"
"5250","El Bagre","5","Antioquia","7.597521794","-74.79909729","0","1","0","1","0","0","0","0","12","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","53846.000","","2020-06-10 16:53:00"
"5266","Envigado","5","Antioquia","6.167004552","-75.58301014","15","42","0","27","14","1","0","1","131","0.008","0.024","0.333","0.024","0.000","0.000","0.0000000","0.643","0.357","5767.000","","2020-06-10 16:53:00"
"5284","Frontino","5","Antioquia","6.776065912","-76.13076514","2","3","0","1","2","0","0","0","5","0.000","0.000","0.667","0.000","0.000","0.000","0.0000000","0.333","0.667","6900.000","","2020-06-10 16:53:00"
"5306","Giraldo","5","Antioquia","6.680808016","-75.95215756","4","4","0","0","4","0","0","0","1","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","1438.000","","2020-06-10 16:53:00"
"5313","Granada","5","Antioquia","6.142896667","-75.18444508","0","1","1","0","0","0","0","0","1","0.000","0.000","0.000","0.000","0.000","1.000","10.2417042","0.000","0.000","9764.000","9764.000","2020-06-10 16:53:00"
"5318","Guarne","5","Antioquia","6.278064077","-75.44165392","0","3","0","3","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","19386.000","","2020-06-10 16:53:00"
"5321","Guatape","5","Antioquia","6.232592707","-75.16229259","0","2","0","2","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","4355.000","","2020-06-10 16:53:00"
