"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Leticia","Amazonas","-4.19983693453","-69.9414267076","128","136","8","0","113","15","0","15","70","21.428571428571","11.029411764706","83.088235294118","11.029411764706","","5.8823529411765","","94.117647058824","2020-05-02 17:05:00"
"Amagá","Antioquia","6.03880857536","-75.7019460715","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-05-02 17:05:00"
"Andes","Antioquia","5.65677485248","-75.8787918873","1","1","0","0","1","0","0","","10","","","100","","","","","100","2020-05-02 17:05:00"
"Angostura","Antioquia","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","3","","","100","","","","","100","2020-05-02 17:05:00"
"Apartadó","Antioquia","7.88341740579","-76.6259606537","2","4","0","2","2","0","0","","158","","","50","","","","50","50","2020-05-02 17:05:00"
"Barbosa","Antioquia","6.43922688162","-75.3316442322","1","1","0","0","1","0","0","","7","","","100","","","","","100","2020-05-02 17:05:00"
"Bello","Antioquia","6.33406883641","-75.554665073","32","52","1","19","30","1","1","2","355","0.56338028169014","3.8461538461538","57.692307692308","1.9230769230769","1.9230769230769","1.9230769230769","36.538461538462","61.538461538462","2020-05-02 17:05:00"
"Caldas","Antioquia","6.09129696608","-75.6336187219","0","3","0","3","0","0","0","","49","","","","","","","100","","2020-05-02 17:05:00"
"Cocorná","Antioquia","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","2","","","100","","","","","100","2020-05-02 17:05:00"
"Copacabana","Antioquia","6.34864054523","-75.5093439031","7","8","0","1","7","0","0","","6","","","87.5","","","","12.5","87.5","2020-05-02 17:05:00"
"Donmatías","Antioquia","6.485833","-75.395278","0","1","0","1","0","0","0","","3","","","","","","","100","","2020-05-02 17:05:00"
"El Bagre","Antioquia","7.5975217942","-74.799097289","1","1","0","0","1","0","0","","12","","","100","","","","","100","2020-05-02 17:05:00"
"El Santuario","Antioquia","6.13704685813","-75.2658497944","0","1","0","1","0","0","0","","3","","","","","","","100","","2020-05-02 17:05:00"
"Envigado","Antioquia","6.16700455162","-75.5830101409","11","28","0","17","11","0","0","","131","","","39.285714285714","","","","60.714285714286","39.285714285714","2020-05-02 17:05:00"
"Frontino","Antioquia","6.77606591161","-76.1307651388","0","1","0","1","0","0","0","","5","","","","","","","100","","2020-05-02 17:05:00"
"Granada","Antioquia","6.14289666655","-75.1844450829","0","1","1","0","0","0","0","","1","","","","","","100","","","2020-05-02 17:05:00"
"Guarne","Antioquia","6.2780640767","-75.441653922","1","3","0","2","1","0","0","","4","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-05-02 17:05:00"
"Guatapé","Antioquia","6.23259270739","-75.1622925892","1","2","0","1","0","1","0","1","2","50","50","","50","","","50","50","2020-05-02 17:05:00"
"Itagüí","Antioquia","6.16959762893","-75.6143587142","9","16","0","7","7","1","1","2","168","1.1904761904762","12.5","43.75","6.25","6.25","","43.75","56.25","2020-05-02 17:05:00"
"La Ceja","Antioquia","6.02805574408","-75.4294308862","0","2","0","2","0","0","0","","120","","","","","","","100","","2020-05-02 17:05:00"
"La Estrella","Antioquia","6.15841974028","-75.6451903823","5","9","0","4","5","0","0","","3","","","55.555555555556","","","","44.444444444444","55.555555555556","2020-05-02 17:05:00"
"Medellín","Antioquia","5.6101097761033","-74.886816625","196","310","3","111","183","3","10","13","2857","0.45502275113756","4.1935483870968","59.032258064516","0.96774193548387","3.2258064516129","0.96774193548387","35.806451612903","63.225806451613","2020-05-02 17:05:00"
"Montebello","Antioquia","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","2","","","100","","","","","100","2020-05-02 17:05:00"
"Retiro","Antioquia","6.06337995392","-75.5013751615","0","1","0","1","0","0","0","","12","","","","","","","100","","2020-05-02 17:05:00"
"Rionegro","Antioquia","6.14722409002","-75.3767693823","2","11","0","9","2","0","0","","304","","","18.181818181818","","","","81.818181818182","18.181818181818","2020-05-02 17:05:00"
"Sabaneta","Antioquia","6.15097018093","-75.6155852932","2","9","0","7","2","0","0","","22","","","22.222222222222","","","","77.777777777778","22.222222222222","2020-05-02 17:05:00"
"San Francisco","Antioquia","5.96407913115","-75.1026869656","0","1","1","0","0","0","0","","3","","","","","","100","","","2020-05-02 17:05:00"
"San Pedro de Urabá","Antioquia","8.27688666409","-76.380577886","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-05-02 17:05:00"
"Santa Rosa de Osos","Antioquia","6.64332600099","-75.4607450191","0","2","0","2","0","0","0","","6","","","","","","","100","","2020-05-02 17:05:00"
"Sonsón","Antioquia","5.71481164114","-75.3093951469","1","2","0","1","1","0","0","","4","","","50","","","","50","50","2020-05-02 17:05:00"
"San Andrés","Archipiélago de San Andrés Providencia y Santa Catalina","12.5830136907","-81.6960629797","2","6","0","4","2","0","0","","52","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-05-02 17:05:00"
"Baranoa","Atlántico","10.7948804772","-74.9160998139","1","3","0","2","1","0","0","","218","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-05-02 17:05:00"
"Barranquilla","Atlántico","10.9759268186","-74.7952590482","152","201","8","41","136","12","4","16","2599","0.6156213928434","7.9601990049751","67.661691542289","5.9701492537313","1.9900497512438","3.9800995024876","20.398009950249","75.621890547264","2020-05-02 17:05:00"
"Galapa","Atlántico","10.9196410045","-74.8669380999","1","2","0","1","1","0","0","","5","","","50","","","","50","50","2020-05-02 17:05:00"
"Malambo","Atlántico","10.8562872414","-74.7742405717","27","28","1","0","20","3","4","7","52","13.461538461538","25","71.428571428571","10.714285714286","14.285714285714","3.5714285714286","","96.428571428571","2020-05-02 17:05:00"
"Manatí","Atlántico","10.4489623783","-74.9570349911","2","2","0","0","2","0","0","","1","","","100","","","","","100","2020-05-02 17:05:00"
"Palmar de Varela","Atlántico","10.7385832606","-74.7547578946","1","1","0","0","1","0","0","","36","","","100","","","","","100","2020-05-02 17:05:00"
"Polonuevo","Atlántico","10.7777245089","-74.8542572499","0","1","0","1","0","0","0","","3","","","","","","","100","","2020-05-02 17:05:00"
"Ponedera","Atlántico","10.6417959278","-74.7539004396","0","1","0","1","0","0","0","","11","","","","","","","100","","2020-05-02 17:05:00"
"Puerto Colombia","Atlántico","11.0229400539","-74.851963565","3","4","0","1","3","0","0","","344","","","75","","","","25","75","2020-05-02 17:05:00"
"Sabanagrande","Atlántico","10.7910759492","-74.758507205","23","23","0","0","23","0","0","","41","","","100","","","","","100","2020-05-02 17:05:00"
"Sabanalarga","Atlántico","10.6328352305","-74.9210936808","2","2","0","0","2","0","0","","114","","","100","","","","","100","2020-05-02 17:05:00"
"Santo Tomás","Atlántico","10.756056293","-74.7541118585","1","2","0","1","1","0","0","","32","","","50","","","","50","50","2020-05-02 17:05:00"
"Soledad","Atlántico","10.9101744673","-74.784833384","126","144","6","12","125","1","0","1","327","0.30581039755352","0.69444444444444","86.805555555556","0.69444444444444","","4.1666666666667","8.3333333333333","87.5","2020-05-02 17:05:00"
"Bogotá D.C.","Bogotá D.C.","4.65017303026","-74.1073590032","2140","2846","111","595","1922","180","38","218","7262","3.0019278435693","7.659873506676","67.533380182713","6.3246661981729","1.3352073085032","3.9002108222066","20.906535488405","75.193253689389","2020-05-02 17:05:00"
"Arjona","Bolívar","10.2566315237","-75.3444884486","3","4","0","1","3","0","0","","10","","","75","","","","25","75","2020-05-02 17:05:00"
"Barranco de Loba","Bolívar","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","6","","","","","","100","","","2020-05-02 17:05:00"
"Calamar","Bolívar","10.2519633588","-74.9136292818","0","1","1","0","0","0","0","","7","","","","","","100","","","2020-05-02 17:05:00"
"Cartagena de Indias","Bolívar","10.3849855226","-75.496431028","193","309","23","93","161","22","10","32","1588","2.0151133501259","10.355987055016","52.10355987055","7.1197411003236","3.2362459546926","7.4433656957929","30.097087378641","62.459546925566","2020-05-02 17:05:00"
"San Cristóbal","Bolívar","10.3928557722","-75.0655341715","1","1","0","0","0","0","1","1","1","100","100","","","100","","","100","2020-05-02 17:05:00"
"Santa Rosa","Bolívar","9.06946150984","-74.6714498299","3","3","0","0","3","0","0","","16","","","100","","","","","100","2020-05-02 17:05:00"
