"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"ANAPOIMA","CUNDINAMARCA","4.56295617479","-74.5285175294","2","2","0","0","2","0","0","","","","2020-04-02 13:40:00"
"ANSERMA","CALDAS","5.23647439108","-75.7843426615","1","1","0","0","1","0","0","","","","2020-04-02 13:40:00"
"APARTADO","ANTIOQUIA","7.88341740579","-76.6259606537","1","1","0","0","1","0","0","","","","2020-04-02 13:40:00"
"ARJONA","BOLÍVAR","10.2566315237","-75.3444884486","2","2","0","0","2","0","0","","","","2020-04-02 13:40:00"
"ARMENIA","QUINDÍO","6.15581872915","-75.7868378278","13","17","0","4","12","0","1","1","5.8823529411765","","2020-04-02 13:40:00"
"BARBOSA","ANTIOQUIA","6.43922688162","-75.3316442322","1","1","0","0","1","0","0","","","","2020-04-02 13:40:00"
"BARRANQUILLA","BARRANQUILLA D.E.","10.9759268186","-74.7952590482","25","31","2","4","23","0","2","2","6.4516129032258","6.4516129032258","2020-04-02 13:40:00"
"BELLO","ANTIOQUIA","6.33406883641","-75.554665073","7","8","0","1","7","0","0","","","","2020-04-02 13:40:00"
"BOGOTA","BOGOTÁ D.C.","4.65017303026","-74.1073590032","488","542","10","44","411","50","27","77","14.206642066421","1.8450184501845","2020-04-02 13:40:00"
"BUCARAMANGA","SANTANDER","7.11626727561","-73.1325981781","9","9","0","0","9","0","0","","","","2020-04-02 13:40:00"
"BUGA","VALLE DEL CAUCA","3.90082354377","-76.2989611331","0","1","0","1","0","0","0","","","","2020-04-02 13:40:00"
"CAJICA","CUNDINAMARCA","4.92080905869","-74.0234539659","1","3","0","2","1","0","0","","","","2020-04-02 13:40:00"
"CALARCA","QUINDÍO","4.51528184598","-75.6490883624","1","1","0","0","1","0","0","","","","2020-04-02 13:40:00"
"CALI","VALLE DEL CAUCA","3.41441430458","-76.5215651508","101","106","4","1","87","7","7","14","13.207547169811","3.7735849056604","2020-04-02 13:40:00"
"CARTAGENA","CARTAGENA D.T. Y C","5.02682657968","-75.6392495535","32","39","3","4","30","1","1","2","5.1282051282051","7.6923076923077","2020-04-02 13:40:00"
"CARTAGO","VALLE DEL CAUCA","4.75875509757","-75.9422640436","6","6","0","0","6","0","0","","","","2020-04-02 13:40:00"
"CHIA","CUNDINAMARCA","4.86606542368","-74.0503468211","5","7","0","2","4","1","0","1","14.285714285714","","2020-04-02 13:40:00"
"CHINCHINA","CALDAS","4.98581286197","-75.6074807289","3","3","0","0","3","0","0","","","","2020-04-02 13:40:00"
"CIRCASIA","QUINDÍO","4.61779204337","-75.636528232","2","2","0","0","2","0","0","","","","2020-04-02 13:40:00"
"COTA","CUNDINAMARCA","4.81298776927","-74.1027264632","8","8","0","0","8","0","0","","","","2020-04-02 13:40:00"
"CUCUTA","NORTE DE SANTANDER","7.90530629465","-72.5082561962","17","19","0","2","16","1","0","1","5.2631578947368","","2020-04-02 13:40:00"
"CUMBAL","NARIÑO","0.906185360866","-77.7922766205","2","2","0","0","2","0","0","","","","2020-04-02 13:40:00"
"DARIEN","VALLE DEL CAUCA","3.93352446268","-76.4843917469","1","1","0","0","1","0","0","","","","2020-04-02 13:40:00"
"DON MATIAS","ANTIOQUIA","6.485833","-75.395278","1","1","0","0","1","0","0","","","","2020-04-02 13:40:00"
"DOSQUEBRADAS","RISARALDA","4.82718783235","-75.6824691212","8","8","0","0","7","0","1","1","12.5","","2020-04-02 13:40:00"
"EL DOVIO","VALLE DEL CAUCA","4.51045288499","-76.2370841098","1","1","0","0","1","0","0","","","","2020-04-02 13:40:00"
