"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mortality_Rate","Recovery_Rates","Last_Update"
"CUCUTA","NORTE DE SANTANDER","-72.5082561962","7.90530629465","40","54","3","11","37","1","2","3","5.5555555555556","5.5555555555556","20.37037037037","2020-04-20 16:28:00"
"CUMBAL","NARIÑO","0.906185360866","-77.7922766205","3","3","0","0","3","0","0","","","","","2020-04-20 16:28:00"
"CUMBITARA","NARIÑO","1.64684597096","-77.5781467265","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"CURITI","SANTANDER","-75.7988581159","6.6735257713","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"DARIEN","VALLE DEL CAUCA","3.93352446268","-76.4843917469","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"DONMATIAS","ANTIOQUIA","6.485833","-75.395278","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"DOSQUEBRADAS","RISARALDA","4.82718783235","-75.6824691212","33","40","1","6","32","1","0","1","2.5","2.5","15","2020-04-20 16:28:00"
"EL BANCO","MAGDALENA","9.05756833011","-75.5728891535","0","1","1","0","0","0","0","","","100","","2020-04-20 16:28:00"
"EL CERRITO","VALLE DEL CAUCA","10.7668670891","-75.2027580712","9","10","1","0","8","1","0","1","10","10","","2020-04-20 16:28:00"
"EL COLEGIO","CUNDINAMARCA","4.57945966153","-74.4425516884","1","1","0","0","0","1","0","1","100","","","2020-04-20 16:28:00"
"EL DOVIO","VALLE DEL CAUCA","4.51045288499","-76.2370841098","2","4","1","1","2","0","0","","","25","25","2020-04-20 16:28:00"
"EL SANTUARIO","ANTIOQUIA","6.13704685813","-75.2658497944","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"ENVIGADO","ANTIOQUIA","6.16700455162","-75.5830101409","15","25","0","10","13","1","1","2","8","","40","2020-04-20 16:28:00"
"ESPINAL","TOLIMA","4.15131422057","-74.8854497584","2","3","1","0","2","0","0","","","33.333333333333","","2020-04-20 16:28:00"
"FACATATIVA","CUNDINAMARCA","-74.3502279311","4.81306417837","3","3","0","0","3","0","0","","","","","2020-04-20 16:28:00"
"FILANDIA","QUINDIO","4.67414557186","-75.6586858841","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"FLORENCIA","CAQUETA","9.31366872153","-74.8915160804","1","2","1","0","1","0","0","","","50","","2020-04-20 16:28:00"
"FLORIDA","VALLE DEL CAUCA","3.32391810634","-76.2345017444","7","7","0","0","6","0","1","1","14.285714285714","","","2020-04-20 16:28:00"
"FLORIDABLANCA","SANTANDER","7.07236040291","-73.0990326168","5","7","0","2","4","0","1","1","14.285714285714","","28.571428571429","2020-04-20 16:28:00"
"FRONTINO","ANTIOQUIA","6.77606591161","-76.1307651388","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"FUNDACION","MAGDALENA","-74.1913434578","10.5140924032","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"FUNZA","CUNDINAMARCA","4.7127630154","-74.2115250018","7","7","0","0","7","0","0","","","","","2020-04-20 16:28:00"
"FUSAGASUGA","CUNDINAMARCA","-74.3663339328","4.33848085051","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"GALAPA","ATLANTICO","10.9196410045","-74.8669380999","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"GARAGOA","BOYACA","5.08324346272","-73.3644275636","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"GARZON","HUILA","-75.6276937365","2.19699442096","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"GIGANTE","HUILA","2.38823562547","-75.5412198856","2","2","0","0","2","0","0","","","","","2020-04-20 16:28:00"
"GINEBRA","VALLE DEL CAUCA","3.72418114734","-76.2680678884","0","1","1","0","0","0","0","","","100","","2020-04-20 16:28:00"
"GRANADA","ANTIOQUIA","6.14289666655","-75.1844450829","1","1","0","0","0","1","0","1","100","","","2020-04-20 16:28:00"
"GUACARI","VALLE DEL CAUCA","-76.3313673514","3.76290900784","2","2","0","0","2","0","0","","","","","2020-04-20 16:28:00"
"GUADALAJARA DE BUGA","VALLE DEL CAUCA","3.90082354377","-76.2989611331","6","8","0","2","5","1","0","1","12.5","","25","2020-04-20 16:28:00"
"GUARNE","ANTIOQUIA","6.2780640767","-75.441653922","0","2","0","2","0","0","0","","","","100","2020-04-20 16:28:00"
"GUATAPE","ANTIOQUIA","-75.1622925892","6.23259270739","1","2","0","1","1","0","0","","","","50","2020-04-20 16:28:00"
"IBAGUE","TOLIMA","-75.1937147765","4.43960899136","10","28","1","17","9","0","1","1","3.5714285714286","3.5714285714286","60.714285714286","2020-04-20 16:28:00"
"IPIALES","NARIÑO","0.827734241442","-77.6464007453","20","23","3","0","17","3","0","3","13.04347826087","13.04347826087","","2020-04-20 16:28:00"
"ITAGÜI","ANTIOQUIA","-75.6143587142","6.16959762893","7","13","0","6","6","1","0","1","7.6923076923077","","46.153846153846","2020-04-20 16:28:00"
"JAMUNDI","VALLE DEL CAUCA","-76.5424587285","3.26227576022","6","7","1","0","6","0","0","","","14.285714285714","","2020-04-20 16:28:00"
"LA CALERA","CUNDINAMARCA","4.72034452148","-73.9697449587","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"LA CEJA","ANTIOQUIA","6.02805574408","-75.4294308862","1","2","0","1","0","1","0","1","50","","50","2020-04-20 16:28:00"
"LA DORADA","CALDAS","8.34513300359","-74.4778605477","24","28","2","2","24","0","0","","","7.1428571428571","7.1428571428571","2020-04-20 16:28:00"
"LA ESTRELLA","ANTIOQUIA","6.15841974028","-75.6451903823","4","6","0","2","4","0","0","","","","33.333333333333","2020-04-20 16:28:00"
"LA TEBAIDA","QUINDIO","6.00569607721","-75.0256207392","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"LA UNION","VALLE DEL CAUCA","-75.6212252215","6.38243035338","0","2","0","2","0","0","0","","","","100","2020-04-20 16:28:00"
"LA VIRGINIA","RISARALDA","4.49036013291","-75.6425417206","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"LETICIA","AMAZONAS","10.1820963025","-75.5118252981","4","4","0","0","4","0","0","","","","","2020-04-20 16:28:00"
"LORICA","CORDOBA","9.24085514265","-75.8159953999","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"MADRID","CUNDINAMARCA","9.19385244104","-74.7496541106","4","6","0","2","4","0","0","","","","33.333333333333","2020-04-20 16:28:00"
"MALAMBO","ATLANTICO","10.8562872414","-74.7742405717","2","2","0","0","2","0","0","","","","","2020-04-20 16:28:00"
"MANIZALES","CALDAS","7.8368375609","-75.4143614377","7","12","0","5","7","0","0","","","","41.666666666667","2020-04-20 16:28:00"
"MEDELLIN","ANTIOQUIA","-74.886816625","5.6101097761033","144","226","2","80","124","13","7","20","8.8495575221239","0.88495575221239","35.398230088496","2020-04-20 16:28:00"
"MELGAR","TOLIMA","4.20815489203","-74.6298504009","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"MIRANDA","CAUCA","3.25309540523","-76.2288698651","4","5","1","0","3","1","0","1","20","20","","2020-04-20 16:28:00"
"MONTEBELLO","ANTIOQUIA","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","","","","2020-04-20 16:28:00"
"MONTENEGRO","QUINDIO","4.5629597433","-75.7518122369","2","3","1","0","2","0","0","","","33.333333333333","","2020-04-20 16:28:00"
"MONTERIA","CORDOBA","-75.8755779091","8.7451325909","13","15","1","1","13","0","0","","","6.6666666666667","6.6666666666667","2020-04-20 16:28:00"
"MOSQUERA","CUNDINAMARCA","4.71137120122","-74.2317750849","3","5","0","2","2","0","1","1","20","","40","2020-04-20 16:28:00"
"NEIVA","HUILA","8.55014492944","-75.5402712159","34","62","3","25","28","4","2","6","9.6774193548387","4.8387096774194","40.322580645161","2020-04-20 16:28:00"
"OCAÑA","NORTE DE SANTANDER","8.246111","-73.355278","0","1","1","0","0","0","0","","","100","","2020-04-20 16:28:00"
"OICATA","BOYACA","-73.3084039802","5.59523423857","0","1","0","1","0","0","0","","","","100","2020-04-20 16:28:00"
"PACHO","CUNDINAMARCA","5.13694229685","-74.1561166248","11","11","0","0","9","2","0","2","18.181818181818","","","2020-04-20 16:28:00"
"PAICOL","HUILA","2.44954894922","-75.7729923197","1","1","0","0","1","0","0","","","","","2020-04-20 16:28:00"
"PALERMO","HUILA","5.73280146532","-75.6953709211","1","3","0","2","1","0","0","","","","66.666666666667","2020-04-20 16:28:00"
