"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"47245","El Banco","47","Magdalena","9.008733009","-73.97428121","22","35","2","11","17","4","1","5","86","0.058","0.143","0.486","0.114","0.029","0.057","2.8693993","0.314","0.629","1991","34851","2020-06-25 16:44:00"
"47258","El Pinon","47","Magdalena","10.40309454","-74.82329109","2","2","0","0","0","2","0","2","5","0.400","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","12042","","2020-06-25 16:44:00"
"47268","El Reten","47","Magdalena","10.61066766","-74.2684561","1","3","0","2","1","0","0","0","3","0.000","0.000","0.333","0.000","0.000","0.000","0.0000000","0.667","0.333","7017","","2020-06-25 16:44:00"
"47288","Fundacion","47","Magdalena","10.5140924","-74.19134346","15","19","1","3","11","4","0","4","117","0.034","0.211","0.579","0.211","0.000","0.053","1.4186208","0.158","0.789","3710","70491","2020-06-25 16:44:00"
"47318","Guamal","47","Magdalena","9.144385832","-74.22369928","1","1","0","0","1","0","0","0","7","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","27918","","2020-06-25 16:44:00"
"47545","Pijino del Carmen","47","Magdalena","9.331953112","-74.45821824","0","1","1","0","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","1.000","7.7471336","0.000","0.000","12908","12908","2020-06-25 16:44:00"
"47551","Pivijay","47","Magdalena","10.46069324","-74.61351795","0","1","1","0","0","0","0","0","20","0.000","0.000","0.000","0.000","0.000","1.000","2.5658789","0.000","0.000","38973","38973","2020-06-25 16:44:00"
"47555","Plato","47","Magdalena","9.796769868","-74.78468286","1","1","0","0","1","0","0","0","52","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","64017","","2020-06-25 16:44:00"
"47570","Puebloviejo","47","Magdalena","10.99482965","-74.28248423","44","182","20","118","31","12","1","13","5","2.600","0.071","0.170","0.066","0.005","0.110","62.1349571","0.648","0.242","177","1609","2020-06-25 16:44:00"
"47605","Remolino","47","Magdalena","10.70217005","-74.71614047","1","1","0","0","0","1","0","1","2","0.500","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","11929","","2020-06-25 16:44:00"
"47692","San Sebastian de Buenavista","47","Magdalena","9.24050525","-74.35167514","1","1","0","0","0","1","0","1","5","0.200","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","20696","","2020-06-25 16:44:00"
"47707","Santa Ana","47","Magdalena","9.321837859","-74.56765762","1","1","0","0","0","1","0","1","11","0.091","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","26075","","2020-06-25 16:44:00"
"47745","Sitionuevo","47","Magdalena","10.77540964","-74.72016921","27","43","3","13","24","3","0","3","5","0.600","0.070","0.558","0.070","0.000","0.070","10.2884187","0.302","0.628","678","9720","2020-06-25 16:44:00"
"47980","Zona Bananera","47","Magdalena","10.76302682","-74.14008184","6","18","4","8","3","3","0","3","7","0.429","0.167","0.167","0.167","0.000","0.222","5.4103039","0.444","0.333","4107","18483","2020-06-25 16:44:00"
"50001","Villavicencio","50","Meta","4.1238615","-73.62709204","160","1091","10","921","149","9","1","10","793","0.013","0.009","0.137","0.008","0.001","0.009","1.8338462","0.844","0.147","500","54530","2020-06-25 16:44:00"
"50006","Acacias","50","Meta","3.990120663","-73.76593665","12","26","0","14","12","0","0","0","11","0.000","0.000","0.462","0.000","0.000","0.000","0.0000000","0.538","0.462","3532","","2020-06-25 16:44:00"
"50124","Cabuyaro","50","Meta","4.285923848","-72.79197878","1","1","0","0","0","1","0","1","4","0.250","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","6192","","2020-06-25 16:44:00"
"50226","Cumaral","50","Meta","4.269537766","-73.48610878","3","4","0","1","3","0","0","0","4","0.000","0.000","0.750","0.000","0.000","0.000","0.0000000","0.250","0.750","5799","","2020-06-25 16:44:00"
"50313","Granada","50","Meta","3.546694724","-73.70571533","8","19","0","11","7","1","0","1","87","0.011","0.053","0.368","0.053","0.000","0.000","0.0000000","0.579","0.421","3715","","2020-06-25 16:44:00"
