"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Cereté","Córdoba","8.88861181239","-75.7962165157","1","1","0","0","1","0","0","","111","","","100","","","","","100","2020-04-28 17:13:00"
"Chía","Cundinamarca","4.86606542368","-74.0503468211","13","27","1","13","13","0","0","","250","","","48.148148148148","","","3.7037037037037","48.148148148148","48.148148148148","2020-04-28 17:13:00"
"Chinchiná","Caldas","4.98581286197","-75.6074807289","1","4","0","3","1","0","0","","77","","","25","","","","75","25","2020-04-28 17:13:00"
"Choachí","Cundinamarca","4.52704792092","-73.9228944808","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-04-28 17:13:00"
"Ciénaga","Magdalena","11.0066568813","-74.2412861592","22","24","1","1","21","1","0","1","204","0.49019607843137","4.1666666666667","87.5","4.1666666666667","","4.1666666666667","4.1666666666667","91.666666666667","2020-04-28 17:13:00"
"Ciénaga de Oro","Córdoba","8.87550224563","-75.6207866383","0","1","1","0","0","0","0","","12","","","","","","100","","","2020-04-28 17:13:00"
"Cimitarra","Santander","6.32068186747","-73.9525821232","0","2","0","2","0","0","0","","21","","","","","","","100","","2020-04-28 17:13:00"
"Circasia","Quindio","4.61779204337","-75.636528232","2","3","0","1","2","0","0","","13","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-28 17:13:00"
"Cocorná","Antioquia","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-04-28 17:13:00"
"Codazzi","Cesar","10.0404579941","-73.2383961682","1","1","0","0","0","1","0","1","119","0.84033613445378","100","","100","","","","100","2020-04-28 17:13:00"
"Cogua","Cundinamarca","5.06184179776","-73.9784966905","1","1","0","0","0","1","0","1","0","","100","","100","","","","100","2020-04-28 17:13:00"
"Concepción","Santander","6.39434709534","-75.2576027037","0","1","0","1","0","0","0","","3","","","","","","","100","","2020-04-28 17:13:00"
"Contadero","Nariño","0.91045786274","-77.5494090245","0","1","0","1","0","0","0","","1","","","","","","","100","","2020-04-28 17:13:00"
"Copacabana","Antioquia","6.34864054523","-75.5093439031","6","7","0","1","6","0","0","","12","","","85.714285714286","","","","14.285714285714","85.714285714286","2020-04-28 17:13:00"
"Cota","Cundinamarca","4.81298776927","-74.1027264632","2","9","0","7","2","0","0","","0","","","22.222222222222","","","","77.777777777778","22.222222222222","2020-04-28 17:13:00"
"Cuaspúd","Nariño","0.862978103157","-77.728946826","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-04-28 17:13:00"
"Cúcuta","Norte de Santander","7.90530629465","-72.5082561962","35","62","4","23","32","2","1","3","1505","0.19933554817276","4.8387096774194","51.612903225806","3.2258064516129","1.6129032258065","6.4516129032258","37.096774193548","56.451612903226","2020-04-28 17:13:00"
"Cumbal","Nariño","0.906185360866","-77.7922766205","3","4","0","1","2","1","0","1","10","10","25","50","25","","","25","75","2020-04-28 17:13:00"
"Cumbitara","Nariño","1.64684597096","-77.5781467265","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-04-28 17:13:00"
"Cun","Cundinamarca","5.249767987","-73.7662153323","0","1","1","0","0","0","0","","0","","","","","","100","","","2020-04-28 17:13:00"
"Curití","Santander","6.6735257713","-75.7988581159","0","1","0","1","0","0","0","","10","","","","","","","100","","2020-04-28 17:13:00"
"Donmatías","Antioquia","6.485833","-75.395278","0","1","0","1","0","0","0","","6","","","","","","","100","","2020-04-28 17:13:00"
"Dosquebradas","Risaralda","4.82718783235","-75.6824691212","41","55","1","13","40","0","1","1","68","1.4705882352941","1.8181818181818","72.727272727273","","1.8181818181818","1.8181818181818","23.636363636364","74.545454545455","2020-04-28 17:13:00"
"El Banco","Magdalena","9.05756833011","-75.5728891535","0","1","1","0","0","0","0","","173","","","","","","100","","","2020-04-28 17:13:00"
"El Cerrito","Valle del Cauca","10.7668670891","-75.2027580712","12","13","1","0","12","0","0","","18","","","92.307692307692","","","7.6923076923077","","92.307692307692","2020-04-28 17:13:00"
"El Dovio","Valle del Cauca","4.51045288499","-76.2370841098","0","4","1","3","0","0","0","","7","","","","","","25","75","","2020-04-28 17:13:00"
"El Santuario","Antioquia","6.13704685813","-75.2658497944","0","1","0","1","0","0","0","","6","","","","","","","100","","2020-04-28 17:13:00"
"El Tambo","Cauca","6.0145884441","-75.4363274758","1","1","0","0","0","1","0","1","11","9.0909090909091","100","","100","","","","100","2020-04-28 17:13:00"
"Envigado","Antioquia","6.16700455162","-75.5830101409","14","28","0","14","13","1","0","1","262","0.38167938931298","3.5714285714286","46.428571428571","3.5714285714286","","","50","50","2020-04-28 17:13:00"
"Espinal","Tolima","4.15131422057","-74.8854497584","2","3","1","0","2","0","0","","185","","","66.666666666667","","","33.333333333333","","66.666666666667","2020-04-28 17:13:00"
"Facatativá","Cundinamarca","4.81306417837","-74.3502279311","5","5","0","0","4","1","0","1","343","0.29154518950437","20","80","20","","","","100","2020-04-28 17:13:00"
"Filandia","Quindio","4.67414557186","-75.6586858841","1","1","0","0","1","0","0","","122","","","100","","","","","100","2020-04-28 17:13:00"
"Florencia","Caquetá","9.31366872153","-74.8915160804","6","7","1","0","6","0","0","","514","","","85.714285714286","","","14.285714285714","","85.714285714286","2020-04-28 17:13:00"
"Florida","Valle del Cauca","3.32391810634","-76.2345017444","8","8","0","0","7","0","1","1","38","2.6315789473684","12.5","87.5","","12.5","","","100","2020-04-28 17:13:00"
"Floridablanca","Santander","7.07236040291","-73.0990326168","0","8","1","7","0","0","0","","807","","","","","","12.5","87.5","","2020-04-28 17:13:00"
"Frontino","Antioquia","6.77606591161","-76.1307651388","0","1","0","1","0","0","0","","10","","","","","","","100","","2020-04-28 17:13:00"
"Fundación","Magdalena","10.5140924032","-74.1913434578","1","1","0","0","1","0","0","","234","","","100","","","","","100","2020-04-28 17:13:00"
"Funza","Cundinamarca","4.7127630154","-74.2115250018","9","12","0","3","9","0","0","","20","","","75","","","","25","75","2020-04-28 17:13:00"
"Fusagasugá","Cundinamarca","4.33848085051","-74.3663339328","0","1","0","1","0","0","0","","184","","","","","","","100","","2020-04-28 17:13:00"
"Galapa","Atlántico","10.9196410045","-74.8669380999","0","1","0","1","0","0","0","","11","","","","","","","100","","2020-04-28 17:13:00"
"Garagoa","Boyacá","5.08324346272","-73.3644275636","1","1","0","0","1","0","0","","30","","","100","","","","","100","2020-04-28 17:13:00"
"Garzón","Huila","2.19699442096","-75.6276937365","1","1","0","0","1","0","0","","133","","","100","","","","","100","2020-04-28 17:13:00"
"Gigante","Huila","2.38823562547","-75.5412198856","4","4","0","0","3","1","0","1","8","12.5","25","75","25","","","","100","2020-04-28 17:13:00"
"Ginebra","Valle del Cauca","3.72418114734","-76.2680678884","0","1","1","0","0","0","0","","9","","","","","","100","","","2020-04-28 17:13:00"
"Granada","Antioquia","6.14289666655","-75.1844450829","4","4","0","0","2","2","0","2","3","66.666666666667","50","50","50","","","","100","2020-04-28 17:13:00"
"Guacarí","Valle del Cauca","3.76290900784","-76.3313673514","2","2","0","0","2","0","0","","10","","","100","","","","","100","2020-04-28 17:13:00"
"Guachené","Cauca","3.13415329544","-76.3921887379","1","1","0","0","0","1","0","1","0","","100","","100","","","","100","2020-04-28 17:13:00"
"Guadalajara de Buga","Valle del Cauca","3.90082354377","-76.2989611331","7","8","0","1","7","0","0","","331","","","87.5","","","","12.5","87.5","2020-04-28 17:13:00"
