"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"52","Narino","52001","Pasto","1.212124365","-77.27857635","715","867","37","115","622","86","5","4356","91","980","0.088","82","0.061","0.105","0.717","0.099","0.006","0.043","0.0227330","0.133","0.825","0.199","1877.000","43989.000","2020-05-28 17:28:00"
"54","Norte de Santander","54001","Cucuta","7.905306295","-72.5082562","33","128","12","83","28","4","1","5887","5","763","0.005","83","0.012","0.039","0.219","0.031","0.008","0.094","0.0074060","0.648","0.258","0.022","12659.000","135027.000","2020-05-28 17:28:00"
"86","Putumayo","86001","Mocoa","1.152296118","-76.65027142","7","7","0","0","3","2","2","409","4","193","0.010","6","0.333","0.571","0.429","0.286","0.286","0.000","0.0000000","0.000","1.000","0.017","51304.000","","2020-05-28 17:28:00"
"63","Quindio","5059","Armenia","6.155818729","-75.78683783","32","107","2","73","29","1","2","2180","3","481","0.002","28","0.071","0.028","0.271","0.009","0.019","0.019","0.0036010","0.682","0.299","0.049","5191.000","277701.000","2020-05-28 17:28:00"
"66","Risaralda","23001","Pereira","8.745132591","-75.87557791","36","250","8","206","35","0","1","5590","1","710","0.000","64","0.016","0.004","0.140","0.000","0.004","0.032","0.0083242","0.824","0.144","0.045","3844.000","120132.000","2020-05-28 17:28:00"
"68","Santander","68001","Bucaramanga","7.116267276","-73.13259818","18","59","3","38","18","0","0","7532","0","1624","0.000","171","0.000","0.000","0.305","0.000","0.000","0.051","0.0013153","0.644","0.305","0.008","38659.000","760303.000","2020-05-28 17:28:00"
"70","Sucre","70001","Sincelejo","9.302333104","-75.39548356","12","15","0","3","11","1","0","1707","1","816","0.001","96","0.000","0.067","0.733","0.067","0.000","0.000","0.0000000","0.200","0.800","0.009","63283.000","","2020-05-28 17:28:00"
"73","Tolima","73001","Ibague","4.439608991","-75.19371478","118","246","7","121","112","4","2","5124","6","806","0.005","126","0.016","0.024","0.455","0.016","0.008","0.028","0.0052239","0.492","0.480","0.048","5447.000","191428.000","2020-05-28 17:28:00"
"76","Valle del Cauca","76001","Cali","3.414414305","-76.52156515","1988","2969","141","840","1664","269","55","27350","324","3072","0.088","503","0.109","0.109","0.560","0.091","0.019","0.047","0.0311110","0.283","0.670","0.109","1526.000","32143.000","2020-05-28 17:28:00"
"97","Vaupes","97001","Mitu","1.251190563","-70.23475052","11","11","0","0","11","0","0","636","0","4","0.000","0","","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","0.017","4065.000","","2020-05-28 17:28:00"
