"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"MADRID","CUNDINAMARCA","9.19385244104","-74.7496541106","3","3","0","0","3","0","0","","","","2020-04-07 15:41:00"
"MANIZALES","CALDAS","7.8368375609","-75.4143614377","4","5","0","1","4","0","0","","","","2020-04-07 15:41:00"
"MEDELLIN","ANTIOQUIA","5.6101097761033","-74.886816625","114","123","1","8","104","7","3","10","8.130081300813","0.8130081300813","2020-04-07 15:41:00"
"MONTEBELLO","ANTIOQUIA","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","","","2020-04-07 15:41:00"
"MONTENEGRO","QUINDÍO","4.5629597433","-75.7518122369","2","2","0","0","2","0","0","","","","2020-04-07 15:41:00"
"MONTERIA","CÓRDOBA","8.7451325909","-75.8755779091","3","4","1","0","0","3","0","3","75","25","2020-04-07 15:41:00"
"MOSQUERA","CUNDINAMARCA","4.71137120122","-74.2317750849","3","3","0","0","2","0","1","1","33.333333333333","","2020-04-07 15:41:00"
"NEIVA","HUILA","8.55014492944","-75.5402712159","24","31","2","5","22","0","2","2","6.4516129032258","6.4516129032258","2020-04-07 15:41:00"
"OICATA","BOYACÁ","5.59523423857","-73.3084039802","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"PACHO","CUNDINAMARCA","5.13694229685","-74.1561166248","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"PALERMO","HUILA","5.73280146532","-75.6953709211","3","3","0","0","3","0","0","","","","2020-04-07 15:41:00"
"PALMIRA","VALLE DEL CAUCA","8.54978573123","-75.4510664684","23","27","0","4","22","0","1","1","3.7037037037037","","2020-04-07 15:41:00"
"PASTO","NARIÑO","1.21212436525","-77.2785763476","3","3","0","0","2","0","1","1","33.333333333333","","2020-04-07 15:41:00"
"PEREIRA","RISARALDA","8.51722410471","-76.0759945061","31","34","1","2","27","3","1","4","11.764705882353","2.9411764705882","2020-04-07 15:41:00"
"POLONUEVO","ATLÁNTICO","10.7777245089","-74.8542572499","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"PONEDERA","ATLÁNTICO","10.6417959278","-74.7539004396","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"POPAYAN","CAUCA","2.48250339062","-76.5740646841","11","12","1","0","10","1","0","1","8.3333333333333","8.3333333333333","2020-04-07 15:41:00"
"PUERTO COLOMBIA","ATLÁNTICO","11.0229400539","-74.851963565","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"PUERTO SANTANDER","NORTE DE SANTANDER","3.37059851251","-73.5146846138","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"PUERTO TEJADA","CAUCA","0.988590121237","-75.0660995429","1","1","0","0","0","1","0","1","100","","2020-04-07 15:41:00"
"RIOHACHA","LA GUAJIRA","11.5287513839","-72.911488911","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"RIONEGRO","ANTIOQUIA","6.14722409002","-75.3767693823","7","9","0","2","5","2","0","2","22.222222222222","","2020-04-07 15:41:00"
"SABANETA","ANTIOQUIA","6.15097018093","-75.6155852932","9","9","0","0","9","0","0","","","","2020-04-07 15:41:00"
"SAHAGUN","CÓRDOBA","8.94312541611","-75.4459203022","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"SAN ANDRES","SAN ANDRÉS","6.39872921828","-75.440016949","2","2","0","0","2","0","0","","","","2020-04-07 15:41:00"
"SAN FRANCISCO","ANTIOQUIA","5.96407913115","-75.1026869656","1","1","0","0","0","0","1","1","100","","2020-04-07 15:41:00"
"SAN JUAN DE RIO SECO","CUNDINAMARCA","4.848611","-74.620556","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"SAN PEDRO","VALLE DEL CAUCA","5.25045488109","-75.7942693728","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"SANTA MARTA","SANTA MARTA D.T. Y C.","8.11321398354","-75.9133161358","13","14","1","0","11","2","0","2","14.285714285714","7.1428571428571","2020-04-07 15:41:00"
"SANTA ROSA","ANTIOQUIA","9.06946150984","-74.6714498299","2","2","0","0","2","0","0","","","","2020-04-07 15:41:00"
"SANTA ROSA DE CABAL","RISARALDA","4.86752645418","-75.6200106565","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"SANTANA","BOYACÁ","5.77866547593","-72.945544503","2","2","0","0","2","0","0","","","","2020-04-07 15:41:00"
"SANTANDER DE QUILICHAO","CAUCA","3.01605390077","-76.4853702902","0","1","1","0","0","0","0","","","100","2020-04-07 15:41:00"
"SANTO TOMAS","ATLÁNTICO","10.756056293","-74.7541118585","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"SINCELEJO","SUCRE","9.30233310439","-75.3954835627","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"SOACHA","CUNDINAMARCA","4.58549165821","-74.2145275305","9","9","0","0","9","0","0","","","","2020-04-07 15:41:00"
"SOLEDAD","ATLÁNTICO","10.9101744673","-74.784833384","8","10","2","0","8","0","0","","","20","2020-04-07 15:41:00"
"SOPO","CUNDINAMARCA","4.90633080922","-73.9457748929","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"SUBACHOQUE","CUNDINAMARCA","4.92907928898","-74.1727084609","2","2","0","0","2","0","0","","","","2020-04-07 15:41:00"
"TENJO","CUNDINAMARCA","4.87196053725","-74.1439562115","1","1","0","0","0","1","0","1","100","","2020-04-07 15:41:00"
"TOCANCIPA","CUNDINAMARCA","4.96478635371","-73.9120912065","2","2","0","0","1","1","0","1","50","","2020-04-07 15:41:00"
"TOGUI","BOYACÁ","5.93743822459","-73.5136550618","8","8","0","0","8","0","0","","","","2020-04-07 15:41:00"
"TRUJILLO","VALLE DEL CAUCA","1.78795153983","-78.6122376428","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"TULUA","VALLE DEL CAUCA","4.08526123852","-76.1976996795","5","5","0","0","5","0","0","","","","2020-04-07 15:41:00"
