"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Circasia","Quindio","4.61779204337","-75.636528232","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-24 10:18:00"
"Cocorná","Antioquia","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Cogua","Cundinamarca","5.06184179776","-73.9784966905","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-24 10:18:00"
"Concepción","Santander","6.39434709534","-75.2576027037","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Contadero","Nariño","0.91045786274","-77.5494090245","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Copacabana","Antioquia","6.34864054523","-75.5093439031","8","8","0","0","8","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Cota","Cundinamarca","4.81298776927","-74.1027264632","3","9","0","6","3","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-24 10:18:00"
"Cuaspúd","Nariño","0.862978103157","-77.728946826","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Cúcuta","Norte de Santander","7.90530629465","-72.5082561962","35","55","3","17","32","1","2","3","5.4545454545455","58.181818181818","1.8181818181818","3.6363636363636","5.4545454545455","30.909090909091","63.636363636364","2020-04-24 10:18:00"
"Cumbal","Nariño","0.906185360866","-77.7922766205","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-24 10:18:00"
"Cumbitara","Nariño","1.64684597096","-77.5781467265","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Cundinamarca","Cundinamarca","9.64388958484","-74.6186326983","0","1","1","0","0","0","0","","","","","","100","","","2020-04-24 10:18:00"
"Curití","Santander","6.6735257713","-75.7988581159","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Donmatías","Antioquia","6.485833","-75.395278","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Dosquebradas","Risaralda","4.82718783235","-75.6824691212","37","44","1","6","36","0","1","1","2.2727272727273","81.818181818182","","2.2727272727273","2.2727272727273","13.636363636364","84.090909090909","2020-04-24 10:18:00"
"El Banco","Magdalena","9.05756833011","-75.5728891535","0","1","1","0","0","0","0","","","","","","100","","","2020-04-24 10:18:00"
"El Cerrito","Valle del Cauca","10.7668670891","-75.2027580712","10","11","1","0","10","0","0","","","90.909090909091","","","9.0909090909091","","90.909090909091","2020-04-24 10:18:00"
"El Dovio","Valle del Cauca","4.51045288499","-76.2370841098","0","4","1","3","0","0","0","","","","","","25","75","","2020-04-24 10:18:00"
"El Santuario","Antioquia","6.13704685813","-75.2658497944","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Envigado","Antioquia","6.16700455162","-75.5830101409","17","28","0","11","16","1","0","1","3.5714285714286","57.142857142857","3.5714285714286","","","39.285714285714","60.714285714286","2020-04-24 10:18:00"
"Espinal","Tolima","4.15131422057","-74.8854497584","2","3","1","0","2","0","0","","","66.666666666667","","","33.333333333333","","66.666666666667","2020-04-24 10:18:00"
"Facatativá","Cundinamarca","4.81306417837","-74.3502279311","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Filandia","Quindio","4.67414557186","-75.6586858841","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Florencia","Caquetá","9.31366872153","-74.8915160804","1","2","1","0","1","0","0","","","50","","","50","","50","2020-04-24 10:18:00"
"Florida","Valle del Cauca","3.32391810634","-76.2345017444","8","8","0","0","7","0","1","1","12.5","87.5","","12.5","","","100","2020-04-24 10:18:00"
"Floridablanca","Santander","7.07236040291","-73.0990326168","1","7","0","6","0","0","1","1","14.285714285714","","","14.285714285714","","85.714285714286","14.285714285714","2020-04-24 10:18:00"
"Frontino","Antioquia","6.77606591161","-76.1307651388","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Fundación","Magdalena","10.5140924032","-74.1913434578","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Funza","Cundinamarca","4.7127630154","-74.2115250018","8","8","0","0","8","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Fusagasugá","Cundinamarca","4.33848085051","-74.3663339328","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Galapa","Atlántico","10.9196410045","-74.8669380999","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Garagoa","Boyacá","5.08324346272","-73.3644275636","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Garzón","Huila","2.19699442096","-75.6276937365","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Gigante","Huila","2.38823562547","-75.5412198856","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Ginebra","Valle del Cauca","3.72418114734","-76.2680678884","0","1","1","0","0","0","0","","","","","","100","","","2020-04-24 10:18:00"
"Granada","Antioquia","6.14289666655","-75.1844450829","2","2","0","0","1","1","0","1","50","50","50","","","","100","2020-04-24 10:18:00"
"Guacarí","Valle del Cauca","3.76290900784","-76.3313673514","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Guadalajara de Buga","Valle del Cauca","3.90082354377","-76.2989611331","7","8","0","1","7","0","0","","","87.5","","","","12.5","87.5","2020-04-24 10:18:00"
"Guaduas","Cundinamarca","5.0718705327","-74.6029562704","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Guarne","Antioquia","6.2780640767","-75.441653922","1","3","0","2","1","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-24 10:18:00"
"Guatapé","Antioquia","6.23259270739","-75.1622925892","1","2","0","1","0","1","0","1","50","","50","","","50","50","2020-04-24 10:18:00"
"Ibagué","Tolima","4.43960899136","-75.1937147765","19","36","1","16","18","0","1","1","2.7777777777778","50","","2.7777777777778","2.7777777777778","44.444444444444","52.777777777778","2020-04-24 10:18:00"
