"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"LA CALERA","CUNDINAMARCA","4.72034452148","-73.9697449587","1","1","0","0","0","1","0","1","100","","2020-04-08 15:35:00"
"LA CEJA","ANTIOQUIA","6.02805574408","-75.4294308862","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"LA DORADA","CALDAS","8.34513300359","-74.4778605477","4","4","0","0","3","1","0","1","25","","2020-04-08 15:35:00"
"LA ESTRELLA","ANTIOQUIA","6.15841974028","-75.6451903823","4","4","0","0","4","0","0","","","","2020-04-08 15:35:00"
"LA TEBAIDA","QUINDÍO","6.00569607721","-75.0256207392","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"LA UNION","VALLE DEL CAUCA","6.38243035338","-75.6212252215","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"LORICA","CÓRDOBA","9.24085514265","-75.8159953999","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"MADRID","CUNDINAMARCA","9.19385244104","-74.7496541106","3","3","0","0","2","1","0","1","33.333333333333","","2020-04-08 15:35:00"
"MANIZALES","CALDAS","7.8368375609","-75.4143614377","6","7","0","1","6","0","0","","","","2020-04-08 15:35:00"
"MEDELLIN","ANTIOQUIA","5.6101097761033","-74.886816625","133","142","1","8","121","9","3","12","8.4507042253521","0.70422535211268","2020-04-08 15:35:00"
"MONTEBELLO","ANTIOQUIA","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","","","2020-04-08 15:35:00"
"MONTENEGRO","QUINDÍO","4.5629597433","-75.7518122369","2","3","1","0","2","0","0","","","33.333333333333","2020-04-08 15:35:00"
"MONTERIA","CÓRDOBA","8.7451325909","-75.8755779091","3","4","1","0","0","3","0","3","75","25","2020-04-08 15:35:00"
"MOSQUERA","CUNDINAMARCA","4.71137120122","-74.2317750849","3","3","0","0","2","0","1","1","33.333333333333","","2020-04-08 15:35:00"
"NEIVA","HUILA","8.55014492944","-75.5402712159","28","35","2","5","26","0","2","2","5.7142857142857","5.7142857142857","2020-04-08 15:35:00"
"OICATA","BOYACÁ","5.59523423857","-73.3084039802","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"PACHO","CUNDINAMARCA","5.13694229685","-74.1561166248","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"PALERMO","HUILA","5.73280146532","-75.6953709211","3","3","0","0","3","0","0","","","","2020-04-08 15:35:00"
"PALMIRA","VALLE DEL CAUCA","8.54978573123","-75.4510664684","24","28","0","4","23","0","1","1","3.5714285714286","","2020-04-08 15:35:00"
"PASTO","NARIÑO","1.21212436525","-77.2785763476","3","3","0","0","2","0","1","1","33.333333333333","","2020-04-08 15:35:00"
"PEREIRA","RISARALDA","8.51722410471","-76.0759945061","32","35","1","2","28","3","1","4","11.428571428571","2.8571428571429","2020-04-08 15:35:00"
"POLONUEVO","ATLÁNTICO","10.7777245089","-74.8542572499","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"PONEDERA","ATLÁNTICO","10.6417959278","-74.7539004396","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"POPAYAN","CAUCA","2.48250339062","-76.5740646841","11","12","1","0","10","1","0","1","8.3333333333333","8.3333333333333","2020-04-08 15:35:00"
"PUERTO COLOMBIA","ATLÁNTICO","11.0229400539","-74.851963565","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"PUERTO SANTANDER","NORTE DE SANTANDER","3.37059851251","-73.5146846138","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"PUERTO TEJADA","CAUCA","0.988590121237","-75.0660995429","1","1","0","0","0","1","0","1","100","","2020-04-08 15:35:00"
"RIOHACHA","LA GUAJIRA","11.5287513839","-72.911488911","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"RIONEGRO","ANTIOQUIA","6.14722409002","-75.3767693823","8","10","0","2","7","1","0","1","10","","2020-04-08 15:35:00"
"SABANETA","ANTIOQUIA","6.15097018093","-75.6155852932","9","9","0","0","9","0","0","","","","2020-04-08 15:35:00"
"SAHAGUN","CÓRDOBA","8.94312541611","-75.4459203022","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"SAN ANDRES","SAN ANDRÉS","6.39872921828","-75.440016949","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"SAN FRANCISCO","ANTIOQUIA","5.96407913115","-75.1026869656","1","1","0","0","0","0","1","1","100","","2020-04-08 15:35:00"
"SAN JUAN DE RIO SECO","CUNDINAMARCA","4.848611","-74.620556","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"SAN PEDRO","VALLE DEL CAUCA","5.25045488109","-75.7942693728","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"SANTA MARTA","SANTA MARTA D.T. Y C.","8.11321398354","-75.9133161358","24","26","2","0","18","6","0","6","23.076923076923","7.6923076923077","2020-04-08 15:35:00"
"SANTA ROSA","ANTIOQUIA","9.06946150984","-74.6714498299","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"SANTA ROSA DE CABAL","RISARALDA","4.86752645418","-75.6200106565","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"SANTANA","BOYACÁ","5.77866547593","-72.945544503","4","4","0","0","4","0","0","","","","2020-04-08 15:35:00"
"SANTANDER DE QUILICHAO","CAUCA","3.01605390077","-76.4853702902","0","1","1","0","0","0","0","","","100","2020-04-08 15:35:00"
"SANTO TOMAS","ATLÁNTICO","10.756056293","-74.7541118585","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"SINCELEJO","SUCRE","9.30233310439","-75.3954835627","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"SOACHA","CUNDINAMARCA","4.58549165821","-74.2145275305","9","9","0","0","9","0","0","","","","2020-04-08 15:35:00"
"SOLEDAD","ATLÁNTICO","10.9101744673","-74.784833384","11","13","2","0","11","0","0","","","15.384615384615","2020-04-08 15:35:00"
"SOPO","CUNDINAMARCA","4.90633080922","-73.9457748929","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"SUBACHOQUE","CUNDINAMARCA","4.92907928898","-74.1727084609","2","2","0","0","1","1","0","1","50","","2020-04-08 15:35:00"
"TENJO","CUNDINAMARCA","4.87196053725","-74.1439562115","1","1","0","0","0","0","1","1","100","","2020-04-08 15:35:00"
"TENZA","BOYACÁ","5.0770743509","-73.4205891075","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"TOCANCIPA","CUNDINAMARCA","4.96478635371","-73.9120912065","2","2","0","0","1","1","0","1","50","","2020-04-08 15:35:00"
"TOGUI","BOYACÁ","5.93743822459","-73.5136550618","8","8","0","0","8","0","0","","","","2020-04-08 15:35:00"
"TRUJILLO","VALLE DEL CAUCA","1.78795153983","-78.6122376428","3","3","0","0","3","0","0","","","","2020-04-08 15:35:00"
"TULUA","VALLE DEL CAUCA","4.08526123852","-76.1976996795","7","7","0","0","7","0","0","","","","2020-04-08 15:35:00"
"TUMACO","NARIÑO","1.80711725006","-78.7638541478","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"TUNJA","BOYACÁ","5.53995323795","-73.3554887287","3","4","1","0","2","1","0","1","25","25","2020-04-08 15:35:00"
"TURBACO","BOLÍVAR","10.3327691633","-75.4244091655","4","4","0","0","4","0","0","","","","2020-04-08 15:35:00"
"ULLOA","VALLE DEL CAUCA","4.70251391059","-75.7377474697","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"VALLEDUPAR","CESAR","10.4604812152","-73.259389309","14","17","0","3","12","1","1","2","11.764705882353","","2020-04-08 15:35:00"
"VILLA DEL ROSARIO","NORTE DE SANTANDER","5.89524387061","-76.5440065535","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"VILLAMARIA","CALDAS","5.04380668643","-75.5137606023","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"VILLAPINZON","CUNDINAMARCA","5.21643837183","-73.5953546674","1","3","2","0","1","0","0","","","66.666666666667","2020-04-08 15:35:00"
"VILLAVICENCIO","META","8.45697278227","-76.1247069871","11","13","1","1","11","0","0","","","7.6923076923077","2020-04-08 15:35:00"
"VILLETA","CUNDINAMARCA","5.01279063928","-74.469704945","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"VITERBO","CALDAS","5.06266423587","-75.8706098599","1","2","0","1","1","0","0","","","","2020-04-08 15:35:00"
"YOPAL","CASANARE","5.3276126513","-72.396915159","1","2","0","1","1","0","0","","","","2020-04-08 15:35:00"
"YUMBO","VALLE DEL CAUCA","3.52896890809","-76.499819783","6","6","0","0","6","0","0","","","","2020-04-08 15:35:00"
"ZIPAQUIRA","CUNDINAMARCA","5.02547168537","-73.9944712419","2","3","1","0","1","0","1","1","33.333333333333","33.333333333333","2020-04-08 15:35:00"
