"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"5001","Medellin","5","Antioquia","5.610109776","-74.88681663","278","649","4","367","263","9","6","15","2885","0.005","0.023","0.405","0.014","0.009","0.006","0.1578891","0.565","0.428","3904.000","633356.000","2020-06-07 17:36:00"
"5030","Amaga","5","Antioquia","6.038808575","-75.70194607","1","2","0","1","1","0","0","0","5","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","15642.000","","2020-06-07 17:36:00"
"5034","Andes","5","Antioquia","5.656774852","-75.87879189","0","1","0","1","0","0","0","0","10","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","44199.000","","2020-06-07 17:36:00"
"5038","Angostura","5","Antioquia","6.885174591","-75.33511597","0","1","0","1","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","11536.000","","2020-06-07 17:36:00"
"5042","Santa Fe de Antioquia","5","Antioquia","6.556533296","-75.82707907","1","1","0","0","1","0","0","0","25","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","27002.000","","2020-06-07 17:36:00"
"5045","Apartado","5","Antioquia","7.883417406","-76.62596065","12","25","0","13","12","0","0","0","158","0.000","0.000","0.480","0.000","0.000","0.000","0.0000000","0.520","0.480","5110.000","","2020-06-07 17:36:00"
"5079","Barbosa","5","Antioquia","6.439226882","-75.33164423","4","5","0","1","4","0","0","0","7","0.000","0.000","0.800","0.000","0.000","0.000","0.0000000","0.200","0.800","10869.000","","2020-06-07 17:36:00"
"5088","Bello","5","Antioquia","6.334068836","-75.55466507","67","118","1","50","60","4","3","7","355","0.020","0.059","0.508","0.034","0.025","0.008","0.1811089","0.424","0.568","4679.000","552154.000","2020-06-07 17:36:00"
"5129","Caldas","5","Antioquia","6.091296966","-75.63361872","2","5","0","3","2","0","0","0","49","0.000","0.000","0.400","0.000","0.000","0.000","0.0000000","0.600","0.400","16685.000","","2020-06-07 17:36:00"
"5138","Canasgordas","5","Antioquia","6.759477684","-76.03220994","2","2","0","0","2","0","0","0","3","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","7776.000","","2020-06-07 17:36:00"
"5147","Carepa","5","Antioquia","7.755116346","-76.65321034","135","135","0","0","134","1","0","1","11","0.091","0.007","0.993","0.007","0.000","0.000","0.0000000","0.000","1.000","379.000","","2020-06-07 17:36:00"
"5148","El Carmen de Viboral","5","Antioquia","6.084551516","-75.33536246","0","1","0","1","0","0","0","0","11","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","62581.000","","2020-06-07 17:36:00"
