"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"EL CERRITO","VALLE DEL CAUCA","10.7668670891","-75.2027580712","3","3","0","0","3","0","0","","","","2020-04-15 15:42:00"
"EL DOVIO","VALLE DEL CAUCA","4.51045288499","-76.2370841098","2","4","1","1","2","0","0","","","25","2020-04-15 15:42:00"
"EL RETIRO","ANTIOQUIA","9.1693328895","-74.7349072463","0","1","0","1","0","0","0","","","","2020-04-15 15:42:00"
"ENVIGADO","ANTIOQUIA","6.16700455162","-75.5830101409","23","25","0","2","21","1","1","2","8","","2020-04-15 15:42:00"
"ESPINAL","TOLIMA","4.15131422057","-74.8854497584","2","3","1","0","2","0","0","","","33.333333333333","2020-04-15 15:42:00"
"FACATATIVA","CUNDINAMARCA","4.81306417837","-74.3502279311","3","3","0","0","3","0","0","","","","2020-04-15 15:42:00"
"FILANDIA","QUINDÍO","4.67414557186","-75.6586858841","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"FLORIDA","VALLE DEL CAUCA","3.32391810634","-76.2345017444","1","1","0","0","0","0","1","1","100","","2020-04-15 15:42:00"
"FLORIDABLANCA","SANTANDER","7.07236040291","-73.0990326168","6","7","0","1","5","0","1","1","14.285714285714","","2020-04-15 15:42:00"
"FRONTINO","ANTIOQUIA","6.77606591161","-76.1307651388","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"FUNZA","CUNDINAMARCA","4.7127630154","-74.2115250018","6","6","0","0","6","0","0","","","","2020-04-15 15:42:00"
"FUSAGASUGA","CUNDINAMARCA","4.33848085051","-74.3663339328","0","1","0","1","0","0","0","","","","2020-04-15 15:42:00"
"GALAPA","ATLÁNTICO","10.9196410045","-74.8669380999","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"GARAGOA","BOYACÁ","5.08324346272","-73.3644275636","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"GIGANTE","HUILA","2.38823562547","-75.5412198856","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"GINEBRA","VALLE DEL CAUCA","3.72418114734","-76.2680678884","0","1","1","0","0","0","0","","","100","2020-04-15 15:42:00"
"GUACARI","VALLE DEL CAUCA","3.76290900784","-76.3313673514","2","2","0","0","2","0","0","","","","2020-04-15 15:42:00"
"GUARNE","ANTIOQUIA","6.2780640767","-75.441653922","1","2","0","1","1","0","0","","","","2020-04-15 15:42:00"
"GUATAPE","ANTIOQUIA","6.23259270739","-75.1622925892","1","2","0","1","1","0","0","","","","2020-04-15 15:42:00"
"IBAGUE","TOLIMA","4.43960899136","-75.1937147765","16","24","1","7","14","1","1","2","8.3333333333333","4.1666666666667","2020-04-15 15:42:00"
"IPIALES","NARIÑO","0.827734241442","-77.6464007453","17","19","2","0","12","4","1","5","26.315789473684","10.526315789474","2020-04-15 15:42:00"
"ITAGUI","ANTIOQUIA","6.16959762893","-75.6143587142","9","10","0","1","8","0","1","1","10","","2020-04-15 15:42:00"
"JAMUNDI","VALLE DEL CAUCA","3.26227576022","-76.5424587285","5","5","0","0","5","0","0","","","","2020-04-15 15:42:00"
"LA CALERA","CUNDINAMARCA","4.72034452148","-73.9697449587","1","1","0","0","0","1","0","1","100","","2020-04-15 15:42:00"
"LA CEJA","ANTIOQUIA","6.02805574408","-75.4294308862","2","2","0","0","1","1","0","1","50","","2020-04-15 15:42:00"
"LA DORADA","CALDAS","8.34513300359","-74.4778605477","20","24","2","2","20","0","0","","","8.3333333333333","2020-04-15 15:42:00"
"LA ESTRELLA","ANTIOQUIA","6.15841974028","-75.6451903823","4","4","0","0","4","0","0","","","","2020-04-15 15:42:00"
"LA TEBAIDA","QUINDÍO","6.00569607721","-75.0256207392","0","1","0","1","0","0","0","","","","2020-04-15 15:42:00"
"LA UNION","VALLE DEL CAUCA","6.38243035338","-75.6212252215","1","2","0","1","0","1","0","1","50","","2020-04-15 15:42:00"
"LORICA","CÓRDOBA","9.24085514265","-75.8159953999","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"MADRID","CUNDINAMARCA","9.19385244104","-74.7496541106","3","4","0","1","2","1","0","1","25","","2020-04-15 15:42:00"
"MALAMBO","ATLÁNTICO","10.8562872414","-74.7742405717","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"MANIZALES","CALDAS","7.8368375609","-75.4143614377","6","10","0","4","6","0","0","","","","2020-04-15 15:42:00"
"MEDELLIN","ANTIOQUIA","5.6101097761033","-74.886816625","163","195","1","31","146","12","5","17","8.7179487179487","0.51282051282051","2020-04-15 15:42:00"
"MIRANDA","CAUCA","3.25309540523","-76.2288698651","3","3","0","0","2","1","0","1","33.333333333333","","2020-04-15 15:42:00"
"MONTEBELLO","ANTIOQUIA","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","","","2020-04-15 15:42:00"
"MONTENEGRO","QUINDÍO","4.5629597433","-75.7518122369","2","3","1","0","2","0","0","","","33.333333333333","2020-04-15 15:42:00"
"MONTERIA","CÓRDOBA","8.7451325909","-75.8755779091","9","10","1","0","6","3","0","3","30","10","2020-04-15 15:42:00"
"MOSQUERA","CUNDINAMARCA","4.71137120122","-74.2317750849","2","4","0","2","1","0","1","1","25","","2020-04-15 15:42:00"
"NEIVA","HUILA","8.55014492944","-75.5402712159","31","49","3","15","28","0","3","3","6.1224489795918","6.1224489795918","2020-04-15 15:42:00"
"OCAÑA","NORTE DE SANTANDER","8.246111","-73.355278","0","1","1","0","0","0","0","","","100","2020-04-15 15:42:00"
"OICATA","BOYACÁ","5.59523423857","-73.3084039802","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"PACHO","CUNDINAMARCA","5.13694229685","-74.1561166248","4","4","0","0","2","2","0","2","50","","2020-04-15 15:42:00"
"PALERMO","HUILA","5.73280146532","-75.6953709211","3","3","0","0","3","0","0","","","","2020-04-15 15:42:00"
"PALMIRA","VALLE DEL CAUCA","8.54978573123","-75.4510664684","31","39","0","8","27","2","2","4","10.25641025641","","2020-04-15 15:42:00"
"PASTO","NARIÑO","1.21212436525","-77.2785763476","12","14","1","1","6","4","2","6","42.857142857143","7.1428571428571","2020-04-15 15:42:00"
"PEREIRA","RISARALDA","8.51722410471","-76.0759945061","44","54","2","8","40","3","1","4","7.4074074074074","3.7037037037037","2020-04-15 15:42:00"
"PITALITO","HUILA","10.813131477","-74.8414613702","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"POLONUEVO","ATLÁNTICO","10.7777245089","-74.8542572499","0","1","0","1","0","0","0","","","","2020-04-15 15:42:00"
"PONEDERA","ATLÁNTICO","10.6417959278","-74.7539004396","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"POPAYAN","CAUCA","2.48250339062","-76.5740646841","10","15","1","4","9","1","0","1","6.6666666666667","6.6666666666667","2020-04-15 15:42:00"
"PUERTO COLOMBIA","ATLÁNTICO","11.0229400539","-74.851963565","4","4","0","0","4","0","0","","","","2020-04-15 15:42:00"
"PUERTO SANTANDER","NORTE DE SANTANDER","3.37059851251","-73.5146846138","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"PUERTO TEJADA","CAUCA","0.988590121237","-75.0660995429","1","1","0","0","0","1","0","1","100","","2020-04-15 15:42:00"
"QUIBDO","CHOCÓ","5.69219518726","-76.6259693555","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"RIOHACHA","LA GUAJIRA","11.5287513839","-72.911488911","0","1","0","1","0","0","0","","","","2020-04-15 15:42:00"
"RIONEGRO","ANTIOQUIA","6.14722409002","-75.3767693823","6","10","0","4","6","0","0","","","","2020-04-15 15:42:00"
"SABANETA","ANTIOQUIA","6.15097018093","-75.6155852932","7","9","0","2","7","0","0","","","","2020-04-15 15:42:00"
"SAHAGUN","CÓRDOBA","8.94312541611","-75.4459203022","0","1","0","1","0","0","0","","","","2020-04-15 15:42:00"
"SAN ANDRES","SAN ANDRÉS","6.39872921828","-75.440016949","4","5","0","1","4","0","0","","","","2020-04-15 15:42:00"
"SAN CRISTOBAL","BOLIVAR","10.3928557722","-75.0655341715","1","1","0","0","0","0","1","1","100","","2020-04-15 15:42:00"
"SAN DIEGO","CESAR","5.66527168584","-74.9332394378","1","1","0","0","0","1","0","1","100","","2020-04-15 15:42:00"
"SAN FRANCISCO","ANTIOQUIA","5.96407913115","-75.1026869656","1","1","0","0","0","0","1","1","100","","2020-04-15 15:42:00"
"SAN JUAN DE RIO SECO","CUNDINAMARCA","4.848611","-74.620556","2","2","0","0","2","0","0","","","","2020-04-15 15:42:00"
"SAN PEDRO","VALLE DEL CAUCA","5.25045488109","-75.7942693728","1","2","0","1","1","0","0","","","","2020-04-15 15:42:00"
"SANTA MARTA","SANTA MARTA D.T. Y C.","8.11321398354","-75.9133161358","56","63","6","1","37","17","2","19","30.15873015873","9.5238095238095","2020-04-15 15:42:00"
"SANTA ROSA","ANTIOQUIA","9.06946150984","-74.6714498299","2","2","0","0","2","0","0","","","","2020-04-15 15:42:00"
"SANTA ROSA DE CABAL","RISARALDA","4.86752645418","-75.6200106565","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"SANTA SOFIA","BOYACÁ","5.71326942075","-73.6027071719","1","1","0","0","0","1","0","1","100","","2020-04-15 15:42:00"
"SANTAFE DE ANTIOQUIA","ANTIOQUIA","6.55653329637","-75.827079071","1","1","0","0","0","1","0","1","100","","2020-04-15 15:42:00"
"SANTANA","BOYACÁ","5.77866547593","-72.945544503","3","4","0","1","3","0","0","","","","2020-04-15 15:42:00"
"SANTANDER DE QUILICHAO","CAUCA","3.01605390077","-76.4853702902","0","1","1","0","0","0","0","","","100","2020-04-15 15:42:00"
"SANTO TOMAS","ATLÁNTICO","10.756056293","-74.7541118585","0","1","0","1","0","0","0","","","","2020-04-15 15:42:00"
"SANTUARIO","ANTIOQUIA","1.5094874328","-75.4682128068","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"SINCELEJO","SUCRE","9.30233310439","-75.3954835627","0","1","0","1","0","0","0","","","","2020-04-15 15:42:00"
"SOACHA","CUNDINAMARCA","4.58549165821","-74.2145275305","15","18","0","3","11","4","0","4","22.222222222222","","2020-04-15 15:42:00"
"SOCHA","BOYACÁ","5.99671302142","-72.6919658568","3","3","0","0","2","1","0","1","33.333333333333","","2020-04-15 15:42:00"
"SOGAMOSO","BOYACÁ","5.72568939005","-72.9230476859","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"SOLEDAD","ATLÁNTICO","10.9101744673","-74.784833384","12","14","2","0","12","0","0","","","14.285714285714","2020-04-15 15:42:00"
"SOPO","CUNDINAMARCA","4.90633080922","-73.9457748929","3","3","0","0","2","1","0","1","33.333333333333","","2020-04-15 15:42:00"
"SUBACHOQUE","CUNDINAMARCA","4.92907928898","-74.1727084609","3","3","0","0","2","1","0","1","33.333333333333","","2020-04-15 15:42:00"
"SUESCA","CUNDINAMARCA","5.10351683913","-73.7982897825","3","4","1","0","1","2","0","2","50","25","2020-04-15 15:42:00"
"TENJO","CUNDINAMARCA","4.87196053725","-74.1439562115","3","4","1","0","2","0","1","1","25","25","2020-04-15 15:42:00"
"TENZA","BOYACÁ","5.0770743509","-73.4205891075","2","2","0","0","2","0","0","","","","2020-04-15 15:42:00"
"TIERRALTA","CÓRDOBA","9.10500159924","-75.806480569","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"TOCANCIPA","CUNDINAMARCA","4.96478635371","-73.9120912065","3","3","0","0","1","2","0","2","66.666666666667","","2020-04-15 15:42:00"
"TOGUI","BOYACÁ","5.93743822459","-73.5136550618","11","11","0","0","11","0","0","","","","2020-04-15 15:42:00"
"TRUJILLO","VALLE DEL CAUCA","1.78795153983","-78.6122376428","3","3","0","0","3","0","0","","","","2020-04-15 15:42:00"
"TULUA","VALLE DEL CAUCA","4.08526123852","-76.1976996795","8","9","0","1","8","0","0","","","","2020-04-15 15:42:00"
"TUMACO","NARIÑO","1.80711725006","-78.7638541478","2","3","0","1","2","0","0","","","","2020-04-15 15:42:00"
"TUNJA","BOYACÁ","5.53995323795","-73.3554887287","5","7","1","1","5","0","0","","","14.285714285714","2020-04-15 15:42:00"
"TURBACO","BOLÍVAR","10.3327691633","-75.4244091655","6","7","1","0","5","1","0","1","14.285714285714","14.285714285714","2020-04-15 15:42:00"
"UBATE","CUNDINAMARCA","5.30754098383","-73.8143463395","2","2","0","0","0","2","0","2","100","","2020-04-15 15:42:00"
"ULLOA","VALLE DEL CAUCA","4.70251391059","-75.7377474697","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"VALLEDUPAR","CESAR","10.4604812152","-73.259389309","19","31","0","12","18","1","0","1","3.2258064516129","","2020-04-15 15:42:00"
"VILLA DEL ROSARIO","NORTE DE SANTANDER","5.89524387061","-76.5440065535","2","3","0","1","0","1","1","2","66.666666666667","","2020-04-15 15:42:00"
"VILLAMARIA","CALDAS","5.04380668643","-75.5137606023","2","3","0","1","2","0","0","","","","2020-04-15 15:42:00"
"VILLAPINZON","CUNDINAMARCA","5.21643837183","-73.5953546674","3","5","2","0","3","0","0","","","40","2020-04-15 15:42:00"
"VILLAVICENCIO","META","8.45697278227","-76.1247069871","29","38","3","6","27","1","1","2","5.2631578947368","7.8947368421053","2020-04-15 15:42:00"
"VILLETA","CUNDINAMARCA","5.01279063928","-74.469704945","4","4","0","0","4","0","0","","","","2020-04-15 15:42:00"
"VITERBO","CALDAS","5.06266423587","-75.8706098599","0","2","0","2","0","0","0","","","","2020-04-15 15:42:00"
"YOPAL","CASANARE","5.3276126513","-72.396915159","8","9","0","1","8","0","0","","","","2020-04-15 15:42:00"
"YOTOCO","VALLE DEL CAUCA","3.86121458419","-76.3824744527","1","1","0","0","1","0","0","","","","2020-04-15 15:42:00"
"YUMBO","VALLE DEL CAUCA","3.52896890809","-76.499819783","10","10","0","0","9","1","0","1","10","","2020-04-15 15:42:00"
"ZIPAQUIRA","CUNDINAMARCA","5.02547168537","-73.9944712419","5","6","1","0","2","2","1","3","50","16.666666666667","2020-04-15 15:42:00"
"ZONA BANANERA","MAGDALENA","10.764167","-74.157222","0","1","1","0","0","0","0","","","100","2020-04-15 15:42:00"
