"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Acacías","Meta","3.99012066334","-73.765936654","8","9","0","1","8","0","0","","23","","","88.888888888889","","","","11.111111111111","88.888888888889","2020-04-29 16:23:00"
"Acevedo","Huila","1.80526322752","-75.8885315631","1","1","0","0","0","1","0","1","10","10","100","","100","","","","100","2020-04-29 16:23:00"
"Agrado","Huila","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-04-29 16:23:00"
"Aguachica","Cesar","8.31033695838","-73.599028585","2","2","0","0","1","0","1","1","369","0.2710027100271","50","50","","50","","","100","2020-04-29 16:23:00"
"Agustín Codazzi","Cesar","10.0404579941","-73.2383961682","2","2","0","0","0","2","0","2","119","1.6806722689076","100","","100","","","","100","2020-04-29 16:23:00"
"Aipe","Huila","3.22359756208","-75.2390311845","1","1","0","0","1","0","0","","8","","","100","","","","","100","2020-04-29 16:23:00"
"Albania","La Guajira","6.0563537855","-75.7549492341","1","1","0","0","1","0","0","","2","","","100","","","","","100","2020-04-29 16:23:00"
"Amagá","Antioquia","6.03880857536","-75.7019460715","1","1","0","0","1","0","0","","10","","","100","","","","","100","2020-04-29 16:23:00"
"Anapoima","Cundinamarca","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","0","","","","","","","100","","2020-04-29 16:23:00"
"Andalucía","Valle del Cauca","8.97734579987","-75.3750059494","1","1","0","0","0","1","0","1","10","10","100","","100","","","","100","2020-04-29 16:23:00"
"Andes","Antioquia","5.65677485248","-75.8787918873","1","1","0","0","1","0","0","","20","","","100","","","","","100","2020-04-29 16:23:00"
"Angostura","Antioquia","6.88517459133","-75.3351159651","1","1","0","0","1","0","0","","6","","","100","","","","","100","2020-04-29 16:23:00"
"Anserma","Caldas","5.23647439108","-75.7843426615","0","1","0","1","0","0","0","","20","","","","","","","100","","2020-04-29 16:23:00"
"Apartadó","Antioquia","7.88341740579","-76.6259606537","2","4","0","2","2","0","0","","317","","","50","","","","50","50","2020-04-29 16:23:00"
"Aquitania","Boyacá","5.83964314212","-74.9691761004","1","1","0","0","1","0","0","","7","","","100","","","","","100","2020-04-29 16:23:00"
"Arjona","Bolívar","10.2566315237","-75.3444884486","3","4","0","1","3","0","0","","20","","","75","","","","25","75","2020-04-29 16:23:00"
"Armenia","Quindio","6.15581872915","-75.7868378278","26","45","1","18","25","0","1","1","6","16.666666666667","2.2222222222222","55.555555555556","","2.2222222222222","2.2222222222222","40","57.777777777778","2020-04-29 16:23:00"
"Baranoa","Atlántico","10.7948804772","-74.9160998139","0","2","0","2","0","0","0","","436","","","","","","","100","","2020-04-29 16:23:00"
"Barbosa","Antioquia","6.43922688162","-75.3316442322","1","1","0","0","1","0","0","","14","","","100","","","","","100","2020-04-29 16:23:00"
"Barrancabermeja","Santander","7.06496386399","-73.8499569753","0","6","1","5","0","0","0","","399","","","","","","16.666666666667","83.333333333333","","2020-04-29 16:23:00"
"Barranco de Loba","Bolívar","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","12","","","","","","100","","","2020-04-29 16:23:00"
"Barranquilla","Barranquilla D.E.","10.9759268186","-74.7952590482","98","141","6","37","90","5","3","8","5198","0.15390534821085","5.6737588652482","63.829787234043","3.5460992907801","2.1276595744681","4.2553191489362","26.241134751773","69.503546099291","2020-04-29 16:23:00"
"Belén","Nariño","1.5956760655","-77.0156657294","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-04-29 16:23:00"
"Bello","Antioquia","6.33406883641","-75.554665073","36","51","1","14","34","1","1","2","711","0.28129395218003","3.921568627451","66.666666666667","1.9607843137255","1.9607843137255","1.9607843137255","27.450980392157","70.588235294118","2020-04-29 16:23:00"
"Bogotá D.C.","Bogotá D.C.","4.65017303026","-74.1073590032","1921","2543","98","524","1740","145","36","181","14525","1.2461273666093","7.1175776641762","68.4231222965","5.7019268580417","1.4156508061345","3.8537160833661","20.605583955958","75.540699960676","2020-04-29 16:23:00"
"Bosconia","Cesar","9.97509470036","-73.8887676643","1","1","0","0","1","0","0","","191","","","100","","","","","100","2020-04-29 16:23:00"
"Bucaramanga","Santander","7.11626727561","-73.1325981781","8","20","1","11","8","0","0","","1961","","","40","","","5","55","40","2020-04-29 16:23:00"
"Buenaventura","Buenaventura D.E.","3.87580243673","-77.0117402003","24","27","1","2","21","1","2","3","250","1.2","11.111111111111","77.777777777778","3.7037037037037","7.4074074074074","3.7037037037037","7.4074074074074","88.888888888889","2020-04-29 16:23:00"
"Bugalagrande","Valle del Cauca","4.20833159173","-76.1568077444","1","1","0","0","1","0","0","","11","","","100","","","","","100","2020-04-29 16:23:00"
"Cajicá","Cundinamarca","4.92080905869","-74.0234539659","9","16","0","7","8","1","0","1","36","2.7777777777778","6.25","50","6.25","","","43.75","56.25","2020-04-29 16:23:00"
"Calamar","Bolívar","10.2519633588","-74.9136292818","0","1","1","0","0","0","0","","15","","","","","","100","","","2020-04-29 16:23:00"
"Calarcá","Quindio","4.51528184598","-75.6490883624","5","6","0","1","5","0","0","","51","","","83.333333333333","","","","16.666666666667","83.333333333333","2020-04-29 16:23:00"
"Caldas","Antioquia","6.09129696608","-75.6336187219","0","3","0","3","0","0","0","","98","","","","","","","100","","2020-04-29 16:23:00"
