"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Polonuevo","Atlántico","10.7777245089","-74.8542572499","0","1","0","1","0","0","0","","3","","","","","","","100","","2020-05-03 16:46:00"
"Ponedera","Atlántico","10.6417959278","-74.7539004396","0","1","0","1","0","0","0","","11","","","","","","","100","","2020-05-03 16:46:00"
"Puerto Colombia","Atlántico","11.0229400539","-74.851963565","3","5","1","1","3","0","0","","344","","","60","","","20","20","60","2020-05-03 16:46:00"
"Sabanagrande","Atlántico","10.7910759492","-74.758507205","27","27","0","0","27","0","0","","41","","","100","","","","","100","2020-05-03 16:46:00"
"Sabanalarga","Atlántico","10.6328352305","-74.9210936808","2","2","0","0","2","0","0","","114","","","100","","","","","100","2020-05-03 16:46:00"
"Santo Tomás","Atlántico","10.756056293","-74.7541118585","3","4","0","1","3","0","0","","32","","","75","","","","25","75","2020-05-03 16:46:00"
"Soledad","Atlántico","10.9101744673","-74.784833384","140","158","6","12","139","1","0","1","327","0.30581039755352","0.63291139240506","87.974683544304","0.63291139240506","","3.7974683544304","7.5949367088608","88.607594936709","2020-05-03 16:46:00"
"Bogotá D.C.","Bogotá D.C.","4.65017303026","-74.1073590032","2227","2958","115","616","2006","182","39","221","7262","3.0432387771964","7.4712643678161","67.816091954023","6.1528059499662","1.3184584178499","3.8877620013523","20.824881676809","75.287356321839","2020-05-03 16:46:00"
"Arjona","Bolívar","10.2566315237","-75.3444884486","4","5","0","1","4","0","0","","10","","","80","","","","20","80","2020-05-03 16:46:00"
"Barranco de Loba","Bolívar","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","6","","","","","","100","","","2020-05-03 16:46:00"
"Calamar","Bolívar","10.2519633588","-74.9136292818","0","1","1","0","0","0","0","","7","","","","","","100","","","2020-05-03 16:46:00"
"Cartagena de Indias","Bolívar","10.3849855226","-75.496431028","204","326","27","95","172","23","9","32","1588","2.0151133501259","9.8159509202454","52.760736196319","7.0552147239264","2.760736196319","8.2822085889571","29.141104294479","62.576687116564","2020-05-03 16:46:00"
"San Cristóbal","Bolívar","10.3928557722","-75.0655341715","1","1","0","0","0","0","1","1","1","100","100","","","100","","","100","2020-05-03 16:46:00"
"Santa Rosa","Bolívar","9.06946150984","-74.6714498299","3","3","0","0","3","0","0","","16","","","100","","","","","100","2020-05-03 16:46:00"
"Turbaco","Bolívar","10.3327691633","-75.4244091655","11","16","1","4","11","0","0","","70","","","68.75","","","6.25","25","68.75","2020-05-03 16:46:00"
"Aquitania","Boyacá","5.51860354302","-72.8839848091","1","1","0","0","1","0","0","","3","","","100","","","","","100","2020-05-03 16:46:00"
"Chiquinquirá","Boyacá","5.554167","-73.865556","1","1","0","0","0","1","0","1","47","2.1276595744681","100","","100","","","","100","2020-05-03 16:46:00"
"Cimitarra","Santander","6.32068186747","-73.9525821232","0","2","0","2","0","0","0","","10","","","","","","","100","","2020-05-03 16:46:00"
"Cubará","Boyacá","7.00009287529","-72.1106877551","1","2","1","0","1","0","0","","3","","","50","","","50","","50","2020-05-03 16:46:00"
"Duitama","Boyacá","5.82298567975","-73.0306096702","3","3","0","0","2","1","0","1","100","1","33.333333333333","66.666666666667","33.333333333333","","","","100","2020-05-03 16:46:00"
"Garagoa","Boyacá","5.08324346272","-73.3644275636","1","2","1","0","1","0","0","","15","","","50","","","50","","50","2020-05-03 16:46:00"
"Oicatá","Boyacá","5.59523423857","-73.3084039802","0","1","0","1","0","0","0","","22","","","","","","","100","","2020-05-03 16:46:00"
"Samacá","Boyacá","5.49231459065","-73.4856435912","0","1","1","0","0","0","0","","3","","","","","","100","","","2020-05-03 16:46:00"
"Santa Sofía","Boyacá","5.71326942075","-73.6027071719","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-05-03 16:46:00"
"Santana","Boyacá","5.77866547593","-72.945544503","2","4","0","2","2","0","0","","0","","","50","","","","50","50","2020-05-03 16:46:00"
"Socha","Boyacá","5.99671302142","-72.6919658568","3","3","0","0","3","0","0","","2","","","100","","","","","100","2020-05-03 16:46:00"
"Sogamoso","Boyacá","5.72568939005","-72.9230476859","3","3","0","0","1","2","0","2","169","1.1834319526627","66.666666666667","33.333333333333","66.666666666667","","","","100","2020-05-03 16:46:00"
"Tenza","Boyacá","5.0770743509","-73.4205891075","0","2","0","2","0","0","0","","0","","","","","","","100","","2020-05-03 16:46:00"
"Togüí","Boyacá","5.93743822459","-73.5136550618","9","14","0","5","9","0","0","","0","","","64.285714285714","","","","35.714285714286","64.285714285714","2020-05-03 16:46:00"
"Tunja","Boyacá","5.53995323795","-73.3554887287","2","7","1","4","2","0","0","","300","","","28.571428571429","","","14.285714285714","57.142857142857","28.571428571429","2020-05-03 16:46:00"
"Villa de Leyva","Boyacá","5.63266184936","-73.5246845965","1","1","0","0","0","1","0","1","3","33.333333333333","100","","100","","","","100","2020-05-03 16:46:00"
"Anserma","Caldas","5.23647439108","-75.7843426615","0","1","0","1","0","0","0","","10","","","","","","","100","","2020-05-03 16:46:00"
"Chinchiná","Caldas","4.98581286197","-75.6074807289","1","4","0","3","1","0","0","","38","","","25","","","","75","25","2020-05-03 16:46:00"
"La Dorada","Caldas","5.44440609816","-74.6582056212","28","42","2","12","27","1","0","1","61","1.6393442622951","2.3809523809524","64.285714285714","2.3809523809524","","4.7619047619048","28.571428571429","66.666666666667","2020-05-03 16:46:00"
"Manizales","Caldas","5.05768819705","-75.4910489848","12","22","0","10","9","3","0","3","797","0.37641154328733","13.636363636364","40.909090909091","13.636363636364","","","45.454545454545","54.545454545455","2020-05-03 16:46:00"
"Marmato","Caldas","5.47400482007","-75.6002416244","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-05-03 16:46:00"
"Marquetalia","Caldas","5.29752456061","-75.0530970305","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-05-03 16:46:00"
"Risaralda","Caldas","5.16450895652","-75.7672195365","1","1","0","0","0","1","0","1","6","16.666666666667","100","","100","","","","100","2020-05-03 16:46:00"
"Samaná","Caldas","5.41308630139","-74.9922577601","1","1","0","0","0","1","0","1","9","11.111111111111","100","","100","","","","100","2020-05-03 16:46:00"
"Villamaría","Caldas","5.04380668643","-75.5137606023","2","5","0","3","2","0","0","","7","","","40","","","","60","40","2020-05-03 16:46:00"
"Viterbo","Caldas","5.06266423587","-75.8706098599","0","2","0","2","0","0","0","","3","","","","","","","100","","2020-05-03 16:46:00"
"Florencia","Caquetá","1.6179229304","-75.6085604324","8","9","1","0","8","0","0","","257","","","88.888888888889","","","11.111111111111","","88.888888888889","2020-05-03 16:46:00"
"Paz de Ariporo","Casanare","5.88003657043","-71.8909239638","1","1","0","0","0","1","0","1","5","20","100","","100","","","","100","2020-05-03 16:46:00"
"Yopal","Casanare","5.3276126513","-72.396915159","12","18","0","6","12","0","0","","219","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-05-03 16:46:00"
"Caloto","Cauca","3.03407077834","-76.4084870416","1","1","0","0","1","0","0","","4","","","100","","","","","100","2020-05-03 16:46:00"
"El Tambo","Cauca","2.4513713597","-76.8107722487","1","1","0","0","0","1","0","1","5","20","100","","100","","","","100","2020-05-03 16:46:00"
"Guachené","Cauca","3.13415329544","-76.3921887379","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-05-03 16:46:00"
"Miranda","Cauca","3.25309540523","-76.2288698651","4","6","1","1","3","1","0","1","3","33.333333333333","16.666666666667","50","16.666666666667","","16.666666666667","16.666666666667","66.666666666667","2020-05-03 16:46:00"
"Popayán","Cauca","2.48250339062","-76.5740646841","8","19","1","10","7","1","0","1","653","0.1531393568147","5.2631578947368","36.842105263158","5.2631578947368","","5.2631578947368","52.631578947368","42.105263157895","2020-05-03 16:46:00"
"Puerto Tejada","Cauca","3.23329412702","-76.4173077964","3","3","0","0","2","1","0","1","9","11.111111111111","33.333333333333","66.666666666667","33.333333333333","","","","100","2020-05-03 16:46:00"
"Santander de Quilichao","Cauca","3.01605390077","-76.4853702902","0","1","1","0","0","0","0","","32","","","","","","100","","","2020-05-03 16:46:00"
"Timbío","Cauca","2.34997642507","-76.6842387889","1","2","0","1","1","0","0","","5","","","50","","","","50","50","2020-05-03 16:46:00"
"Villa rica","Cauca","3.17757792648","-76.457872658","0","1","1","0","0","0","0","","0","","","","","","100","","","2020-05-03 16:46:00"
"Aguachica","Cesar","8.31033695838","-73.599028585","2","2","0","0","1","0","1","1","184","0.54347826086957","50","50","","50","","","100","2020-05-03 16:46:00"
"Agustín Codazzi","Cesar","10.0404579941","-73.2383961682","2","2","0","0","1","1","0","1","59","1.6949152542373","50","50","50","","","","100","2020-05-03 16:46:00"
"Bosconia","Cesar","9.97509470036","-73.8887676643","1","1","0","0","1","0","0","","95","","","100","","","","","100","2020-05-03 16:46:00"
"Chiriguaná","Cesar","9.36118961071","-73.6001444386","1","1","0","0","1","0","0","","24","","","100","","","","","100","2020-05-03 16:46:00"
"La Jagua de Ibirico","Cesar","9.56388730036","-73.3342279147","1","1","0","0","1","0","0","","32","","","100","","","","","100","2020-05-03 16:46:00"
"La Paz","Cesar","10.3874895364","-73.1713629126","1","1","0","0","1","0","0","","2","","","100","","","","","100","2020-05-03 16:46:00"
"Río de Oro","Cesar","8.29228738416","-73.3863951998","0","2","2","0","0","0","0","","4","","","","","","100","","","2020-05-03 16:46:00"
"San Diego","Cesar","10.3330328571","-73.1812180784","1","2","0","1","1","0","0","","5","","","50","","","","50","50","2020-05-03 16:46:00"
"San Martín","Cesar","7.99989545861","-73.510975182","1","2","1","0","0","1","0","1","6","16.666666666667","50","","50","","50","","50","2020-05-03 16:46:00"
"Valledupar","Cesar","10.4604812152","-73.259389309","17","48","3","28","11","6","0","6","1185","0.50632911392405","12.5","22.916666666667","12.5","","6.25","58.333333333333","35.416666666667","2020-05-03 16:46:00"
"Quibdo","Chocó","5.69219518726","-76.6259693555","12","15","1","2","11","1","0","1","168","0.5952380952381","6.6666666666667","73.333333333333","6.6666666666667","","6.6666666666667","13.333333333333","80","2020-05-03 16:46:00"
