"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Acacías","Meta","3.99012066334","-73.765936654","9","10","0","1","0","0","0","","23","","","","","","","10","90","2020-04-30 17:24:00"
"Acevedo","Huila","1.80526322752","-75.8885315631","1","1","0","0","1","0","0","","10","","","100","","","","","100","2020-04-30 17:24:00"
"Agrado","Huila","2.2597293939","-75.771903578","1","1","0","0","0","0","0","","5","","","","","","","","100","2020-04-30 17:24:00"
"Aguachica","Cesar","8.31033695838","-73.599028585","2","2","0","0","0","1","1","2","369","0.5420054200542","100","","50","50","","","100","2020-04-30 17:24:00"
"Agustín Codazzi","Cesar","10.0404579941","-73.2383961682","2","2","0","0","2","0","0","","119","","","100","","","","","100","2020-04-30 17:24:00"
"Aipe","Huila","3.22359756208","-75.2390311845","1","1","0","0","0","0","0","","8","","","","","","","","100","2020-04-30 17:24:00"
"Albania","La Guajira","11.1574886487","-72.5985216275","1","1","0","0","0","0","0","","2","","","","","","","","100","2020-04-30 17:24:00"
"Algeciras","Huila","2.52244759678","-75.3153728821","1","1","0","0","1","0","0","","7","","","100","","","","","100","2020-04-30 17:24:00"
"Amagá","Antioquia","6.03880857536","-75.7019460715","1","1","0","0","0","0","0","","10","","","","","","","","100","2020-04-30 17:24:00"
"Anapoima","Cundinamarca","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","0","","","","","","","100","","2020-04-30 17:24:00"
"Andalucía","Valle del Cauca","8.97734579987","-75.3750059494","1","1","0","0","1","0","0","","10","","","100","","","","","100","2020-04-30 17:24:00"
"Andes","Antioquia","5.65677485248","-75.8787918873","1","1","0","0","0","0","0","","20","","","","","","","","100","2020-04-30 17:24:00"
"Angostura","Antioquia","6.88517459133","-75.3351159651","1","1","0","0","0","0","0","","6","","","","","","","","100","2020-04-30 17:24:00"
"Anserma","Caldas","5.23647439108","-75.7843426615","0","1","0","1","0","0","0","","20","","","","","","","100","","2020-04-30 17:24:00"
"Apartadó","Antioquia","7.88341740579","-76.6259606537","2","4","0","2","0","0","0","","317","","","","","","","50","50","2020-04-30 17:24:00"
"Aquitania","Boyacá","5.51860354302","-72.8839848091","1","1","0","0","0","0","0","","7","","","","","","","","100","2020-04-30 17:24:00"
"Arjona","Bolívar","10.2566315237","-75.3444884486","3","4","0","1","0","0","0","","20","","","","","","","25","75","2020-04-30 17:24:00"
"Armenia","Quindio","4.53598950231","-75.6807507586","26","45","1","18","0","0","0","","6","","","","","","2.2222222222222","40","57.777777777778","2020-04-30 17:24:00"
"Baranoa","Atlántico","10.7948804772","-74.9160998139","0","2","0","2","0","0","0","","436","","","","","","","100","","2020-04-30 17:24:00"
"Barbosa","Antioquia","6.43922688162","-75.3316442322","1","1","0","0","0","0","0","","14","","","","","","","","100","2020-04-30 17:24:00"
"Barrancabermeja","Santander","7.06496386399","-73.8499569753","0","6","1","5","0","0","0","","399","","","","","","16.666666666667","83.333333333333","","2020-04-30 17:24:00"
"Barranco de Loba","Bolívar","8.94773015812","-74.1052242834","0","1","1","0","0","0","0","","12","","","","","","100","","","2020-04-30 17:24:00"
"Barranquilla","Barranquilla D.E.","10.9759268186","-74.7952590482","118","163","8","37","5","3","3","6","5198","0.11542901115814","3.680981595092","3.0674846625767","1.840490797546","1.840490797546","4.9079754601227","22.699386503067","72.39263803681","2020-04-30 17:24:00"
"Belén","Nariño","1.5956760655","-77.0156657294","1","1","0","0","0","0","0","","0","","","","","","","","100","2020-04-30 17:24:00"
"Bello","Antioquia","6.33406883641","-75.554665073","36","51","1","14","1","1","1","2","711","0.28129395218003","3.921568627451","1.9607843137255","1.9607843137255","1.9607843137255","1.9607843137255","27.450980392157","70.588235294118","2020-04-30 17:24:00"
"Bogotá D.C.","Bogotá D.C.","4.65017303026","-74.1073590032","2004","2633","101","528","149","36","36","72","14525","0.49569707401033","2.734523357387","5.6589441701481","1.3672616786935","1.3672616786935","3.8359285985568","20.053171287505","76.110900113938","2020-04-30 17:24:00"
"Bosconia","Cesar","9.97509470036","-73.8887676643","1","1","0","0","0","0","0","","191","","","","","","","","100","2020-04-30 17:24:00"
"Bucaramanga","Santander","7.11626727561","-73.1325981781","6","20","1","13","0","0","0","","1961","","","","","","5","65","30","2020-04-30 17:24:00"
"Buenaventura","Buenaventura D.E.","3.87580243673","-77.0117402003","26","29","1","2","2","2","2","4","250","1.6","13.793103448276","6.8965517241379","6.8965517241379","6.8965517241379","3.448275862069","6.8965517241379","89.655172413793","2020-04-30 17:24:00"
"Bugalagrande","Valle del Cauca","4.20833159173","-76.1568077444","1","1","0","0","0","0","0","","11","","","","","","","","100","2020-04-30 17:24:00"
"Cajicá","Cundinamarca","4.92080905869","-74.0234539659","9","16","0","7","1","0","0","","36","","","6.25","","","","43.75","56.25","2020-04-30 17:24:00"
"Calamar","Bolívar","10.2519633588","-74.9136292818","0","1","1","0","0","0","0","","15","","","","","","100","","","2020-04-30 17:24:00"
"Calarcá","Quindio","4.51528184598","-75.6490883624","4","6","0","2","0","0","0","","51","","","","","","","33.333333333333","66.666666666667","2020-04-30 17:24:00"
"Caldas","Antioquia","6.09129696608","-75.6336187219","1","4","0","3","1","0","0","","98","","","25","","","","75","25","2020-04-30 17:24:00"
"Cali","Valle del Cauca","3.41441430458","-76.5215651508","565","750","46","139","74","33","33","66","5888","1.1209239130435","8.8","9.8666666666667","4.4","4.4","6.1333333333333","18.533333333333","75.333333333333","2020-04-30 17:24:00"
"Calima","Valle del Cauca","3.93352446268","-76.4843917469","0","1","0","1","0","0","0","","11","","","","","","","100","","2020-04-30 17:24:00"
"Caloto","Cauca","3.03407077834","-76.4084870416","1","1","0","0","0","0","0","","8","","","","","","","","100","2020-04-30 17:24:00"
"Candelaria","Valle del Cauca","3.40776646565","-76.3464289066","3","3","0","0","0","0","0","","4","","","","","","","","100","2020-04-30 17:24:00"
"Cartagena de Indias","Cartagena D.T. y C.","10.3849855226","-75.496431028","173","271","22","76","21","8","8","16","3177","0.50361976707586","5.9040590405904","7.7490774907749","2.9520295202952","2.9520295202952","8.1180811808118","28.044280442804","63.837638376384","2020-04-30 17:24:00"
"Cartago","Valle del Cauca","4.75875509757","-75.9422640436","5","11","0","6","0","0","0","","193","","","","","","","54.545454545455","45.454545454545","2020-04-30 17:24:00"
"Cereté","Córdoba","8.88861181239","-75.7962165157","1","1","0","0","0","0","0","","111","","","","","","","","100","2020-04-30 17:24:00"
"Chía","Cundinamarca","4.86606542368","-74.0503468211","12","28","1","15","0","0","0","","250","","","","","","3.5714285714286","53.571428571429","42.857142857143","2020-04-30 17:24:00"
"Chinchiná","Caldas","4.98581286197","-75.6074807289","1","4","0","3","0","0","0","","77","","","","","","","75","25","2020-04-30 17:24:00"
"Chiquinquirá","Boyacá","5.61412789039","-73.8183876347","1","1","0","0","1","0","0","","94","","","100","","","","","100","2020-04-30 17:24:00"
"Choachí","Cundinamarca","4.52704792092","-73.9228944808","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-04-30 17:24:00"
