"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","938","1007","38","31","905","32","1","3623","33","64","0.500","0","","0.033","0.899","0.032","0.001","0.038","0.4808909","0.031","0.931","0.278","2020-05-17 17:01:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","202","534","6","326","187","10","5","26154","15","3851","0.003","381","0.013","0.028","0.350","0.019","0.009","0.011","0.0008985","0.610","0.378","0.020","2020-05-17 17:01:00"
"17","Arauca","17524","Arauca","7.077358544","-70.74635031","1","1","0","0","0","1","0","643","1","835","0.001","85","0.000","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","0.002","2020-05-17 17:01:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","16","21","0","5","16","0","0","363","0","46","0.000","3","0.000","0.000","0.762","0.000","0.000","0.000","0.0000000","0.238","0.762","0.058","2020-05-17 17:01:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","1578","1746","46","122","1454","100","23","11789","123","2922","0.034","326","0.071","0.070","0.833","0.057","0.013","0.026","0.0168985","0.070","0.904","0.148","2020-05-17 17:01:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","3898","5521","171","1452","3522","336","36","58843","372","5159","0.065","743","0.048","0.067","0.638","0.061","0.007","0.031","0.0220817","0.263","0.706","0.094","2020-05-17 17:01:00"
"19","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","1079","1343","71","193","941","118","19","8475","137","644","0.183","52","0.365","0.102","0.701","0.088","0.014","0.053","0.0475891","0.144","0.803","0.158","2020-05-17 17:01:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","66","105","5","34","50","8","7","3478","15","635","0.013","48","0.146","0.143","0.476","0.076","0.067","0.048","0.0040234","0.324","0.629","0.030","2020-05-17 17:01:00"
"17","Caldas","17524","Arauca","7.077358544","-70.74635031","63","120","5","52","58","5","0","643","5","835","0.006","85","0.000","0.042","0.483","0.042","0.000","0.042","0.0049094","0.433","0.525","0.187","2020-05-17 17:01:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","18","20","1","1","17","1","0","677","1","250","0.004","12","0.000","0.050","0.850","0.050","0.000","0.050","0.0024359","0.050","0.900","0.030","2020-05-17 17:01:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","16","25","0","9","13","3","0","1125","3","219","0.014","16","0.000","0.120","0.520","0.120","0.000","0.000","0.0000000","0.360","0.640","0.022","2020-05-17 17:01:00"
"19","Cauca","13001","Cartagena de Indias","-4.199836935","-69.94142671","34","64","4","26","33","1","0","8475","1","644","0.002","52","0.000","0.016","0.516","0.016","0.000","0.063","0.0026811","0.406","0.531","0.008","2020-05-17 17:01:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","12","76","11","53","12","0","0","2283","0","1210","0.000","202","0.000","0.000","0.158","0.000","0.000","0.145","0.0084917","0.697","0.158","0.033","2020-05-17 17:01:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","32","43","3","8","27","5","0","842","5","256","0.020","12","0.000","0.116","0.628","0.116","0.000","0.070","0.0055070","0.186","0.744","0.051","2020-05-17 17:01:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","60","78","4","14","52","6","2","3427","8","1120","0.005","137","0.015","0.103","0.667","0.077","0.026","0.051","0.0021871","0.179","0.769","0.023","2020-05-17 17:01:00"
"25","Cundinamarca","11001","Bogota D.C.","4.65017303","-74.107359","168","360","13","179","157","8","3","5215","11","1158","0.007","109","0.028","0.031","0.436","0.022","0.008","0.036","0.0040086","0.497","0.467","0.069","2020-05-17 17:01:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","130","210","8","72","122","4","1","184","5","603","0.007","87","0.011","0.024","0.581","0.019","0.005","0.038","0.0071262","0.343","0.619","1.141","2020-05-17 17:01:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","38","47","3","6","32","4","1","4760","5","512","0.008","48","0.021","0.106","0.681","0.085","0.021","0.064","0.0031065","0.128","0.809","0.010","2020-05-17 17:01:00"
"47","Magdalena","23807","Santa Marta","11.2294335","-74.19089412","275","409","26","108","248","25","2","5326","27","1145","0.022","65","0.031","0.066","0.606","0.061","0.005","0.064","0.0182197","0.264","0.672","0.077","2020-05-17 17:01:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","884","949","8","57","876","6","2","5854","8","874","0.007","45","0.044","0.008","0.923","0.006","0.002","0.008","0.0075227","0.060","0.932","0.162","2020-05-17 17:01:00"
"52","Narino","52001","Pasto","1.212124365","-77.27857635","405","494","26","63","355","46","3","3021","49","980","0.047","82","0.037","0.099","0.719","0.093","0.006","0.053","0.0159745","0.128","0.820","0.164","2020-05-17 17:01:00"
"54","Norte de Santander","54001","Cucuta","7.905306295","-72.5082562","39","113","11","63","33","5","1","4516","6","763","0.007","83","0.012","0.053","0.292","0.044","0.009","0.097","0.0067888","0.558","0.345","0.025","2020-05-17 17:01:00"
"86","Putumayo","86001","Mocoa","1.152296118","-76.65027142","3","3","0","0","2","1","0","242","1","193","0.005","6","0.000","0.333","0.667","0.333","0.000","0.000","0.0000000","0.000","1.000","0.012","2020-05-17 17:01:00"
"63","Quindio","5059","Armenia","6.155818729","-75.78683783","19","79","2","58","17","0","2","1780","2","481","0.000","28","0.071","0.025","0.215","0.000","0.025","0.025","0.0036010","0.734","0.241","0.044","2020-05-17 17:01:00"
