"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","1319","1852","64","469","1262","51","5","6876","469","64","7.328","0","","93.800","370.400","93.800","252.400","12.800","0.8099215","10.200","263.800","0.001","15804.000","1235.000","2020-06-02 17:10:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","689","1200","6","505","668","15","5","44128","505","3851","0.131","381","1.753","101.000","240.000","101.000","133.600","1.200","0.0008985","3.000","137.800","0.000","1335586.000","1112988.000","2020-06-02 17:10:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","0","1","0","1","0","0","0","1232","1","130","0.008","2","0.000","","","","","","0.0000000","","","0.000","","","2020-06-02 17:10:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","2","17","0","15","2","0","0","575","15","46","0.326","3","0.667","","","","","","0.0000000","","","0.000","","","2020-06-02 17:10:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","3336","4550","121","1093","3123","164","43","24050","1093","2922","0.374","326","9.580","25.419","105.814","25.419","72.628","2.814","0.0444505","3.814","77.581","0.002","63305.000","22497.000","2020-06-02 17:10:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","6361","10743","267","4115","5762","484","100","105540","4115","5159","0.798","743","7.755","41.150","107.430","41.150","57.620","2.670","0.0344785","4.840","63.610","0.001","77440.000","29004.000","2020-06-02 17:10:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","2491","3364","156","717","2237","214","37","21596","717","1679","0.427","148","15.115","19.378","90.919","19.378","60.459","4.216","0.0715276","5.784","67.324","0.002","58945.000","13981.000","2020-06-02 17:10:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","103","212","8","101","93","6","1","8117","101","635","0.159","48","1.938","101.000","212.000","101.000","93.000","8.000","0.0064374","6.000","103.000","0.000","1242731.000","155341.000","2020-06-02 17:10:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","36","147","6","105","35","0","1","4963","105","835","0.126","85","0.412","105.000","147.000","105.000","35.000","6.000","0.0058913","0.000","36.000","0.000","1018453.000","169742.000","2020-06-02 17:10:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","5","24","1","18","4","0","0","1021","18","250","0.072","12","0.333","","","","","","0.0024359","","","0.000","","410521.000","2020-06-02 17:10:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","10","35","0","25","10","0","0","1822","25","219","0.114","16","0.625","","","","","","0.0000000","","","0.000","","","2020-06-02 17:10:00"
"19","Cauca","19001","Popayan","2.482503391","-76.57406468","60","113","4","49","47","12","1","3004","49","644","0.076","52","0.904","49.000","113.000","49.000","47.000","4.000","0.0026811","12.000","60.000","0.000","1491937.000","372984.000","2020-06-02 17:10:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","251","324","11","62","246","3","1","4186","62","1210","0.051","202","1.218","62.000","324.000","62.000","246.000","11.000","0.0084917","3.000","251.000","0.000","1295387.000","117762.000","2020-06-02 17:10:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","240","295","8","47","223","12","4","2142","47","256","0.184","12","18.583","11.750","73.750","11.750","55.750","2.000","0.0146853","3.000","60.000","0.002","136191.000","68096.000","2020-06-02 17:10:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","80","135","7","48","63","13","4","5965","48","1120","0.043","137","0.460","12.000","33.750","12.000","15.750","1.750","0.0038273","3.250","20.000","0.001","457237.000","261278.000","2020-06-02 17:10:00"
