"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","684","718","26","8","655","29","0","1457","29","64","45.313","0","","4.039","91.226","4.039","0.000","3.621","32.903","1.114","95.265","49.279","2020-05-11 16:55:00"
"5","Antioquia","5001","Medellín","5.610109776","-74.88681663","182","474","6","286","169","8","5","21161","13","3851","0.208","381","1.312","2.743","35.654","1.688","1.055","1.266","0.090","60.338","38.397","2.240","2020-05-11 16:55:00"
"88","Archipiélago de San Andrés Providencia y Santa Catalina","5308","San Andrés","12.58301369","-81.69606298","2","6","0","4","2","0","0","250","0","46","0.000","3","0.000","0.000","33.333","0.000","0.000","0.000","0.000","66.667","33.333","2.400","2020-05-11 16:55:00"
"8","Atlántico","8001","Barranquilla","10.97592682","-74.79525905","897","1022","41","84","834","53","10","8100","63","2922","1.814","326","3.067","6.164","81.605","5.186","0.978","4.012","1.506","8.219","87.769","12.617","2020-05-11 16:55:00"
"11","Bogotá D.C.","11001","Bogotá D.C.","4.65017303","-74.107359","2993","4305","149","1163","2714","241","36","46276","277","5159","4.671","743","4.845","6.434","63.043","5.598","0.836","3.461","1.924","27.015","69.524","9.303","2020-05-11 16:55:00"
"19","Bolívar","13001","Cartagena de Indias","-4.199836935","-69.94142671","543","742","50","149","454","77","11","5586","88","644","11.957","52","21.154","11.860","61.186","10.377","1.482","6.739","3.351","20.081","73.181","13.283","2020-05-11 16:55:00"
"15","Boyacá","15001","Tunja","5.539953238","-73.35548873","55","77","3","19","41","12","1","2022","13","635","1.890","48","2.083","16.883","53.247","15.584","1.299","3.896","0.241","24.675","71.429","3.808","2020-05-11 16:55:00"
"5","Caldas","5001","Medellín","5.610109776","-74.88681663","58","100","4","38","55","3","0","3051","3","3851","0.078","381","0.000","3.000","55.000","3.000","0.000","4.000","0.060","38.000","58.000","3.278","2020-05-11 16:55:00"
"18","Caquetá","13430","Florencia","9.313668722","-74.89151608","15","16","1","0","15","0","0","481","0","250","0.000","12","0.000","0.000","93.750","0.000","0.000","6.250","0.244","0.000","93.750","3.326","2020-05-11 16:55:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","13","21","0","8","12","1","0","766","1","219","0.457","16","0.000","4.762","57.143","4.762","0.000","0.000","0.000","38.095","61.905","2.742","2020-05-11 16:55:00"
"47","Cauca","19001","Popayán","2.482503391","-76.57406468","28","51","4","19","26","2","0","1878","2","1145","0.175","65","0.000","3.922","50.980","3.922","0.000","7.843","0.280","37.255","54.902","2.716","2020-05-11 16:55:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","25","72","11","36","22","3","0","1749","3","1210","0.248","202","0.000","4.167","30.556","4.167","0.000","15.278","0.849","50.000","34.722","4.117","2020-05-11 16:55:00"
"27","Chocó","27001","Quibdó","5.692195187","-76.62596936","22","28","3","3","21","1","0","690","1","256","0.391","12","0.000","3.571","75.000","3.571","0.000","10.714","0.551","10.714","78.571","4.058","2020-05-11 16:55:00"
"5","Córdoba","5001","Medellín","5.610109776","-74.88681663","25","39","3","11","21","3","1","2631","4","3851","0.078","381","0.262","10.256","53.846","7.692","2.564","7.692","0.045","28.205","64.103","1.482","2020-05-11 16:55:00"
"47","Cundinamarca","19001","Popayán","2.482503391","-76.57406468","129","289","14","146","122","5","2","3749","7","1145","0.437","65","3.077","2.422","42.215","1.730","0.692","4.844","0.981","50.519","44.637","7.709","2020-05-11 16:55:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","115","179","8","56","97","14","2","156","16","603","2.322","87","2.299","8.939","54.190","7.821","1.117","4.469","0.713","31.285","64.246","114.744","2020-05-11 16:55:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","21","27","3","3","18","2","1","3679","3","512","0.391","48","2.083","11.111","66.667","7.407","3.704","11.111","0.311","11.111","77.778","0.734","2020-05-11 16:55:00"
"47","Magdalena","19001","Popayán","2.482503391","-76.57406468","187","284","24","73","167","17","3","4314","20","1145","1.485","65","4.615","7.042","58.803","5.986","1.056","8.451","1.682","25.704","65.845","6.583","2020-05-11 16:55:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","883","927","6","38","880","2","1","4403","3","874","0.229","45","2.222","0.324","94.930","0.216","0.108","0.647","0.564","4.099","95.254","21.054","2020-05-11 16:55:00"
