"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Amazonas","-4.19983693453","-69.9414267076","100","104","4","0","84","16","0","445","16","167","9.5808383233533","0","","15.384615384615","80.769230769231","15.384615384615","","3.8461538461538","","96.153846153846","23.370786516854","2020-04-30 17:24:00"
"Antioquia","5.6101097761033","-74.886816625","297","472","5","170","277","8","12","16198","20","9157","0.087364857486076","775","1.5483870967742","4.2372881355932","58.686440677966","1.6949152542373","2.5423728813559","1.0593220338983","36.016949152542","62.923728813559","2.9139399925917","2020-04-30 17:24:00"
"Archipiélago de San Andrés Providencia y Santa Catalina","6.39872921828","-75.440016949","3","6","0","3","3","0","0","166","","109","","7","","","50","","","","50","50","3.6144578313253","2020-04-30 17:24:00"
"Atlántico","10.9759268186","-74.7952590482","125","146","4","17","114","7","4","4767","11","6891","0.10158177332753","863","0.46349942062572","7.5342465753425","78.082191780822","4.7945205479452","2.7397260273973","2.7397260273973","11.643835616438","85.616438356164","3.0627228865114","2020-04-30 17:24:00"
"Bogotá D.C.","4.65017303026","-74.1073590032","2004","2633","101","528","1819","149","36","34281","185","13006","1.1456250961095","1489","2.4177300201477","7.0262058488416","69.084694265097","5.6589441701481","1.3672616786935","3.8359285985568","20.053171287505","76.110900113938","7.6806394212538","2020-04-30 17:24:00"
"Bolívar","10.3849855226","-75.496431028","17","23","3","3","16","0","1","3620","1","3954","","396","0.25252525252525","4.3478260869565","69.565217391304","","4.3478260869565","13.04347826087","13.04347826087","73.913043478261","0.6353591160221","2020-04-30 17:24:00"
"Boyacá","5.53995323795","-73.3554887287","25","39","1","13","21","4","0","1295","4","1495","0.26755852842809","104","","10.25641025641","53.846153846154","10.25641025641","","2.5641025641026","33.333333333333","64.102564102564","3.011583011583","2020-04-30 17:24:00"
"Caldas","5.05768819705","-75.4910489848","46","69","2","21","43","3","0","1983","3","1932","0.15527950310559","160","","4.3478260869565","62.31884057971","4.3478260869565","","2.8985507246377","30.434782608696","66.666666666667","3.4795763993949","2020-04-30 17:24:00"
"Caquetá","1.6179229304","-75.6085604324","7","8","1","0","7","0","0","321","","643","","33","","","87.5","","","12.5","","87.5","2.4922118380062","2020-04-30 17:24:00"
"Casanare","5.3276126513","-72.396915159","12","18","0","6","11","1","0","454","1","550","0.18181818181818","39","","5.5555555555556","61.111111111111","5.5555555555556","","","33.333333333333","66.666666666667","3.9647577092511","2020-04-30 17:24:00"
