"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","279","2319","89","1951","264","8","6","10751","1951","64","30.484","0","","325.167","386.500","325.167","44.000","14.833","112.6297140","1.333","46.500","0.001","13170.000","888.000","2020-07-01 16:45:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","2711","4660","28","1921","2483","196","30","87913","1921","3851","0.499","381","6.517","64.033","155.333","64.033","82.767","0.933","0.4192916","6.533","90.367","0.000","222598.000","238498.000","2020-07-01 16:45:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","76","80","0","4","73","3","0","2433","4","130","0.031","2","36.500","","","","","","0.0000000","","","0.000","","","2020-07-01 16:45:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","5","23","0","18","4","0","0","1393","18","46","0.391","3","1.333","","","","","","0.0000000","","","0.000","","","2020-07-01 16:45:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","14847","24212","1216","8149","13476","1116","194","23751","8149","2922","2.789","326","41.337","42.005","124.804","42.005","69.464","6.268","44.6709339","5.753","76.531","0.008","14032.000","2239.000","2020-07-01 16:45:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","17653","31417","699","13065","15853","1621","143","224827","13065","5159","2.532","743","21.336","91.364","219.699","91.364","110.860","4.888","9.0263954","11.336","123.448","0.001","54154.000","11079.000","2020-07-01 16:45:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","4379","9392","373","4640","4026","272","66","4833","4640","1679","2.764","148","27.203","70.303","142.303","70.303","61.000","5.652","17.1024349","4.121","66.348","0.014","33045.000","5847.000","2020-07-01 16:45:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","150","390","12","228","122","20","3","14495","228","635","0.359","48","2.542","76.000","130.000","76.000","40.667","4.000","0.9656152","6.667","50.000","0.000","414244.000","103561.000","2020-07-01 16:45:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","76","264","7","181","66","8","1","8991","181","835","0.217","85","0.776","181.000","264.000","181.000","66.000","7.000","0.6873169","8.000","76.000","0.000","1018453.000","145493.000","2020-07-01 16:45:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","16","39","1","22","12","3","0","2082","22","250","0.088","12","1.000","","","","","","0.2435929","","","0.000","","410521.000","2020-07-01 16:45:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","20","67","0","47","18","1","1","4072","47","219","0.215","16","1.125","47.000","67.000","47.000","18.000","0.000","0.0000000","1.000","20.000","0.000","435195.000","","2020-07-01 16:45:00"
"19","Cauca","19001","Popayan","2.482503391","-76.57406468","226","405","18","161","178","38","10","5439","161","644","0.250","52","3.423","16.100","40.500","16.100","17.800","1.800","1.2064853","3.800","22.600","0.002","149194.000","82885.000","2020-07-01 16:45:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","570","1071","26","475","496","68","5","10196","475","1210","0.393","202","2.455","95.000","214.200","95.000","99.200","5.200","2.0071222","13.600","114.000","0.000","259077.000","49823.000","2020-07-01 16:45:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","1049","1682","47","586","904","121","22","7273","586","256","2.289","12","75.333","26.636","76.455","26.636","41.091","2.136","8.6275892","5.500","47.682","0.003","24762.000","11591.000","2020-07-01 16:45:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","507","801","53","241","363","102","36","11762","241","1120","0.215","137","2.650","6.694","22.250","6.694","10.083","1.472","2.8978423","2.833","14.083","0.003","50804.000","34508.000","2020-07-01 16:45:00"
"25","Cundinamarca","11001","Bogota D C.","4.65017303","-74.107359","1349","2849","58","1442","1158","166","18","29300","1442","1158","1.245","109","10.624","80.111","158.278","80.111","64.333","3.222","1.7884680","9.222","74.944","0.001","180167.000","55914.000","2020-07-01 16:45:00"
"94","Guainia","94001","Inirida","3.866161619","-67.91883684","11","14","1","2","11","0","0","1048","2","15","0.133","0","","","","","","","1.9748795","","","0.000","","50636.000","2020-07-01 16:45:00"
"95","Guaviare","95001","San Jose del Guaviare","2.566428399","-72.63898622","32","39","0","7","31","1","0","4790","7","39","0.179","0","","","","","","","0.0000000","","","0.000","","","2020-07-01 16:45:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","78","340","10","252","70","4","0","913","252","603","0.418","87","0.805","","","","","","0.8907718","","","0.000","","112262.000","2020-07-01 16:45:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","351","479","20","108","312","31","7","13042","108","512","0.211","48","6.500","15.429","68.429","15.429","44.571","2.857","2.0709980","4.429","50.143","0.001","137960.000","48286.000","2020-07-01 16:45:00"
"47","Magdalena","23807","Santa Marta","11.2294335","-74.19089412","986","1903","128","789","839","120","21","818","789","1145","0.689","65","12.908","37.571","90.619","37.571","39.952","6.095","8.9697034","5.714","46.952","0.026","67954.000","11149.000","2020-07-01 16:45:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","280","1271","15","976","259","16","4","18062","976","874","1.117","45","5.756","244.000","317.750","244.000","64.750","3.750","1.4104982","4.000","70.000","0.000","265864.000","70897.000","2020-07-01 16:45:00"
"52","Narino","52001","Pasto","1.212124365","-77.27857635","1307","3521","112","2102","1115","162","23","17213","2102","980","2.145","82","13.598","91.391","153.087","91.391","48.478","4.870","6.8813441","7.043","56.826","0.001","70765.000","14532.000","2020-07-01 16:45:00"
"54","Norte de Santander","54001","Cucuta","7.905306295","-72.5082562","159","342","19","164","141","13","4","13269","164","763","0.215","83","1.699","41.000","85.500","41.000","35.250","4.750","1.1726093","3.250","39.750","0.000","405080.000","85280.000","2020-07-01 16:45:00"
"86","Putumayo","86001","Mocoa","1.152296118","-76.65027142","13","28","6","9","5","6","2","751","9","193","0.047","6","0.833","4.500","14.000","4.500","2.500","3.000","1.6707182","3.000","6.500","0.003","179564.000","59855.000","2020-07-01 16:45:00"
"63","Quindio","5059","Armenia","6.155818729","-75.78683783","46","167","4","117","44","0","1","3842","117","481","0.243","28","1.571","117.000","167.000","117.000","44.000","4.000","0.7202004","0.000","46.000","0.000","555401.000","138850.000","2020-07-01 16:45:00"
"66","Risaralda","23001","Pereira","8.745132591","-75.87557791","249","546","13","284","226","16","7","12178","284","710","0.400","64","3.531","40.571","78.000","40.571","32.286","1.857","1.3526801","2.286","35.571","0.001","137294.000","73927.000","2020-07-01 16:45:00"
"68","Santander","68001","Bucaramanga","7.116267276","-73.13259818","539","757","14","204","488","48","2","22520","204","1624","0.126","171","2.854","102.000","378.500","102.000","244.000","7.000","0.6137906","24.000","269.500","0.000","1140454.000","162922.000","2020-07-01 16:45:00"
"70","Sucre","70001","Sincelejo","9.302333104","-75.39548356","1168","1373","72","133","1003","148","14","9962","133","816","0.163","96","10.448","9.500","98.071","9.500","71.643","5.143","7.5849195","10.571","83.429","0.001","67804.000","13184.000","2020-07-01 16:45:00"
"73","Tolima","73001","Ibague","4.439608991","-75.19371478","662","1021","19","340","627","29","3","12256","340","806","0.422","126","4.976","113.333","340.333","113.333","209.000","6.333","1.4179126","9.667","220.667","0.000","446666.000","70526.000","2020-07-01 16:45:00"
"76","Valle del Cauca","76001","Cali","3.414414305","-76.52156515","5327","10508","410","4771","4466","673","176","64317","4771","3072","1.553","503","8.879","27.108","59.705","27.108","25.375","2.330","9.0464751","3.824","30.267","0.003","25751.000","11054.000","2020-07-01 16:45:00"
"97","Vaupes","97001","Mitu","1.251190563","-70.23475052","11","28","0","17","10","0","1","1139","17","4","4.250","0","","17.000","28.000","17.000","10.000","0.000","0.0000000","0.000","11.000","0.001","44712.000","","2020-07-01 16:45:00"
"99","Vichada","99001","Puerto Carreno","6.186864187","-67.486997","0","1","0","1","0","0","0","783","1","26","0.038","0","","","","","","","0.0000000","","","0.000","","","2020-07-01 16:45:00"
