"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","536","2192","84","1572","505","23","7","9134","1572","64","24.563","0","","224.571","313.143","224.571","72.143","12.000","106.3022020","3.286","76.571","0.001","11289.000","941.000","2020-06-20 17:08:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","1763","2758","13","982","1662","82","17","67268","982","3851","0.255","381","4.362","57.765","162.235","57.765","97.765","0.765","0.1946711","4.824","103.706","0.000","392819.000","513687.000","2020-06-20 17:08:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","52","54","0","2","50","2","0","1699","2","130","0.015","2","25.000","","","","","","0.0000000","","","0.000","","","2020-06-20 17:08:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","6","23","0","17","5","0","0","858","17","46","0.370","3","1.667","","","","","","0.0000000","","","0.000","","","2020-06-20 17:08:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","10537","14761","599","3625","9392","957","159","15682","3625","2922","1.241","326","28.810","22.799","92.836","22.799","59.069","3.767","22.0048433","6.019","66.270","0.010","17120.000","4544.000","2020-06-20 17:08:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","10589","19767","463","8715","9209","1202","150","171394","8715","5159","1.689","743","12.394","58.100","131.780","58.100","61.393","3.087","5.9788571","8.013","70.593","0.001","51626.000","16726.000","2020-06-20 17:08:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","3726","6487","253","2508","3303","346","70","3495","2508","1679","1.494","148","22.318","35.829","92.671","35.829","47.186","3.614","11.6003111","4.943","53.229","0.020","31157.000","8620.000","2020-06-20 17:08:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","92","294","11","191","73","13","1","11891","191","635","0.301","48","1.521","191.000","294.000","191.000","73.000","11.000","0.8851473","13.000","92.000","0.000","1242731.000","112976.000","2020-06-20 17:08:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","72","216","7","137","64","6","1","7153","137","835","0.164","85","0.753","137.000","216.000","137.000","64.000","7.000","0.6873169","6.000","72.000","0.000","1018453.000","145493.000","2020-06-20 17:08:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","6","29","1","22","5","0","0","1733","22","250","0.088","12","0.417","","","","","","0.2435929","","","0.000","","410521.000","2020-06-20 17:08:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","19","52","0","33","19","0","0","2877","33","219","0.151","16","1.188","","","","","","0.0000000","","","0.000","","","2020-06-20 17:08:00"
"19","Cauca","19001","Popayan","2.482503391","-76.57406468","140","245","10","95","110","26","4","4281","95","644","0.148","52","2.115","23.750","61.250","23.750","27.500","2.500","0.6702696","6.500","35.000","0.001","372984.000","149194.000","2020-06-20 17:08:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","556","693","18","119","527","26","2","7715","119","1210","0.098","202","2.609","59.500","346.500","59.500","263.500","9.000","1.3895461","13.000","278.000","0.000","647694.000","71966.000","2020-06-20 17:08:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","728","971","29","214","631","81","15","4575","214","256","0.836","12","52.583","14.267","64.733","14.267","42.067","1.933","5.3234061","5.400","48.533","0.003","36318.000","18785.000","2020-06-20 17:08:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","300","423","19","104","231","45","20","9705","104","1120","0.093","137","1.686","5.200","21.150","5.200","11.550","0.950","1.0388491","2.250","15.000","0.002","91447.000","96260.000","2020-06-20 17:08:00"
"25","Cundinamarca","11001","Bogota D C.","4.65017303","-74.107359","1120","1963","45","798","969","135","12","20126","798","1158","0.689","109","8.890","66.500","163.583","66.500","80.750","3.750","1.3876045","11.250","93.333","0.001","270250.000","72067.000","2020-06-20 17:08:00"
"94","Guainia","94001","Inirida","3.866161619","-67.91883684","4","7","1","2","4","0","0","966","2","15","0.133","0","","","","","","","1.9748795","","","0.000","","50636.000","2020-06-20 17:08:00"
"95","Guaviare","95001","San Jose del Guaviare","2.566428399","-72.63898622","10","10","0","0","9","1","0","2975","0","39","0.000","0","","","","","","","0.0000000","","","0.000","","","2020-06-20 17:08:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","48","294","9","237","42","2","0","715","237","603","0.393","87","0.483","","","","","","0.8016946","","","0.000","","124736.000","2020-06-20 17:08:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","121","185","7","57","101","16","3","10442","57","512","0.111","48","2.104","19.000","61.667","19.000","33.667","2.333","0.7248493","5.333","40.333","0.000","321906.000","137960.000","2020-06-20 17:08:00"
"47","Magdalena","23807","Santa Marta","11.2294335","-74.19089412","570","1199","80","549","442","110","17","592","549","1145","0.479","65","6.800","32.294","70.529","32.294","26.000","4.706","5.6060646","6.471","33.529","0.029","83943.000","17838.000","2020-06-20 17:08:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","105","1068","11","952","92","10","2","13522","952","874","1.089","45","2.044","476.000","534.000","476.000","46.000","5.500","1.0343654","5.000","52.500","0.000","531727.000","96678.000","2020-06-20 17:08:00"
