"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","0","1003","35","28","907","32","1","2849","33","64","50.000","0","","3.290","90.429","3.190","0.100","3.490","44.293","2.792","0.000","35.205","2020-05-15 17:00:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","0","509","6","314","174","11","4","24478","15","3851","0.286","381","1.050","2.947","34.185","2.161","0.786","1.179","0.090","61.690","0.000","2.079","2020-05-15 17:00:00"
"17","Arauca","17524","Arauca","7.077358544","-70.74635031","0","1","0","0","0","1","0","641","1","835","0.120","85","0.000","100.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","0.156","2020-05-15 17:00:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","0","21","0","4","17","0","0","293","0","46","0.000","3","0.000","0.000","80.952","0.000","0.000","0.000","0.000","19.048","0.000","7.167","2020-05-15 17:00:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","0","1493","46","101","1252","76","18","10954","94","2922","2.601","326","5.521","6.296","83.858","5.090","1.206","3.081","1.690","6.765","0.000","13.630","2020-05-15 17:00:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","4","5008","163","1352","3157","294","38","56352","332","5159","5.699","743","5.114","6.629","63.039","5.871","0.759","3.255","2.105","26.997","0.080","8.887","2020-05-15 17:00:00"
"19","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","1","1146","65","171","786","108","15","7074","123","644","16.770","52","28.846","10.733","68.586","9.424","1.309","5.672","4.357","14.921","0.087","16.200","2020-05-15 17:00:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","1","88","3","26","43","13","2","2946","15","635","2.047","48","4.167","17.045","48.864","14.773","2.273","3.409","0.241","29.545","1.136","2.987","2020-05-15 17:00:00"
"17","Caldas","17524","Arauca","7.077358544","-70.74635031","0","109","5","44","56","4","0","641","4","835","0.479","85","0.000","3.670","51.376","3.670","0.000","4.587","0.491","40.367","0.000","17.005","2020-05-15 17:00:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","0","19","1","0","17","1","0","635","1","250","0.400","12","0.000","5.263","89.474","5.263","0.000","5.263","0.244","0.000","0.000","2.992","2020-05-15 17:00:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","0","25","0","9","12","4","0","852","4","219","1.826","16","0.000","16.000","48.000","16.000","0.000","0.000","0.000","36.000","0.000","2.934","2020-05-15 17:00:00"
"19","Cauca","13001","Cartagena de Indias","-4.199836935","-69.94142671","0","61","4","26","29","2","0","7074","2","644","0.311","52","0.000","3.279","47.541","3.279","0.000","6.557","0.268","42.623","0.000","0.862","2020-05-15 17:00:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","0","72","11","53","8","0","0","2038","0","1210","0.000","202","0.000","0.000","11.111","0.000","0.000","15.278","0.849","73.611","0.000","3.533","2020-05-15 17:00:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","0","42","3","8","27","4","0","746","4","256","1.563","12","0.000","9.524","64.286","9.524","0.000","7.143","0.551","19.048","0.000","5.630","2020-05-15 17:00:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","0","62","3","13","38","6","2","3078","8","1120","0.536","137","1.460","12.903","61.290","9.677","3.226","4.839","0.164","20.968","0.000","2.014","2020-05-15 17:00:00"
"25","Cundinamarca","11001","Bogota D.C.","4.65017303","-74.107359","0","336","13","167","146","7","3","4789","10","1158","0.604","109","2.752","2.976","43.452","2.083","0.893","3.869","0.401","49.702","0.000","7.016","2020-05-15 17:00:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","3","207","8","63","124","8","1","166","9","603","1.327","87","1.149","4.348","59.903","3.865","0.483","3.865","0.713","30.435","1.449","124.699","2020-05-15 17:00:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","0","35","3","5","24","2","1","4423","3","512","0.391","48","2.083","8.571","68.571","5.714","2.857","8.571","0.311","14.286","0.000","0.791","2020-05-15 17:00:00"
"47","Magdalena","23807","Santa Marta","11.2294335","-74.19089412","0","380","26","100","229","23","2","5121","25","1145","2.009","65","3.077","6.579","60.263","6.053","0.526","6.842","1.822","26.316","0.000","7.420","2020-05-15 17:00:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","0","940","8","50","878","4","0","5619","4","874","0.458","45","0.000","0.426","93.404","0.426","0.000","0.851","0.752","5.319","0.000","16.729","2020-05-15 17:00:00"
"52","Narino","52001","Pasto","1.212124365","-77.27857635","0","425","23","61","300","39","2","2973","41","980","3.980","82","2.439","9.647","70.588","9.176","0.471","5.412","1.413","14.353","0.000","14.295","2020-05-15 17:00:00"
"54","Norte de Santander","54001","Cucuta","7.905306295","-72.5082562","0","107","10","58","34","4","1","4132","5","763","0.524","83","1.205","4.673","31.776","3.738","0.935","9.346","0.617","54.206","0.000","2.590","2020-05-15 17:00:00"
"86","Putumayo","86001","Mocoa","1.152296118","-76.65027142","0","3","0","0","2","1","0","134","1","193","0.518","6","0.000","33.333","66.667","33.333","0.000","0.000","0.000","0.000","0.000","2.239","2020-05-15 17:00:00"
"63","Quindio","5059","Armenia","6.155818729","-75.78683783","0","78","2","57","17","0","2","1710","2","481","0.000","28","7.143","2.564","21.795","0.000","2.564","2.564","0.360","73.077","0.000","4.561","2020-05-15 17:00:00"
"66","Risaralda","23001","Pereira","8.745132591","-75.87557791","0","236","8","150","77","1","0","4474","1","710","0.141","64","0.000","0.424","32.627","0.424","0.000","3.390","0.832","63.559","0.000","5.275","2020-05-15 17:00:00"
"68","Santander","68001","Bucaramanga","7.116267276","-73.13259818","0","43","3","30","10","0","0","4522","0","1624","0.000","171","0.000","0.000","23.256","0.000","0.000","6.977","0.132","69.767","0.000","0.951","2020-05-15 17:00:00"
"70","Sucre","70001","Sincelejo","9.302333104","-75.39548356","0","4","0","1","3","0","0","722","0","816","0.000","96","0.000","0.000","75.000","0.000","0.000","0.000","0.000","25.000","0.000","0.554","2020-05-15 17:00:00"
"73","Tolima","73001","Ibague","4.439608991","-75.19371478","0","154","6","46","98","3","1","3196","4","806","0.372","126","0.794","2.597","63.636","1.948","0.649","3.896","0.448","29.870","0.000","4.819","2020-05-15 17:00:00"
"76","Valle del Cauca","76001","Cali","3.414414305","-76.52156515","0","1598","92","523","820","121","42","18678","163","3072","3.939","503","8.350","10.200","51.314","7.572","2.628","5.757","2.030","32.728","0.000","8.556","2020-05-15 17:00:00"
"97","Vaupes","97001","Mitu","1.251190563","-70.23475052","11","11","0","0","0","0","0","140","0","4","0.000","0","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","7.857","2020-05-15 17:00:00"
