"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","1108","1183","40","35","1062","44","2","3958","46","64","0.688","0","","0.039","0.898","0.037","0.002","0.034","0.5062010","0.030","0.937","0.299","67.000","1976.000","2020-05-18 16:56:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","207","543","6","330","192","10","5","26483","15","3851","0.003","381","0.013","0.028","0.354","0.018","0.009","0.011","0.0008985","0.608","0.381","0.021","12298.000","1112988.000","2020-05-18 16:56:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","1","1","0","0","0","1","0","649","1","130","0.008","2","0.000","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","0.002","294206.000","","2020-05-18 16:56:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","16","21","0","5","16","0","0","363","0","46","0.000","3","0.000","0.000","0.762","0.000","0.000","0.000","0.0000000","0.238","0.762","0.058","3033.000","","2020-05-18 16:56:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","1647","1827","51","129","1528","95","22","12450","117","2922","0.033","326","0.067","0.064","0.836","0.052","0.012","0.028","0.0187353","0.071","0.901","0.147","1490.000","53375.000","2020-05-18 16:56:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","4046","5720","175","1499","3644","358","40","60029","398","5159","0.069","743","0.054","0.070","0.637","0.063","0.007","0.031","0.0225983","0.262","0.707","0.095","1354.000","44251.000","2020-05-18 16:56:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","1216","1492","73","203","1059","134","22","9328","156","1679","0.080","148","0.149","0.105","0.710","0.090","0.015","0.049","0.0334713","0.136","0.815","0.160","1462.000","29876.000","2020-05-18 16:56:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","67","108","5","36","52","6","7","3555","13","635","0.009","48","0.146","0.120","0.481","0.056","0.065","0.046","0.0040234","0.333","0.620","0.030","11507.000","248546.000","2020-05-18 16:56:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","49","120","5","66","46","3","0","3674","3","835","0.004","85","0.000","0.025","0.383","0.025","0.000","0.042","0.0049094","0.550","0.408","0.033","8487.000","203691.000","2020-05-18 16:56:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","18","21","1","2","17","1","0","691","1","250","0.004","12","0.000","0.048","0.810","0.048","0.000","0.048","0.0024359","0.095","0.857","0.030","19549.000","410521.000","2020-05-18 16:56:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","15","25","0","10","12","3","0","1128","3","219","0.014","16","0.000","0.120","0.480","0.120","0.000","0.000","0.0000000","0.400","0.600","0.022","17408.000","","2020-05-18 16:56:00"
