"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","649","2179","78","1452","585","53","10","9064","1452","64","22.688","0","","145.200","217.900","145.200","58.500","7.800","98.7091875","5.300","64.900","0.001","7902.000","1013.000","2020-06-17 16:56:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","1496","2369","11","862","1421","63","10","63169","862","3851","0.224","381","3.730","86.200","236.900","86.200","142.100","1.100","0.1647217","6.300","149.600","0.000","667793.000","607085.000","2020-06-17 16:56:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","44","46","0","2","42","2","0","1612","2","130","0.015","2","21.000","","","","","","0.0000000","","","0.000","","","2020-06-17 16:56:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","3","20","0","17","2","0","0","841","17","46","0.370","3","0.667","","","","","","0.0000000","","","0.000","","","2020-06-17 16:56:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","8775","12228","481","2972","7833","788","135","14312","2972","2922","1.017","326","24.028","22.015","90.578","22.015","58.022","3.563","17.6699994","5.837","65.000","0.009","20164.000","5659.000","2020-06-17 16:56:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","9764","17392","422","7206","8578","1010","150","153200","7206","5159","1.397","743","11.545","48.040","115.947","48.040","57.187","2.813","5.4494118","6.733","65.093","0.001","51626.000","18351.000","2020-06-17 16:56:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","3428","5550","229","1893","3064","307","50","3188","1893","1679","1.127","148","20.703","37.860","111.000","37.860","61.280","4.580","10.4998863","6.140","68.560","0.016","43620.000","9524.000","2020-06-17 16:56:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","87","263","9","167","67","14","1","11323","167","635","0.263","48","1.396","167.000","263.000","167.000","67.000","9.000","0.7242114","14.000","87.000","0.000","1242731.000","138081.000","2020-06-17 16:56:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","67","205","7","131","60","6","0","6783","131","835","0.157","85","0.706","","","","","","0.6873169","","","0.000","","145493.000","2020-06-17 16:56:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","6","28","1","21","5","0","0","1439","21","250","0.084","12","0.417","","","","","","0.2435929","","","0.000","","410521.000","2020-06-17 16:56:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","6","39","0","33","6","0","0","2671","33","219","0.151","16","0.375","","","","","","0.0000000","","","0.000","","","2020-06-17 16:56:00"
"19","Cauca","19001","Popayan","2.482503391","-76.57406468","124","209","9","76","103","19","2","3834","76","644","0.118","52","1.981","38.000","104.500","38.000","51.500","4.500","0.6032426","9.500","62.000","0.001","745969.000","165771.000","2020-06-17 16:56:00"
