"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Amazonas","10.1820963025","-75.5118252981","102","104","2","0","84","18","0","118","18","167","10.778443113772","0","","17.307692307692","80.769230769231","17.307692307692","","1.9230769230769","","98.076923076923","88.135593220339","2020-04-29 16:23:00"
"Antioquia","5.6101097761033","-74.886816625","297","468","5","166","278","9","10","1083","19","9157","0.098285464671836","775","1.2903225806452","4.0598290598291","59.401709401709","1.9230769230769","2.1367521367521","1.0683760683761","35.470085470085","63.461538461538","43.213296398892","2020-04-29 16:23:00"
"Archipiélago de San Andrés Providencia y Santa Catalina","6.39872921828","-75.440016949","3","6","0","3","3","0","0","15","","109","","7","","","50","","","","50","50","40","2020-04-29 16:23:00"
"Atlántico","10.9759268186","-74.7952590482","91","112","4","17","82","5","4","559","9","6891","0.072558409519663","863","0.46349942062572","8.0357142857143","73.214285714286","4.4642857142857","3.5714285714286","3.5714285714286","15.178571428571","81.25","20.035778175313","2020-04-29 16:23:00"
"Bogotá D.C.","4.65017303026","-74.1073590032","1921","2543","98","524","1740","145","36","3603","181","13006","1.1148700599723","1489","2.4177300201477","7.1175776641762","68.4231222965","5.7019268580417","1.4156508061345","3.8537160833661","20.605583955958","75.540699960676","70.580072162087","2020-04-29 16:23:00"
"Bolívar","10.3849855226","-75.496431028","16","22","3","3","15","0","1","335","1","3954","","396","0.25252525252525","4.5454545454545","68.181818181818","","4.5454545454545","13.636363636364","13.636363636364","72.727272727273","6.5671641791045","2020-04-29 16:23:00"
"Boyacá","5.53995323795","-73.3554887287","24","37","1","12","22","2","0","65","2","1495","0.13377926421405","104","","5.4054054054054","59.459459459459","5.4054054054054","","2.7027027027027","32.432432432432","64.864864864865","56.923076923077","2020-04-29 16:23:00"
"Caldas","7.8368375609","-75.4143614377","39","59","2","18","37","2","0","226","2","1932","0.10351966873706","160","","3.3898305084746","62.71186440678","3.3898305084746","","3.3898305084746","30.508474576271","66.101694915254","26.106194690265","2020-04-29 16:23:00"
"Caquetá","9.31366872153","-74.8915160804","7","8","1","0","7","0","0","16","","643","","33","","","87.5","","","12.5","","87.5","50","2020-04-29 16:23:00"
"Casanare","5.3276126513","-72.396915159","12","18","0","6","10","2","0","16","2","550","0.36363636363636","39","","11.111111111111","55.555555555556","11.111111111111","","","33.333333333333","66.666666666667","112.5","2020-04-29 16:23:00"
"Cauca","2.48250339062","-76.5740646841","19","35","4","12","14","5","0","58","5","1566","0.31928480204342","151","","14.285714285714","40","14.285714285714","","11.428571428571","34.285714285714","54.285714285714","60.344827586207","2020-04-29 16:23:00"
"Cesar","10.4604812152","-73.259389309","20","55","6","29","11","7","2","45","9","3051","0.2294329727958","367","0.5449591280654","16.363636363636","20","12.727272727273","3.6363636363636","10.909090909091","52.727272727273","36.363636363636","122.22222222222","2020-04-29 16:23:00"
"Chocó","5.69219518726","-76.6259693555","10","13","1","2","9","1","0","64","1","710","0.14084507042254","20","","7.6923076923077","69.230769230769","7.6923076923077","","7.6923076923077","15.384615384615","76.923076923077","20.3125","2020-04-29 16:23:00"
"Córdoba","8.7451325909","-75.8755779091","17","26","3","6","17","0","0","120","","2950","","423","","","65.384615384615","","","11.538461538462","23.076923076923","65.384615384615","21.666666666667","2020-04-29 16:23:00"
"Cundinamarca","4.65017303026","-74.1073590032","121","219","13","85","108","12","1","179","13","2805","0.42780748663102","213","0.46948356807512","5.9360730593607","49.315068493151","5.4794520547945","0.45662100456621","5.9360730593607","38.812785388128","55.251141552511","122.34636871508","2020-04-29 16:23:00"
"Huila","8.55014492944","-75.5402712159","65","104","6","33","57","6","2","4","8","1505","0.39867109634551","217","0.92165898617512","7.6923076923077","54.807692307692","5.7692307692308","1.9230769230769","5.7692307692308","31.730769230769","62.5","2600","2020-04-29 16:23:00"
"La Guajira","11.5287513839","-72.911488911","7","9","1","1","7","0","0","286","","1440","","163","","","77.777777777778","","","11.111111111111","11.111111111111","77.777777777778","3.1468531468531","2020-04-29 16:23:00"
"Magdalena","11.2294335041","-74.1908941206","27","33","4","2","26","1","0","320","1","2766","0.036153289949385","186","","3.030303030303","78.787878787879","3.030303030303","","12.121212121212","6.0606060606061","81.818181818182","10.3125","2020-04-29 16:23:00"
"Meta","8.45697278227","-76.1247069871","339","363","4","20","332","5","2","246","7","1988","0.25150905432596","104","1.9230769230769","1.9283746556474","91.460055096419","1.3774104683196","0.55096418732782","1.1019283746556","5.5096418732782","93.388429752066","147.56097560976","2020-04-29 16:23:00"
"Nariño","1.21212436525","-77.2785763476","93","118","8","17","85","5","3","388","8","2358","0.21204410517388","197","1.5228426395939","6.7796610169492","72.033898305085","4.2372881355932","2.5423728813559","6.7796610169492","14.406779661017","78.813559322034","30.412371134021","2020-04-29 16:23:00"
"Norte de Santander","7.90530629465","-72.5082561962","38","69","5","26","35","2","1","106","3","1846","0.10834236186349","208","0.48076923076923","4.3478260869565","50.724637681159","2.8985507246377","1.4492753623188","7.2463768115942","37.68115942029","55.072463768116","65.094339622642","2020-04-29 16:23:00"
"Quindio","6.15581872915","-75.7868378278","34","60","3","23","33","0","1","47","1","1065","","64","1.5625","1.6666666666667","55","","1.6666666666667","5","38.333333333333","56.666666666667","127.65957446809","2020-04-29 16:23:00"
"Risaralda","8.51722410471","-76.0759945061","144","193","6","43","139","2","3","329","5","1581","0.12650221378874","139","2.158273381295","2.5906735751295","72.020725388601","1.0362694300518","1.5544041450777","3.1088082901554","22.279792746114","74.611398963731","58.662613981763","2020-04-29 16:23:00"
"Santander","7.11626727561","-73.1325981781","10","40","3","27","10","0","0","243","","3938","","398","","","25","","","7.5","67.5","25","16.460905349794","2020-04-29 16:23:00"
