"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","821","871","29","21","788","32","1","2437","33","64","50.000","0","","3.789","90.471","3.674","0.115","3.330","36.700","2.411","94.259","35.741","2020-05-13 17:08:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","180","491","6","305","166","10","4","23234","14","3851","0.260","381","1.050","2.851","33.809","2.037","0.815","1.222","0.090","62.118","36.660","2.113","2020-05-13 17:08:00"
"17","Arauca","17524","Arauca","7.077358544","-70.74635031","1","1","0","0","0","1","0","631","1","835","0.120","85","0.000","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","0.158","2020-05-13 17:08:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","17","21","0","4","17","0","0","250","0","46","0.000","3","0.000","0.000","80.952","0.000","0.000","0.000","0.000","19.048","80.952","8.400","2020-05-13 17:08:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","1136","1268","42","90","1058","63","15","9825","78","2922","2.156","326","4.601","6.151","83.438","4.968","1.183","3.312","1.543","7.098","89.590","12.906","2020-05-13 17:08:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","3291","4685","158","1236","2974","278","35","53683","313","5159","5.389","743","4.711","6.681","63.479","5.934","0.747","3.372","2.040","26.382","70.245","8.727","2020-05-13 17:08:00"
"19","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","717","936","55","164","609","93","14","6894","107","644","14.441","52","26.923","11.432","65.064","9.936","1.496","5.876","3.686","17.521","76.603","13.577","2020-05-13 17:08:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","60","87","3","24","44","13","2","2341","15","635","2.047","48","4.167","17.241","50.575","14.943","2.299","3.448","0.241","27.586","68.966","3.716","2020-05-13 17:08:00"
"5","Caldas","5001","Medellin","5.610109776","-74.88681663","59","104","4","41","55","4","0","23234","4","3851","0.104","381","0.000","3.846","52.885","3.846","0.000","3.846","0.060","39.423","56.731","0.448","2020-05-13 17:08:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","18","19","1","0","17","1","0","557","1","250","0.400","12","0.000","5.263","89.474","5.263","0.000","5.263","0.244","0.000","94.737","3.411","2020-05-13 17:08:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","17","25","0","8","13","4","0","801","4","219","1.826","16","0.000","16.000","52.000","16.000","0.000","0.000","0.000","32.000","68.000","3.121","2020-05-13 17:08:00"
"47","Cauca","19001","Popayan","2.482503391","-76.57406468","29","54","4","21","27","2","0","1971","2","1145","0.175","65","0.000","3.704","50.000","3.704","0.000","7.407","0.280","38.889","53.704","2.740","2020-05-13 17:08:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","16","72","11","45","13","3","0","1943","3","1210","0.248","202","0.000","4.167","18.056","4.167","0.000","15.278","0.849","62.500","22.222","3.706","2020-05-13 17:08:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","34","40","3","3","31","3","0","744","3","256","1.172","12","0.000","7.500","77.500","7.500","0.000","7.500","0.551","7.500","85.000","5.376","2020-05-13 17:08:00"
"5","Cordoba","5001","Medellin","5.610109776","-74.88681663","27","42","3","12","22","3","2","23234","5","3851","0.078","381","0.525","11.905","52.381","7.143","4.762","7.143","0.045","28.571","64.286","0.181","2020-05-13 17:08:00"
"47","Cundinamarca","19001","Popayan","2.482503391","-76.57406468","141","311","13","157","132","6","3","1971","9","1145","0.524","65","4.615","2.894","42.444","1.929","0.965","4.180","0.911","50.482","45.338","15.779","2020-05-13 17:08:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","118","187","8","61","100","14","2","156","16","603","2.322","87","2.299","8.556","53.476","7.487","1.070","4.278","0.713","32.620","63.102","119.872","2020-05-13 17:08:00"
