"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Amazonas","-4.19983693453","-69.9414267076","128","136","8","0","113","15","0","806","15","64","23.4375","0","","11.029411764706","83.088235294118","11.029411764706","","5.8823529411765","","94.117647058824","16.873449131514","2020-05-02 17:05:00"
"Antioquia","5.6101097761033","-74.886816625","279","477","6","192","261","6","12","17246","18","3826","0.15682174594877","394","3.0456852791878","3.7735849056604","54.716981132075","1.2578616352201","2.5157232704403","1.2578616352201","40.251572327044","58.490566037736","2.765858749855","2020-05-02 17:05:00"
"Archipiélago de San Andrés Providencia y Santa Catalina","12.5830136907","-81.6960629797","2","6","0","4","2","0","0","167","","46","","3","","","33.333333333333","","","","66.666666666667","33.333333333333","3.5928143712575","2020-05-02 17:05:00"
"Atlántico","10.9759268186","-74.7952590482","339","414","15","60","315","16","8","5484","24","2930","0.54607508532423","343","2.332361516035","5.7971014492754","76.086956521739","3.8647342995169","1.9323671497585","3.6231884057971","14.492753623188","81.884057971014","7.5492341356674","2020-05-02 17:05:00"
"Bogotá D.C.","4.65017303026","-74.1073590032","2140","2846","111","595","1922","180","38","37121","218","5171","3.4809514600658","654","5.8103975535168","7.659873506676","67.533380182713","6.3246661981729","1.3352073085032","3.9002108222066","20.906535488405","75.193253689389","7.6668193206002","2020-05-02 17:05:00"
"Bolívar","10.3849855226","-75.496431028","211","334","26","97","178","22","11","3938","33","1684","1.3064133016627","156","7.0512820512821","9.8802395209581","53.293413173653","6.5868263473054","3.2934131736527","7.7844311377246","29.041916167665","63.173652694611","8.4814626714068","2020-05-02 17:05:00"
"Boyacá","5.53995323795","-73.3554887287","29","47","4","14","23","6","0","1361","6","626","0.95846645367412","51","","12.765957446809","48.936170212766","12.765957446809","","8.5106382978723","29.787234042553","61.702127659574","3.4533431300514","2020-05-02 17:05:00"
"Caldas","5.05768819705","-75.4910489848","50","80","2","28","44","6","0","2102","6","836","0.7177033492823","89","","7.5","55","7.5","","2.5","35","62.5","3.8058991436727","2020-05-02 17:05:00"
"Caquetá","1.6179229304","-75.6085604324","8","9","1","0","8","0","0","334","","250","","13","","","88.888888888889","","","11.111111111111","","88.888888888889","2.6946107784431","2020-05-02 17:05:00"
"Casanare","5.3276126513","-72.396915159","12","18","0","6","11","1","0","563","1","219","0.45662100456621","17","","5.5555555555556","61.111111111111","5.5555555555556","","","33.333333333333","66.666666666667","3.1971580817052","2020-05-02 17:05:00"
"Cauca","2.48250339062","-76.5740646841","18","35","4","13","14","4","0","1620","4","636","0.62893081761006","55","","11.428571428571","40","11.428571428571","","11.428571428571","37.142857142857","51.428571428571","2.1604938271605","2020-05-02 17:05:00"
"Cesar","10.4604812152","-73.259389309","23","58","6","29","14","7","2","1072","9","1189","0.58873002523129","145","1.3793103448276","15.51724137931","24.137931034483","12.068965517241","3.448275862069","10.344827586207","50","39.655172413793","5.410447761194","2020-05-02 17:05:00"
"Chocó","5.69219518726","-76.6259693555","12","15","1","2","11","1","0","581","1","256","0.390625","13","","6.6666666666667","73.333333333333","6.6666666666667","","6.6666666666667","13.333333333333","80","2.5817555938038","2020-05-02 17:05:00"
"Córdoba","8.7451325909","-75.8755779091","18","29","3","8","18","0","0","1845","","1119","","144","","","62.068965517241","","","10.344827586207","27.586206896552","62.068965517241","1.5718157181572","2020-05-02 17:05:00"
"Cundinamarca","4.65017303026","-74.1073590032","128","235","13","94","113","14","1","2527","15","1156","1.2110726643599","110","0.90909090909091","6.3829787234043","48.085106382979","5.9574468085106","0.42553191489362","5.531914893617","40","54.468085106383","9.2995647012268","2020-05-02 17:05:00"
"Huila","2.93560441491","-75.2777225856","84","133","8","41","69","12","3","144","15","603","1.9900497512438","92","3.2608695652174","11.278195488722","51.87969924812","9.0225563909774","2.2556390977444","6.015037593985","30.827067669173","63.157894736842","92.361111111111","2020-05-02 17:05:00"
"La Guajira","11.5287513839","-72.911488911","7","9","1","1","5","1","1","2414","2","512","0.1953125","51","1.9607843137255","22.222222222222","55.555555555556","11.111111111111","11.111111111111","11.111111111111","11.111111111111","77.777777777778","0.37282518641259","2020-05-02 17:05:00"
"Magdalena","11.2294335041","-74.1908941206","181","230","19","30","161","19","1","2628","20","1145","1.6593886462882","64","1.5625","8.695652173913","70","8.2608695652174","0.43478260869565","8.2608695652174","13.04347826087","78.695652173913","8.751902587519","2020-05-02 17:05:00"
"Meta","4.12386149961","-73.6270920374","450","479","6","23","446","4","0","2877","4","874","0.45766590389016","44","","0.83507306889353","93.110647181628","0.83507306889353","","1.2526096033403","4.8016701461378","93.945720250522","16.649287452207","2020-05-02 17:05:00"
"Nariño","1.21212436525","-77.2785763476","130","157","8","19","116","10","4","1888","14","981","1.0193679918451","87","4.5977011494253","8.9171974522293","73.885350318471","6.3694267515924","2.5477707006369","5.0955414012739","12.101910828025","82.802547770701","8.3156779661017","2020-05-02 17:05:00"
"Norte de Santander","7.90530629465","-72.5082561962","49","84","8","27","40","8","1","2520","9","763","1.0484927916121","88","1.1363636363636","10.714285714286","47.619047619048","9.5238095238095","1.1904761904762","9.5238095238095","32.142857142857","58.333333333333","3.3333333333333","2020-05-02 17:05:00"
