"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","1469","1848","63","316","1412","51","5","6770","56","64","0.797","0","","0.030","0.764","0.028","0.003","0.034","0.7972665","0.171","0.795","0.273","43.000","1254.000","2020-06-01 17:19:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","674","1171","6","491","652","15","7","42768","22","3851","0.004","381","0.018","0.019","0.557","0.013","0.006","0.005","0.0008985","0.419","0.576","0.027","5703.000","1112988.000","2020-06-01 17:19:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","0","1","0","1","0","0","0","1204","0","130","0.000","2","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","0.001","294206.000","","2020-06-01 17:19:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","2","17","0","15","2","0","0","575","0","46","0.000","3","0.000","0.000","0.118","0.000","0.000","0.000","0.0000000","0.882","0.118","0.030","3747.000","","2020-06-01 17:19:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","3176","4116","115","825","3010","129","34","22927","163","2922","0.044","326","0.104","0.040","0.731","0.031","0.008","0.028","0.0422464","0.200","0.772","0.180","661.000","23671.000","2020-06-01 17:19:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","6397","10370","258","3715","5827","458","102","103149","560","5159","0.089","743","0.137","0.054","0.562","0.044","0.010","0.025","0.0333163","0.358","0.617","0.101","747.000","30015.000","2020-06-01 17:19:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","2507","3270","152","611","2264","209","33","21383","242","1679","0.124","148","0.223","0.074","0.692","0.064","0.010","0.046","0.0696936","0.187","0.767","0.153","667.000","14349.000","2020-06-01 17:19:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","113","211","8","90","103","6","1","7878","7","635","0.009","48","0.021","0.033","0.488","0.028","0.005","0.038","0.0064374","0.427","0.536","0.027","5890.000","155341.000","2020-06-01 17:19:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","35","138","6","97","34","0","1","4889","1","835","0.000","85","0.012","0.007","0.246","0.000","0.007","0.043","0.0058913","0.703","0.254","0.028","7380.000","169742.000","2020-06-01 17:19:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","7","24","1","16","6","1","0","1021","1","250","0.004","12","0.000","0.042","0.250","0.042","0.000","0.042","0.0024359","0.667","0.292","0.024","17105.000","410521.000","2020-06-01 17:19:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","11","35","0","24","11","0","0","1807","0","219","0.000","16","0.000","0.000","0.314","0.000","0.000","0.000","0.0000000","0.686","0.314","0.019","12434.000","","2020-06-01 17:19:00"
"19","Cauca","19001","Popayan","2.482503391","-76.57406468","52","103","4","47","43","8","1","2934","9","644","0.012","52","0.019","0.087","0.417","0.078","0.010","0.039","0.0026811","0.456","0.505","0.035","14485.000","372984.000","2020-06-01 17:19:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","216","287","11","60","211","3","1","4032","4","1210","0.002","202","0.005","0.014","0.735","0.010","0.003","0.038","0.0084917","0.209","0.753","0.071","4514.000","117762.000","2020-06-01 17:19:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","189","227","7","31","165","21","2","2125","23","256","0.082","12","0.167","0.101","0.727","0.093","0.009","0.031","0.0128496","0.137","0.833","0.107","2400.000","77823.000","2020-06-01 17:19:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","82","135","7","46","65","13","4","5861","17","1120","0.012","137","0.029","0.126","0.481","0.096","0.030","0.052","0.0038273","0.341","0.607","0.023","13548.000","261278.000","2020-06-01 17:19:00"
"25","Cundinamarca","11001","Bogota D.C.","4.65017303","-74.107359","635","925","18","272","575","46","13","10824","59","1158","0.040","109","0.119","0.064","0.622","0.050","0.014","0.019","0.0055504","0.294","0.686","0.085","3506.000","180167.000","2020-06-01 17:19:00"
"94","Guainia","94001","Inirida","3.866161619","-67.91883684","6","6","0","0","6","0","0","689","0","15","0.000","0","","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","0.009","8439.000","","2020-06-01 17:19:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","53","251","9","189","48","1","0","326","1","603","0.002","87","0.000","0.004","0.191","0.004","0.000","0.036","0.0080169","0.753","0.211","0.770","4473.000","124736.000","2020-06-01 17:19:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","35","64","3","26","30","3","1","7475","4","512","0.006","48","0.021","0.063","0.469","0.047","0.016","0.047","0.0031065","0.406","0.547","0.009","15089.000","321906.000","2020-06-01 17:19:00"
"47","Magdalena","23807","Santa Marta","11.2294335","-74.19089412","333","635","40","262","300","31","1","8342","32","1145","0.027","65","0.015","0.050","0.472","0.049","0.002","0.063","0.0280303","0.413","0.524","0.076","2247.000","35676.000","2020-06-01 17:19:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","368","977","9","600","359","6","2","8847","8","874","0.007","45","0.044","0.008","0.367","0.006","0.002","0.009","0.0084630","0.614","0.377","0.110","1088.000","118162.000","2020-06-01 17:19:00"
"52","Narino","52001","Pasto","1.212124365","-77.27857635","963","1210","48","199","859","95","7","5334","102","980","0.097","82","0.085","0.084","0.710","0.079","0.006","0.040","0.0294915","0.164","0.796","0.227","1345.000","33908.000","2020-06-01 17:19:00"
"54","Norte de Santander","54001","Cucuta","7.905306295","-72.5082562","25","129","13","91","23","2","0","6882","2","763","0.003","83","0.000","0.016","0.178","0.016","0.000","0.101","0.0080231","0.705","0.194","0.019","12561.000","124640.000","2020-06-01 17:19:00"
"86","Putumayo","86001","Mocoa","1.152296118","-76.65027142","7","9","1","1","4","1","2","482","3","193","0.005","6","0.333","0.333","0.444","0.111","0.222","0.111","0.0027845","0.111","0.778","0.019","39903.000","359127.000","2020-06-01 17:19:00"
"63","Quindio","5059","Armenia","6.155818729","-75.78683783","31","112","3","78","28","2","1","2340","3","481","0.004","28","0.036","0.027","0.250","0.018","0.009","0.027","0.0054015","0.696","0.277","0.048","4959.000","185134.000","2020-06-01 17:19:00"
"66","Risaralda","23001","Pereira","8.745132591","-75.87557791","22","255","9","224","21","0","1","6228","1","710","0.000","64","0.016","0.004","0.082","0.000","0.004","0.035","0.0093647","0.878","0.086","0.041","3769.000","106784.000","2020-06-01 17:19:00"
"68","Santander","68001","Bucaramanga","7.116267276","-73.13259818","26","72","3","43","24","2","0","9086","2","1624","0.001","171","0.000","0.028","0.333","0.028","0.000","0.042","0.0013153","0.597","0.361","0.008","31679.000","760303.000","2020-06-01 17:19:00"
