"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","556","2192","84","1552","525","23","7","9133","1552","64","24.250","0","","221.714","313.143","221.714","75.000","12.000","106.3022020","3.286","79.429","0.001","11289.000","941.000","2020-06-19 17:57:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","1694","2660","12","954","1603","73","16","66545","954","3851","0.248","381","4.207","59.625","166.250","59.625","100.188","0.750","0.1796964","4.563","105.875","0.000","417371.000","556494.000","2020-06-19 17:57:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","50","52","0","2","48","2","0","1694","2","130","0.015","2","24.000","","","","","","0.0000000","","","0.000","","","2020-06-19 17:57:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","6","23","0","17","5","0","0","858","17","46","0.370","3","1.667","","","","","","0.0000000","","","0.000","","","2020-06-19 17:57:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","9925","13880","564","3391","8846","904","149","15336","3391","2922","1.161","326","27.135","22.758","93.154","22.758","59.369","3.785","20.7190845","6.067","66.611","0.010","18269.000","4826.000","2020-06-19 17:57:00"
"11","Bogota D C.","11001","Bogota D.C.","4.65017303","-74.107359","10687","19241","449","8105","9363","1148","150","163261","8105","5159","1.571","743","12.602","54.033","128.273","54.033","62.420","2.993","5.7980709","7.653","71.247","0.001","51626.000","17247.000","2020-06-19 17:57:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","3710","6246","246","2290","3294","340","69","3382","2290","1679","1.364","148","22.257","33.188","90.522","33.188","47.739","3.565","11.2793538","4.928","53.768","0.020","31608.000","8866.000","2020-06-19 17:57:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","93","289","11","185","75","12","1","11763","185","635","0.291","48","1.563","185.000","289.000","185.000","75.000","11.000","0.8851473","12.000","93.000","0.000","1242731.000","112976.000","2020-06-19 17:57:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","70","211","7","134","63","5","1","7025","134","835","0.160","85","0.741","134.000","211.000","134.000","63.000","7.000","0.6873169","5.000","70.000","0.000","1018453.000","145493.000","2020-06-19 17:57:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","6","29","1","22","5","0","0","1725","22","250","0.088","12","0.417","","","","","","0.2435929","","","0.000","","410521.000","2020-06-19 17:57:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","18","51","0","33","18","0","0","2805","33","219","0.151","16","1.125","","","","","","0.0000000","","","0.000","","","2020-06-19 17:57:00"
"19","Cauca","19001","Popayan","2.482503391","-76.57406468","141","232","9","82","111","26","4","3971","82","644","0.127","52","2.135","20.500","58.000","20.500","27.750","2.250","0.6032426","6.500","35.250","0.001","372984.000","165771.000","2020-06-19 17:57:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","495","627","18","114","474","18","2","7455","114","1210","0.094","202","2.347","57.000","313.500","57.000","237.000","9.000","1.3895461","9.000","247.500","0.000","647694.000","71966.000","2020-06-19 17:57:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","729","952","26","197","631","82","15","4522","197","256","0.770","12","52.583","13.133","63.467","13.133","42.067","1.733","4.7727089","5.467","48.600","0.003","36318.000","20952.000","2020-06-19 17:57:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","290","407","17","100","226","41","19","9392","100","1120","0.089","137","1.650","5.263","21.421","5.263","11.895","0.895","0.9294966","2.158","15.263","0.002","96260.000","107585.000","2020-06-19 17:57:00"
"25","Cundinamarca","11001","Bogota D C.","4.65017303","-74.107359","1174","1914","43","697","1023","136","11","19358","697","1158","0.602","109","9.385","63.364","174.000","63.364","93.000","3.909","1.3259332","12.364","106.727","0.001","294818.000","75419.000","2020-06-19 17:57:00"
"94","Guainia","94001","Inirida","3.866161619","-67.91883684","4","7","1","2","4","0","0","942","2","15","0.133","0","","","","","","","1.9748795","","","0.000","","50636.000","2020-06-19 17:57:00"
"95","Guaviare","95001","San Jose del Guaviare","2.566428399","-72.63898622","9","9","0","0","8","1","0","2851","0","39","0.000","0","","","","","","","0.0000000","","","0.000","","","2020-06-19 17:57:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","44","289","9","236","38","2","0","713","236","603","0.391","87","0.437","","","","","","0.8016946","","","0.000","","124736.000","2020-06-19 17:57:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","111","170","7","52","94","15","1","10282","52","512","0.102","48","1.958","52.000","170.000","52.000","94.000","7.000","0.7248493","15.000","111.000","0.000","965718.000","137960.000","2020-06-19 17:57:00"
"47","Magdalena","23807","Santa Marta","11.2294335","-74.19089412","546","1150","76","528","423","109","13","588","528","1145","0.461","65","6.508","40.615","88.462","40.615","32.538","5.846","5.3257614","8.385","42.000","0.022","109771.000","18777.000","2020-06-19 17:57:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","103","1057","11","943","90","10","2","13372","943","874","1.079","45","2.000","471.500","528.500","471.500","45.000","5.500","1.0343654","5.000","51.500","0.000","531727.000","96678.000","2020-06-19 17:57:00"
"52","Narino","52001","Pasto","1.212124365","-77.27857635","1513","2469","84","872","1335","151","22","11800","872","980","0.890","82","16.280","39.636","112.227","39.636","60.682","3.818","5.1610081","6.864","68.773","0.002","73981.000","19376.000","2020-06-19 17:57:00"
"54","Norte de Santander","54001","Cucuta","7.905306295","-72.5082562","71","200","13","116","63","4","2","10687","116","763","0.152","83","0.759","58.000","100.000","58.000","31.500","6.500","0.8023116","2.000","35.500","0.000","810159.000","124640.000","2020-06-19 17:57:00"
"86","Putumayo","86001","Mocoa","1.152296118","-76.65027142","3","15","4","8","1","2","0","599","8","193","0.041","6","0.167","","","","","","1.1138121","","","0.000","","89782.000","2020-06-19 17:57:00"
"63","Quindio","5059","Armenia","6.155818729","-75.78683783","33","142","4","105","31","0","1","3154","105","481","0.218","28","1.107","105.000","142.000","105.000","31.000","4.000","0.7202004","0.000","33.000","0.000","555401.000","138850.000","2020-06-19 17:57:00"
"66","Risaralda","23001","Pereira","8.745132591","-75.87557791","142","397","11","244","131","5","6","9599","244","710","0.344","64","2.047","40.667","66.167","40.667","21.833","1.833","1.1445755","0.833","23.667","0.001","160176.000","87369.000","2020-06-19 17:57:00"
"68","Santander","68001","Bucaramanga","7.116267276","-73.13259818","253","343","10","80","234","18","1","17340","80","1624","0.049","171","1.368","80.000","343.000","80.000","234.000","10.000","0.4384219","18.000","253.000","0.000","2280908.000","228091.000","2020-06-19 17:57:00"
"70","Sucre","70001","Sincelejo","9.302333104","-75.39548356","398","448","14","36","350","39","8","6402","36","816","0.044","96","3.646","4.500","56.000","4.500","43.750","1.750","1.4748455","4.875","49.750","0.001","118657.000","67804.000","2020-06-19 17:57:00"
"73","Tolima","73001","Ibague","4.439608991","-75.19371478","256","514","15","243","211","38","5","8899","243","806","0.301","126","1.675","48.600","102.800","48.600","42.200","3.000","1.1194047","7.600","51.200","0.001","268000.000","89333.000","2020-06-19 17:57:00"
"76","Valle del Cauca","76001","Cali","3.414414305","-76.52156515","4097","7032","299","2636","3308","624","160","49335","2636","3072","0.858","503","6.577","16.475","43.950","16.475","20.675","1.869","6.5973074","3.900","25.606","0.003","28326.000","15158.000","2020-06-19 17:57:00"
"97","Vaupes","97001","Mitu","1.251190563","-70.23475052","16","27","0","11","16","0","0","979","11","4","2.750","0","","","","","","","0.0000000","","","0.000","","","2020-06-19 17:57:00"
