"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Amazonas","-4.19983693453","-69.9414267076","173","182","9","0","158","15","0","700","15","64","23.4375","0","","8.2417582417582","86.813186813187","8.2417582417582","","4.9450549450549","","95.054945054945","26","2020-05-03 16:46:00"
"Antioquia","5.6101097761033","-74.886816625","243","443","6","194","223","8","12","17682","20","3826","0.20909566126503","394","3.0456852791878","4.5146726862302","50.338600451467","1.8058690744921","2.7088036117381","1.3544018058691","43.792325056433","54.853273137698","2.5053726953964","2020-05-03 16:46:00"
"Archipiélago de San Andrés Providencia y Santa Catalina","12.5830136907","-81.6960629797","2","6","0","4","2","0","0","220","","46","","3","","","33.333333333333","","","","66.666666666667","33.333333333333","2.7272727272727","2020-05-03 16:46:00"
"Atlántico","10.9759268186","-74.7952590482","410","491","20","61","386","15","9","6320","24","2930","0.51194539249147","343","2.6239067055394","4.887983706721","78.615071283096","3.0549898167006","1.8329938900204","4.0733197556008","12.423625254582","83.503054989817","7.7689873417722","2020-05-03 16:46:00"
"Bogotá D.C.","4.65017303026","-74.1073590032","2227","2958","115","616","2006","182","39","37719","221","5171","3.5196286985109","654","5.9633027522936","7.4712643678161","67.816091954023","6.1528059499662","1.3184584178499","3.8877620013523","20.824881676809","75.287356321839","7.8422015429889","2020-05-03 16:46:00"
"Bolívar","10.3849855226","-75.496431028","223","353","30","100","190","23","10","4074","33","1684","1.3657957244656","156","6.4102564102564","9.3484419263456","53.824362606232","6.5155807365439","2.8328611898017","8.4985835694051","28.328611898017","63.172804532578","8.6647029945999","2020-05-03 16:46:00"
"Boyacá","5.53995323795","-73.3554887287","29","47","4","14","23","6","0","1496","6","626","0.95846645367412","51","","12.765957446809","48.936170212766","12.765957446809","","8.5106382978723","29.787234042553","61.702127659574","3.1417112299465","2020-05-03 16:46:00"
"Caldas","5.05768819705","-75.4910489848","47","80","2","31","41","6","0","2103","6","836","0.7177033492823","89","","7.5","51.25","7.5","","2.5","38.75","58.75","3.8040893961008","2020-05-03 16:46:00"
"Caquetá","1.6179229304","-75.6085604324","8","9","1","0","8","0","0","364","","250","","13","","","88.888888888889","","","11.111111111111","","88.888888888889","2.4725274725275","2020-05-03 16:46:00"
"Casanare","5.3276126513","-72.396915159","13","19","0","6","12","1","0","696","1","219","0.45662100456621","17","","5.2631578947368","63.157894736842","5.2631578947368","","","31.578947368421","68.421052631579","2.7298850574713","2020-05-03 16:46:00"
"Cauca","2.48250339062","-76.5740646841","18","35","4","13","14","4","0","1655","4","636","0.62893081761006","55","","11.428571428571","40","11.428571428571","","11.428571428571","37.142857142857","51.428571428571","2.1148036253776","2020-05-03 16:46:00"
"Cesar","10.4604812152","-73.259389309","27","62","6","29","18","8","1","1088","9","1189","0.67283431455004","145","0.68965517241379","14.516129032258","29.032258064516","12.903225806452","1.6129032258065","9.6774193548387","46.774193548387","43.548387096774","5.6985294117647","2020-05-03 16:46:00"
"Chocó","5.69219518726","-76.6259693555","12","15","1","2","11","1","0","582","1","256","0.390625","13","","6.6666666666667","73.333333333333","6.6666666666667","","6.6666666666667","13.333333333333","80","2.5773195876289","2020-05-03 16:46:00"
"Córdoba","8.7451325909","-75.8755779091","17","29","3","9","17","0","0","2026","","1119","","144","","","58.620689655172","","","10.344827586207","31.034482758621","58.620689655172","1.431391905232","2020-05-03 16:46:00"
"Cundinamarca","4.65017303026","-74.1073590032","137","246","13","96","124","12","1","2591","13","1156","1.038062283737","110","0.90909090909091","5.2845528455285","50.406504065041","4.8780487804878","0.40650406504065","5.2845528455285","39.024390243902","55.691056910569","9.4944037051332","2020-05-03 16:46:00"
"Huila","2.93560441491","-75.2777225856","81","133","8","44","66","12","3","141","15","603","1.9900497512438","92","3.2608695652174","11.278195488722","49.624060150376","9.0225563909774","2.2556390977444","6.015037593985","33.082706766917","60.902255639098","94.326241134752","2020-05-03 16:46:00"
"La Guajira","11.5287513839","-72.911488911","8","10","1","1","6","2","0","2597","2","512","0.390625","51","","20","60","20","","10","10","80","0.38505968425106","2020-05-03 16:46:00"
"Magdalena","11.2294335041","-74.1908941206","187","236","19","30","165","21","1","2742","22","1145","1.8340611353712","64","1.5625","9.3220338983051","69.915254237288","8.8983050847458","0.42372881355932","8.0508474576271","12.71186440678","79.237288135593","8.6068563092633","2020-05-03 16:46:00"
"Meta","4.12386149961","-73.6270920374","536","565","6","23","532","4","0","3163","4","874","0.45766590389016","44","","0.70796460176991","94.159292035398","0.70796460176991","","1.0619469026549","4.070796460177","94.867256637168","17.862788491938","2020-05-03 16:46:00"
"Nariño","1.21212436525","-77.2785763476","169","201","8","24","153","12","4","1843","16","981","1.2232415902141","87","4.5977011494253","7.9601990049751","76.119402985075","5.9701492537313","1.9900497512438","3.9800995024876","11.940298507463","84.07960199005","10.906131307651","2020-05-03 16:46:00"
"Norte de Santander","7.90530629465","-72.5082561962","48","84","9","27","40","7","1","2687","8","763","0.91743119266055","88","1.1363636363636","9.5238095238095","47.619047619048","8.3333333333333","1.1904761904762","10.714285714286","32.142857142857","57.142857142857","3.1261630070711","2020-05-03 16:46:00"
