"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","867","924","30","27","835","31","1","2446","32","64","48.438","0","","3.463","90.368","3.355","0.108","3.247","37.965","2.922","93.831","37.776","2020-05-14 16:56:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","186","501","6","309","172","10","4","23733","14","3851","0.260","381","1.050","2.794","34.331","1.996","0.798","1.198","0.090","61.677","37.126","2.111","2020-05-14 16:56:00"
"17","Arauca","17524","Arauca","7.077358544","-70.74635031","1","1","0","0","0","1","0","631","1","835","0.120","85","0.000","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","0.158","2020-05-14 16:56:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","17","21","0","4","17","0","0","293","0","46","0.000","3","0.000","0.000","80.952","0.000","0.000","0.000","0.000","19.048","80.952","7.167","2020-05-14 16:56:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","1243","1383","43","97","1155","72","16","10370","88","2922","2.464","326","4.908","6.363","83.514","5.206","1.157","3.109","1.580","7.014","89.877","13.337","2020-05-14 16:56:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","3402","4892","161","1329","3072","288","38","54780","326","5159","5.582","743","5.114","6.664","62.796","5.887","0.777","3.291","2.079","27.167","69.542","8.930","2020-05-14 16:56:00"
"19","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","821","1051","59","171","701","104","15","7043","119","644","16.149","52","28.846","11.323","66.698","9.895","1.427","5.614","3.955","16.270","78.116","14.923","2020-05-14 16:56:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","61","88","3","24","45","13","2","2661","15","635","2.047","48","4.167","17.045","51.136","14.773","2.273","3.409","0.241","27.273","69.318","3.307","2020-05-14 16:56:00"
"5","Caldas","5001","Medellin","5.610109776","-74.88681663","61","108","5","42","57","4","0","23733","4","3851","0.104","381","0.000","3.704","52.778","3.704","0.000","4.630","0.075","38.889","56.481","0.455","2020-05-14 16:56:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","18","19","1","0","17","1","0","588","1","250","0.400","12","0.000","5.263","89.474","5.263","0.000","5.263","0.244","0.000","94.737","3.231","2020-05-14 16:56:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","16","25","0","9","12","4","0","840","4","219","1.826","16","0.000","16.000","48.000","16.000","0.000","0.000","0.000","36.000","64.000","2.976","2020-05-14 16:56:00"
"47","Cauca","19001","Popayan","2.482503391","-76.57406468","27","54","4","23","25","2","0","2005","2","1145","0.175","65","0.000","3.704","46.296","3.704","0.000","7.407","0.280","42.593","50.000","2.693","2020-05-14 16:56:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","8","72","11","53","8","0","0","2033","0","1210","0.000","202","0.000","0.000","11.111","0.000","0.000","15.278","0.849","73.611","11.111","3.542","2020-05-14 16:56:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","34","40","3","3","31","3","0","744","3","256","1.172","12","0.000","7.500","77.500","7.500","0.000","7.500","0.551","7.500","85.000","5.376","2020-05-14 16:56:00"
"5","Cordoba","5001","Medellin","5.610109776","-74.88681663","35","51","3","13","27","6","2","23733","8","3851","0.156","381","0.525","15.686","52.941","11.765","3.922","5.882","0.045","25.490","68.627","0.215","2020-05-14 16:56:00"
"47","Cundinamarca","19001","Popayan","2.482503391","-76.57406468","143","320","13","164","134","6","3","2005","9","1145","0.524","65","4.615","2.813","41.875","1.875","0.938","4.063","0.911","51.250","44.688","15.960","2020-05-14 16:56:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","117","187","8","62","99","14","2","165","16","603","2.322","87","2.299","8.556","52.941","7.487","1.070","4.278","0.713","33.155","62.567","113.333","2020-05-14 16:56:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","25","32","3","4","22","2","1","4320","3","512","0.391","48","2.083","9.375","68.750","6.250","3.125","9.375","0.311","12.500","78.125","0.741","2020-05-14 16:56:00"
"47","Magdalena","19001","Popayan","2.482503391","-76.57406468","235","355","26","94","212","21","2","2005","23","1145","1.834","65","3.077","6.479","59.718","5.915","0.563","7.324","1.822","26.479","66.197","17.706","2020-05-14 16:56:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","883","940","8","49","879","4","0","5337","4","874","0.458","45","0.000","0.426","93.511","0.426","0.000","0.851","0.752","5.213","93.936","17.613","2020-05-14 16:56:00"
"5","Narino","5001","Medellin","5.610109776","-74.88681663","309","377","20","48","274","32","3","23733","35","3851","0.831","381","0.787","9.284","72.679","8.488","0.796","5.305","0.299","12.732","81.963","1.589","2020-05-14 16:56:00"
