"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_ICU_Capacity","Hospital_ICU_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Amazonas","10.1820963025","-75.5118252981","38","40","2","0","32","6","0","204","6","129","4.6511627906977","0","","15","80","15","","5","","95","19.607843137255","2020-04-26 16:35:00"
"Antioquia","5.6101097761033","-74.886816625","299","452","4","149","279","10","10","13511","20","7653","0.13066771200836","572","1.7482517482517","4.4247787610619","61.725663716814","2.212389380531","2.212389380531","0.88495575221239","32.964601769912","66.150442477876","3.3454222485382","2020-04-26 16:35:00"
"Archipiélago de San Andrés Providencia y Santa Catalina","6.39872921828","-75.440016949","4","6","0","2","4","0","0","150","","92","","5","","","66.666666666667","","","","33.333333333333","66.666666666667","4","2020-04-26 16:35:00"
"Atlántico","10.9759268186","-74.7952590482","53","63","2","8","50","2","1","3907","3","5861","0.034123869646818","521","0.19193857965451","4.7619047619048","79.365079365079","3.1746031746032","1.5873015873016","3.1746031746032","12.698412698413","84.126984126984","1.6124904018428","2020-04-26 16:35:00"
"Bogotá D.C.","4.65017303026","-74.1073590032","1736","2245","87","422","1583","114","39","28936","153","10343","1.1021947210674","991","3.9354187689203","6.815144766147","70.512249443207","5.0779510022272","1.7371937639198","3.8752783964365","18.797327394209","77.327394209354","7.7585015205972","2020-04-26 16:35:00"
"Bolívar","10.3849855226","-75.496431028","15","20","3","2","14","0","1","3011","1","3368","","237","0.42194092827004","5","70","","5","15","10","75","0.66423115244105","2020-04-26 16:35:00"
"Boyacá","5.53995323795","-73.3554887287","26","35","1","8","26","0","0","1078","","1253","","78","","","74.285714285714","","","2.8571428571429","22.857142857143","74.285714285714","3.2467532467532","2020-04-26 16:35:00"
"Caldas","7.8368375609","-75.4143614377","36","54","2","16","36","0","0","1753","","1673","","136","","","66.666666666667","","","3.7037037037037","29.62962962963","66.666666666667","3.0804335424986","2020-04-26 16:35:00"
"Caquetá","9.31366872153","-74.8915160804","1","2","1","0","1","0","0","214","","500","","20","","","50","","","50","","50","0.93457943925234","2020-04-26 16:35:00"
"Casanare","5.3276126513","-72.396915159","8","10","0","2","8","0","0","446","","438","","26","","","80","","","","20","80","2.2421524663677","2020-04-26 16:35:00"
"Cauca","2.48250339062","-76.5740646841","13","27","4","10","9","4","0","1218","4","1273","0.31421838177533","84","","14.814814814815","33.333333333333","14.814814814815","","14.814814814815","37.037037037037","48.148148148148","2.2167487684729","2020-04-26 16:35:00"
"Cesar","10.4604812152","-73.259389309","31","53","5","17","22","8","1","818","9","2378","0.33641715727502","220","0.45454545454545","16.981132075472","41.509433962264","15.094339622642","1.8867924528302","9.4339622641509","32.075471698113","58.490566037736","6.479217603912","2020-04-26 16:35:00"
"Chocó","5.69219518726","-76.6259693555","10","11","1","0","9","1","0","435","1","512","0.1953125","20","","9.0909090909091","81.818181818182","9.0909090909091","","9.0909090909091","","90.909090909091","2.5287356321839","2020-04-26 16:35:00"
"Córdoba","8.7451325909","-75.8755779091","17","23","3","3","17","0","0","1373","","2239","","219","","","73.913043478261","","","13.04347826087","13.04347826087","73.913043478261","1.6751638747269","2020-04-26 16:35:00"
"Cundinamarca","4.65017303026","-74.1073590032","130","203","10","63","115","13","2","1680","15","2312","0.56228373702422","168","1.1904761904762","7.3891625615764","56.650246305419","6.4039408866995","0.98522167487685","4.9261083743842","31.034482758621","64.039408866995","12.083333333333","2020-04-26 16:35:00"
"Huila","8.55014492944","-75.5402712159","53","87","5","29","42","8","3","134","11","1207","0.66280033140017","140","2.1428571428571","12.64367816092","48.275862068966","9.1954022988506","3.448275862069","5.7471264367816","33.333333333333","60.919540229885","64.925373134328","2020-04-26 16:35:00"
"La Guajira","11.5287513839","-72.911488911","3","5","1","1","3","0","0","1492","","1024","","78","","","60","","","20","20","60","0.33512064343164","2020-04-26 16:35:00"
"Magdalena","11.2294335041","-74.1908941206","25","28","2","1","23","2","0","1730","2","2291","0.087298123090354","97","","7.1428571428571","82.142857142857","7.1428571428571","","7.1428571428571","3.5714285714286","89.285714285714","1.6184971098266","2020-04-26 16:35:00"
"Meta","8.45697278227","-76.1247069871","218","232","4","10","217","1","0","1599","1","1749","0.057175528873642","67","","0.43103448275862","93.534482758621","0.43103448275862","","1.7241379310345","4.3103448275862","93.965517241379","14.509068167605","2020-04-26 16:35:00"
"Nariño","1.21212436525","-77.2785763476","75","93","6","12","68","4","3","1116","7","1963","0.20376974019358","132","2.2727272727273","7.5268817204301","73.118279569892","4.3010752688172","3.2258064516129","6.4516129032258","12.903225806452","80.645161290323","8.3333333333333","2020-04-26 16:35:00"
"Norte de Santander","7.90530629465","-72.5082561962","34","61","4","23","31","1","2","2067","3","1526","0.065530799475754","134","1.4925373134328","4.9180327868852","50.819672131148","1.6393442622951","3.2786885245902","6.5573770491803","37.704918032787","55.737704918033","2.9511369134011","2020-04-26 16:35:00"
"Quindio","6.15581872915","-75.7868378278","34","56","2","20","33","0","1","928","1","965","","45","2.2222222222222","1.7857142857143","58.928571428571","","1.7857142857143","3.5714285714286","35.714285714286","60.714285714286","6.0344827586207","2020-04-26 16:35:00"
"Risaralda","8.51722410471","-76.0759945061","139","185","6","40","137","1","1","2705","2","1385","0.072202166064982","97","1.0309278350515","1.0810810810811","74.054054054054","0.54054054054054","0.54054054054054","3.2432432432432","21.621621621622","75.135135135135","6.8391866913124","2020-04-26 16:35:00"
"Santander","7.11626727561","-73.1325981781","13","39","3","23","13","0","0","2052","","3248","","273","","","33.333333333333","","","7.6923076923077","58.974358974359","33.333333333333","1.9005847953216","2020-04-26 16:35:00"
"Sucre","9.30233310439","-75.3954835627","0","1","0","1","0","0","0","221","","1632","","159","","","","","","","100","","0.45248868778281","2020-04-26 16:35:00"
"Tolima","4.43960899136","-75.1937147765","24","42","2","16","23","0","1","795","1","1611","","203","0.49261083743842","2.3809523809524","54.761904761905","","2.3809523809524","4.7619047619048","38.095238095238","57.142857142857","5.2830188679245","2020-04-26 16:35:00"
"Valle del Cauca","3.41441430458","-76.5215651508","626","817","47","144","522","67","37","10443","104","6171","1.0857235456166","803","4.6077210460772","12.729498164015","63.892288861689","8.2007343941248","4.5287637698898","5.7527539779682","17.625458996328","76.621787025704","7.8234223882026","2020-04-26 16:35:00"
