"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_ICU_Capacity","Hospital_ICU_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Amazonas","10.1820963025","-75.5118252981","75","77","2","0","61","14","0","327","14","129","10.852713178295","0","","18.181818181818","79.220779220779","18.181818181818","","2.5974025974026","","97.402597402597","23.547400611621","2020-04-28 17:13:00"
"Antioquia","5.6101097761033","-74.886816625","296","463","5","162","276","10","10","15115","20","7653","0.13066771200836","572","1.7482517482517","4.3196544276458","59.611231101512","2.1598272138229","2.1598272138229","1.0799136069114","34.989200863931","63.930885529158","3.0631822692689","2020-04-28 17:13:00"
"Archipiélago de San Andrés Providencia y Santa Catalina","6.39872921828","-75.440016949","3","6","0","3","3","0","0","151","","92","","5","","","50","","","","50","50","3.9735099337748","2020-04-28 17:13:00"
"Atlántico","10.9759268186","-74.7952590482","76","97","4","17","67","5","4","4208","9","5861","0.085309674117045","521","0.76775431861804","9.2783505154639","69.072164948454","5.1546391752577","4.1237113402062","4.1237113402062","17.525773195876","78.350515463918","2.3051330798479","2020-04-28 17:13:00"
"Bogotá D.C.","4.65017303026","-74.1073590032","1873","2408","90","445","1711","125","37","30678","162","10343","1.2085468432756","991","3.7336024217962","6.7275747508306","71.054817275748","5.1910299003322","1.5365448504983","3.7375415282392","18.480066445183","77.782392026578","7.8492730947259","2020-04-28 17:13:00"
"Bolívar","10.3849855226","-75.496431028","16","22","3","3","15","0","1","3285","1","3368","","237","0.42194092827004","4.5454545454545","68.181818181818","","4.5454545454545","13.636363636364","13.636363636364","72.727272727273","0.66971080669711","2020-04-28 17:13:00"
"Boyacá","5.53995323795","-73.3554887287","25","37","1","11","23","2","0","1230","2","1253","0.15961691939346","78","","5.4054054054054","62.162162162162","5.4054054054054","","2.7027027027027","29.72972972973","67.567567567568","3.0081300813008","2020-04-28 17:13:00"
"Caldas","7.8368375609","-75.4143614377","37","56","2","17","37","0","0","1757","","1673","","136","","","66.071428571429","","","3.5714285714286","30.357142857143","66.071428571429","3.1872509960159","2020-04-28 17:13:00"
"Caquetá","9.31366872153","-74.8915160804","6","7","1","0","6","0","0","305","","500","","20","","","85.714285714286","","","14.285714285714","","85.714285714286","2.2950819672131","2020-04-28 17:13:00"
"Casanare","5.3276126513","-72.396915159","10","16","0","6","9","1","0","438","1","438","0.22831050228311","26","","6.25","56.25","6.25","","","37.5","62.5","3.6529680365297","2020-04-28 17:13:00"
